tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.238866,533084000.0,0.0,0.0,319082000.0,76783000.0,1584946000.0,533084000.0,456301000.0,-37082000.0,37082000.0,37168000.0,319082000.0,319082000.0,1876886000.0,58144000.0,,,,,319082000.0,319082000.0,319082000.0,319082000.0,319082000.0,100137000.0,419219000.0,0.0,-37082000.0,37082000.0,456301000.0,291940000.0,38697000.0,76783000.0,76783000.0,22542000.0,22542000.0,54241000.0,176460000.0,80455000.0,96005000.0,37861000.0,58144000.0,223952000.0,748241000.0,1584946000.0,2333187000.0,2299715000.0,2022-12-31
0.0,0.237601,563827000.0,,,338884000.0,80146000.0,1630293000.0,563827000.0,483681000.0,-39184000.0,39184000.0,37358000.0,338884000.0,338884000.0,1934151000.0,60173000.0,79974000.0,78750000.0,4.24,4.3,338884000.0,338884000.0,338884000.0,338884000.0,338884000.0,105613000.0,444497000.0,,-39184000.0,39184000.0,483681000.0,303858000.0,33421000.0,80146000.0,80146000.0,24092000.0,24092000.0,56054000.0,190291000.0,98223000.0,92068000.0,31895000.0,60173000.0,233533000.0,787539000.0,1630293000.0,2417832000.0,2384810000.0,2023-03-31
0.0,0.265674,518779000.0,,,285520000.0,85118000.0,1709591000.0,518779000.0,433661000.0,-44842000.0,44842000.0,37972000.0,285520000.0,285520000.0,2035143000.0,65005000.0,78194000.0,77234000.0,3.65,3.7,285520000.0,285520000.0,285520000.0,285520000.0,285520000.0,103299000.0,388819000.0,,-44842000.0,44842000.0,433661000.0,325552000.0,34178000.0,85118000.0,85118000.0,26741000.0,26741000.0,58377000.0,206256000.0,102565000.0,103691000.0,38686000.0,65005000.0,231680000.0,759213000.0,1709591000.0,2468804000.0,2435196000.0,2023-06-30
0.0,0.293954,410059000.0,,,224291000.0,92387000.0,1805347000.0,410059000.0,317672000.0,,,,224291000.0,224291000.0,2204711000.0,61339000.0,77147000.0,76062000.0,2.91,2.95,224291000.0,224291000.0,224291000.0,224291000.0,224291000.0,93381000.0,317672000.0,,,,317672000.0,399364000.0,75660000.0,92387000.0,92387000.0,27760000.0,27760000.0,64627000.0,231317000.0,131645000.0,99672000.0,38333000.0,61339000.0,,717036000.0,1805347000.0,2522383000.0,2536925000.0,2023-09-30
0.0,0.259481,444756000.0,,,217555000.0,96554000.0,1904604000.0,444756000.0,348202000.0,-54415000.0,54415000.0,,217555000.0,217555000.0,2295627000.0,62103000.0,,,,,217555000.0,217555000.0,217555000.0,217555000.0,217555000.0,76232000.0,293787000.0,,-54415000.0,54415000.0,348202000.0,391023000.0,66180000.0,96554000.0,96554000.0,28618000.0,28618000.0,67936000.0,228289000.0,126800000.0,101489000.0,39386000.0,62103000.0,,739225000.0,1904604000.0,2643829000.0,2576893000.0,2023-12-31
