free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_inventory,change_in_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,depreciation,operating_gains_losses,pension_and_employee_benefit_expense,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
80000000.0,-10000000.0,-40000000.0,0.0,8000000.0,-831000000.0,77000000.0,217000000.0,916000000.0,1102000000.0,-186000000.0,-293000000.0,-293000000.0,-64000000.0,-187000000.0,-187000000.0,-2000000.0,-10000000.0,8000000.0,-40000000.0,-40000000.0,-40000000.0,0.0,-804000000.0,-804000000.0,27000000.0,-831000000.0,-831000000.0,911000000.0,911000000.0,-651000000.0,-65000000.0,-160000000.0,1325000000.0,553000000.0,772000000.0,772000000.0,-138000000.0,-1493000000.0,-120000000.0,168000000.0,42000000.0,-53000000.0,-53000000.0,827000000.0,827000000.0,827000000.0,177000000.0,-8000000.0,208000000.0,401000000.0,2022-10-31
343000000.0,-8000000.0,-26000000.0,0.0,7000000.0,-817000000.0,89000000.0,49000000.0,1015000000.0,916000000.0,99000000.0,-238000000.0,-238000000.0,-23000000.0,-188000000.0,,-1000000.0,-8000000.0,7000000.0,-26000000.0,-26000000.0,-26000000.0,0.0,-823000000.0,-823000000.0,-6000000.0,-817000000.0,-817000000.0,1160000000.0,1160000000.0,-904000000.0,-196000000.0,-89000000.0,-1371000000.0,-272000000.0,-1099000000.0,-1099000000.0,-53000000.0,897000000.0,-92000000.0,144000000.0,45000000.0,254000000.0,254000000.0,849000000.0,849000000.0,849000000.0,89000000.0,2000000.0,91000000.0,451000000.0,2023-01-31
1832000000.0,-29000000.0,-62000000.0,,23000000.0,-1028000000.0,164000000.0,92000000.0,2632000000.0,1015000000.0,1617000000.0,-296000000.0,-296000000.0,-40000000.0,-188000000.0,,-6000000.0,-29000000.0,23000000.0,-62000000.0,-62000000.0,-62000000.0,,-947000000.0,-947000000.0,81000000.0,-1028000000.0,-1028000000.0,2860000000.0,2860000000.0,502000000.0,174000000.0,-215000000.0,-216000000.0,-449000000.0,233000000.0,233000000.0,66000000.0,419000000.0,274000000.0,172000000.0,49000000.0,-5000000.0,-5000000.0,1145000000.0,1145000000.0,1145000000.0,35000000.0,-2000000.0,78000000.0,962000000.0,2023-04-30
578000000.0,-18000000.0,-646000000.0,,13000000.0,-926000000.0,144000000.0,198000000.0,2420000000.0,2632000000.0,-212000000.0,-868000000.0,-868000000.0,-29000000.0,-188000000.0,,-5000000.0,-18000000.0,13000000.0,-646000000.0,-646000000.0,-646000000.0,,-848000000.0,-848000000.0,78000000.0,-926000000.0,-926000000.0,1504000000.0,1504000000.0,1414000000.0,1165000000.0,-163000000.0,260000000.0,15000000.0,245000000.0,245000000.0,-12000000.0,211000000.0,-47000000.0,14000000.0,43000000.0,-273000000.0,-273000000.0,859000000.0,859000000.0,859000000.0,-374000000.0,-4000000.0,-368000000.0,-179000000.0,2023-07-31
-449000000.0,-7000000.0,-47000000.0,,6000000.0,-953000000.0,72000000.0,289000000.0,1725000000.0,2420000000.0,-695000000.0,-249000000.0,-249000000.0,9000000.0,-210000000.0,-210000000.0,-1000000.0,-7000000.0,6000000.0,-47000000.0,-47000000.0,-47000000.0,,-950000000.0,-950000000.0,3000000.0,-953000000.0,-953000000.0,504000000.0,504000000.0,-1098000000.0,-192000000.0,-161000000.0,560000000.0,8000000.0,552000000.0,552000000.0,-79000000.0,-1132000000.0,-94000000.0,73000000.0,32000000.0,17000000.0,17000000.0,864000000.0,864000000.0,864000000.0,-31000000.0,-2000000.0,-27000000.0,647000000.0,2023-10-31
923000000.0,-8000000.0,-546000000.0,,8000000.0,-997000000.0,108000000.0,172000000.0,1883000000.0,1725000000.0,158000000.0,-757000000.0,-757000000.0,-16000000.0,-210000000.0,,0.0,-8000000.0,8000000.0,-531000000.0,-531000000.0,-546000000.0,,-1005000000.0,-1005000000.0,-8000000.0,-997000000.0,-997000000.0,1920000000.0,1920000000.0,-10000000.0,-307000000.0,-156000000.0,-281000000.0,204000000.0,-485000000.0,-485000000.0,9000000.0,844000000.0,-119000000.0,-68000000.0,48000000.0,106000000.0,106000000.0,882000000.0,882000000.0,882000000.0,154000000.0,-1000000.0,166000000.0,739000000.0,2024-01-31
