tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
12062883.435583,0.219325,1841000000.0,55000000.0,55000000.0,1018000000.0,393000000.0,2326000000.0,1896000000.0,1503000000.0,-157000000.0,199000000.0,975062883.435583,1018000000.0,2326000000.0,97000000.0,1459000000.0,2085000000.0,2066000000.0,0.49,0.49274,1018000000.0,1018000000.0,1018000000.0,1018000000.0,1018000000.0,286000000.0,1304000000.0,57000000.0,2000000.0,55000000.0,55000000.0,-157000000.0,199000000.0,1404000000.0,1404000000.0,2326000000.0,3730000000.0,3499000000.0,2022-12-31
1944785.276074,0.243098,1890000000.0,8000000.0,8000000.0,987000000.0,393000000.0,2250000000.0,1898000000.0,1505000000.0,-201000000.0,201000000.0,980944785.276074,987000000.0,2250000000.0,82000000.0,1464000000.0,2058000000.0,2054000000.0,0.48,0.48,987000000.0,987000000.0,987000000.0,987000000.0,987000000.0,317000000.0,1304000000.0,49000000.0,41000000.0,8000000.0,8000000.0,-201000000.0,201000000.0,1456000000.0,1456000000.0,2250000000.0,3706000000.0,3528000000.0,2023-03-31
2890243.902439,0.240854,1903000000.0,12000000.0,12000000.0,996000000.0,402000000.0,2229000000.0,1915000000.0,1513000000.0,-201000000.0,201000000.0,986890243.902439,996000000.0,2229000000.0,90000000.0,1482000000.0,2025000000.0,2020000000.0,0.49,0.49,996000000.0,996000000.0,996000000.0,996000000.0,996000000.0,316000000.0,1312000000.0,43000000.0,31000000.0,12000000.0,12000000.0,-201000000.0,201000000.0,1470000000.0,1470000000.0,2229000000.0,3699000000.0,3552000000.0,2023-06-30
1492007.104796,0.248668,1722000000.0,6000000.0,6000000.0,846000000.0,399000000.0,2283000000.0,1728000000.0,1329000000.0,-203000000.0,203000000.0,841492007.104796,846000000.0,2283000000.0,94000000.0,1295000000.0,1999000000.0,1994000000.0,0.42,0.42,846000000.0,846000000.0,846000000.0,846000000.0,846000000.0,280000000.0,1126000000.0,40000000.0,34000000.0,6000000.0,6000000.0,-203000000.0,203000000.0,1289000000.0,1289000000.0,2283000000.0,3572000000.0,3441000000.0,2023-09-30
1831157.528285,0.228895,1762000000.0,8000000.0,8000000.0,886000000.0,417000000.0,2368000000.0,1770000000.0,1353000000.0,-125000000.0,204000000.0,879831157.528285,886000000.0,2339000000.0,88000000.0,1320000000.0,1969000000.0,1958427685.0,0.45,0.452404,886000000.0,886000000.0,886000000.0,886000000.0,886000000.0,263000000.0,1149000000.0,-67000000.0,-75000000.0,8000000.0,8000000.0,-125000000.0,204000000.0,1341000000.0,1312000000.0,2368000000.0,3680000000.0,3558000000.0,2023-12-31
246413.50211,0.246414,1804000000.0,1000000.0,1000000.0,893000000.0,410000000.0,2328000000.0,1805000000.0,1395000000.0,-210000000.0,210000000.0,892246413.50211,893000000.0,2328000000.0,84000000.0,1354000000.0,1962000000.0,1958000000.0,0.46,0.46,893000000.0,893000000.0,893000000.0,893000000.0,893000000.0,292000000.0,1185000000.0,42000000.0,41000000.0,1000000.0,1000000.0,-210000000.0,210000000.0,1353000000.0,1353000000.0,2328000000.0,3681000000.0,3538000000.0,2024-03-31
