symbol,sector,market_cap,ordinary_shares_number,date,predictions,prev_market_cap,fair_market_cup_via_diff,market_cap_norm,fair_market_cap_norm
ROL,Finance,17801939471.46711,492787005.0,2023-03-31,0.0535359055487817,20284014925.378063,21369938032.57318,36.125018092689174,43.36546584172442
ROL,Finance,20284014925.378063,492820761.0,2023-06-30,0.18585552432723446,18137088868.923435,21507967030.42685,41.159010598942814,43.642575014056376
ROL,Finance,18137088868.923435,484037858.0,2023-09-30,-0.09754252407743846,20702241752.01071,18682892837.458256,37.47039321234959,38.59799916199583
ROL,Finance,20702241752.01071,484080014.0,2023-12-31,0.1662915665025646,22501944464.50408,26243828058.860176,42.76615673707759,54.21382271497822
ROL,Finance,22501944464.50408,484230396.0,2024-03-31,0.0958642114164011,,,46.46950016021729,
