free_cash_flow,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,investing_cash_flow,operating_cash_flow,date
87370000000.0,235437000000.0,246850000000.0,-2032000000.0,-9381000000.0,-23808000000.0,-72943000000.0,87370000000.0,2022-12-31
-2951000000.0,229510000000.0,235437000000.0,-1201000000.0,-4726000000.0,-9319000000.0,-26808000000.0,31401000000.0,2023-03-31
45306000000.0,267094000000.0,229510000000.0,4319000000.0,33265000000.0,-24636000000.0,12595000000.0,45306000000.0,2023-06-30
49231000000.0,280995000000.0,267094000000.0,813000000.0,13088000000.0,-12382000000.0,-23761000000.0,49231000000.0,2023-09-30
64716000000.0,294929000000.0,280995000000.0,-2643000000.0,16577000000.0,-17214000000.0,-30925000000.0,64716000000.0,2023-12-31
