tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-352820000.0,0.13,60253000000.0,-2714000000.0,-2714000000.0,46913000000.0,5530000000.0,150005000000.0,57539000000.0,52009000000.0,13966000000.0,1550000000.0,15516000000.0,49274180000.0,46913000000.0,210011000000.0,35031000000.0,2614000000.0,2600625000.0,17.92,18.0,46815000000.0,,46815000000.0,98000000.0,46913000000.0,1167000000.0,45746000000.0,45746000000.0,-893000000.0,3820000000.0,50459000000.0,-1252000000.0,1462000000.0,-2714000000.0,2714000000.0,13966000000.0,1550000000.0,15516000000.0,37745000000.0,60006000000.0,5530000000.0,5530000000.0,5530000000.0,5530000000.0,13521000000.0,40955000000.0,30628000000.0,10327000000.0,10327000000.0,97751000000.0,150005000000.0,247756000000.0,247756000000.0,2022-12-31
0.0,0.148491,19042000000.0,0.0,0.0,23644000000.0,2494000000.0,138823000000.0,19042000000.0,16548000000.0,8760000000.0,-8760000000.0,,23644000000.0,23644000000.0,192960000000.0,15240000000.0,2610250000.0,2581375000.0,8.96,9.12,23478000000.0,,23516000000.0,128000000.0,23644000000.0,1648000000.0,21996000000.0,21996000000.0,446000000.0,3758000000.0,25308000000.0,1308000000.0,1308000000.0,0.0,0.0,8760000000.0,-8760000000.0,,15240000000.0,54137000000.0,2494000000.0,2494000000.0,2494000000.0,2494000000.0,13880000000.0,37763000000.0,24931000000.0,12832000000.0,12832000000.0,69377000000.0,138823000000.0,208200000000.0,171613000000.0,2023-03-31
-345270000.0,0.17,48364000000.0,-2031000000.0,-2031000000.0,34242000000.0,2479000000.0,142347000000.0,46333000000.0,43854000000.0,-7682000000.0,7682000000.0,,35927730000.0,34242000000.0,189635000000.0,42490000000.0,2576000000.0,2561625000.0,13.28,13.44,34332000000.0,,34332000000.0,-90000000.0,34242000000.0,1242000000.0,33000000000.0,33000000000.0,2850000000.0,6022000000.0,36172000000.0,-667000000.0,1364000000.0,-2031000000.0,2031000000.0,-7682000000.0,7682000000.0,,44521000000.0,47288000000.0,2479000000.0,2479000000.0,2479000000.0,2479000000.0,10465000000.0,34344000000.0,27047000000.0,7297000000.0,7297000000.0,91809000000.0,142347000000.0,234156000000.0,234156000000.0,2023-06-30
0.0,0.151528,42542000000.0,0.0,0.0,27847000000.0,2431000000.0,139664000000.0,42542000000.0,40111000000.0,3282000000.0,1854000000.0,5136000000.0,27847000000.0,27847000000.0,191206000000.0,33584000000.0,2565750000.0,2541875000.0,10.8,10.88,27640000000.0,-66000000.0,27706000000.0,141000000.0,27847000000.0,1151000000.0,26696000000.0,26696000000.0,-5764000000.0,5797000000.0,38257000000.0,1391000000.0,1391000000.0,0.0,0.0,3282000000.0,1854000000.0,5136000000.0,33584000000.0,51542000000.0,2431000000.0,2431000000.0,2431000000.0,2431000000.0,14218000000.0,34893000000.0,25485000000.0,9408000000.0,9408000000.0,85126000000.0,139664000000.0,224790000000.0,224790000000.0,2023-09-30
-2445323940.408823,0.288024,46041000000.0,-8490000000.0,-8490000000.0,14555000000.0,14601000000.0,156214000000.0,37551000000.0,22950000000.0,-5632000000.0,5632000000.0,,20599676059.59118,14555000000.0,229347000000.0,22511000000.0,2540125000.0,2517250000.0,5.68,5.76,14433000000.0,,14433000000.0,122000000.0,14555000000.0,3838000000.0,10717000000.0,10717000000.0,-1613000000.0,4988000000.0,17318000000.0,-8051000000.0,439000000.0,-8490000000.0,8490000000.0,-5632000000.0,5632000000.0,,31001000000.0,73133000000.0,14601000000.0,14601000000.0,14601000000.0,14601000000.0,13488000000.0,45044000000.0,33783000000.0,11261000000.0,11261000000.0,104134000000.0,156214000000.0,260348000000.0,260348000000.0,2023-12-31
