tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,8457000.0,-32620000.0,25494000.0,201765000.0,8457000.0,-17037000.0,-4528000.0,11228000.0,6700000.0,-32620000.0,-32620000.0,949561000.0,-19792000.0,163044000.0,163044000.0,-0.2,-0.2,-32620000.0,0.0,-32620000.0,-32620000.0,-32620000.0,-32620000.0,4355000.0,-28265000.0,-3945000.0,-3945000.0,-4528000.0,11228000.0,6700000.0,-19792000.0,747796000.0,241395000.0,506401000.0,388094000.0,118307000.0,118307000.0,,728004000.0,201765000.0,929769000.0,929769000.0,2022-10-31
0.0,0.21,302805000.0,268792000.0,26024000.0,205283000.0,302805000.0,276781000.0,1252000.0,11230000.0,12482000.0,268792000.0,268792000.0,985034000.0,266071000.0,187002000.0,164262000.0,1.44,1.64,268792000.0,,268792000.0,268792000.0,268792000.0,268792000.0,-3241000.0,265551000.0,-1772000.0,-1772000.0,1252000.0,11230000.0,12482000.0,266071000.0,779751000.0,243027000.0,536724000.0,427589000.0,109135000.0,109135000.0,,1045822000.0,205283000.0,1251105000.0,1251105000.0,2023-01-31
0.0,0.21,-156335000.0,-196420000.0,24677000.0,207235000.0,-156335000.0,-181012000.0,13080000.0,10858000.0,23938000.0,-196420000.0,-196420000.0,958064000.0,-206556000.0,164991000.0,164991000.0,-1.19,-1.19,-196420000.0,,-196420000.0,-196420000.0,-196420000.0,-196420000.0,4550000.0,-191870000.0,1606000.0,1606000.0,13080000.0,10858000.0,23938000.0,-206556000.0,750829000.0,236952000.0,513877000.0,406505000.0,107372000.0,107372000.0,426939000.0,544273000.0,207235000.0,751508000.0,751508000.0,2023-04-30
0.0,0.21,-23007000.0,-63248000.0,22268000.0,211903000.0,-23007000.0,-45275000.0,17443000.0,11243000.0,28686000.0,-63248000.0,-63248000.0,979106000.0,-68521000.0,166459000.0,166459000.0,-0.38,-0.38,-63248000.0,,-63248000.0,-63248000.0,-63248000.0,-63248000.0,6730000.0,-56518000.0,-5440000.0,-5440000.0,17443000.0,11243000.0,28686000.0,-68521000.0,767203000.0,239099000.0,528104000.0,421635000.0,106469000.0,106469000.0,92357000.0,698682000.0,211903000.0,910585000.0,910585000.0,2023-07-31
0.0,0.0631,135985000.0,96853000.0,22065000.0,209973000.0,135985000.0,113920000.0,16175000.0,10544000.0,26719000.0,96853000.0,96853000.0,984588000.0,82767000.0,185982000.0,167894000.0,0.55,0.58,103114000.0,6261000.0,96853000.0,96853000.0,96853000.0,96853000.0,6523000.0,103376000.0,4434000.0,4434000.0,16175000.0,10544000.0,26719000.0,82767000.0,774615000.0,232541000.0,542074000.0,403584000.0,138490000.0,138490000.0,,857382000.0,209973000.0,1067355000.0,1067355000.0,2023-10-31
