tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,rent_and_landing_fees,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.21,0.0,0.0,2864000000.0,1579000000.0,13433000000.0,4360000000.0,17793000000.0,2864000000.0,2864000000.0,,3832700000.0,3799900000.0,0.67,0.68,2585000000.0,2585000000.0,279000000.0,2864000000.0,236000000.0,2628000000.0,2628000000.0,-127000000.0,2501000000.0,0.0,0.0,2500000000.0,8593000000.0,178000000.0,8415000000.0,,8415000000.0,19660000000.0,19660000000.0,2022-12-31
0.0,0.162,0.0,0.0,4991000000.0,1552000000.0,13336000000.0,6020000000.0,19356000000.0,4991000000.0,4991000000.0,177000000.0,3818700000.0,3785600000.0,1.23,1.24,4713000000.0,4713000000.0,278000000.0,4991000000.0,111000000.0,4880000000.0,4880000000.0,966000000.0,5846000000.0,0.0,0.0,-357000000.0,9746000000.0,154000000.0,9592000000.0,177000000.0,9415000000.0,20729000000.0,20729000000.0,2023-03-31
0.0,0.158,0.0,0.0,4938000000.0,1628000000.0,13163000000.0,7667000000.0,20830000000.0,4938000000.0,4938000000.0,180000000.0,3724900000.0,3699900000.0,1.25,1.26,4659000000.0,4659000000.0,279000000.0,4938000000.0,35000000.0,4903000000.0,4903000000.0,930000000.0,5833000000.0,0.0,0.0,-90000000.0,8970000000.0,184000000.0,8786000000.0,180000000.0,8606000000.0,20533000000.0,20533000000.0,2023-06-30
0.0,0.123,0.0,0.0,5767000000.0,1597000000.0,13105000000.0,8988000000.0,22093000000.0,5767000000.0,5767000000.0,172000000.0,3680600000.0,3648800000.0,1.48,1.49,5450000000.0,5450000000.0,317000000.0,5767000000.0,31000000.0,5736000000.0,5736000000.0,811000000.0,6547000000.0,0.0,0.0,-19000000.0,9014000000.0,215000000.0,8799000000.0,172000000.0,8627000000.0,20857000000.0,20857000000.0,2023-09-30
0.0,0.21,,,3446000000.0,1494000000.0,12771000000.0,10068000000.0,22839000000.0,3446000000.0,3446000000.0,,,,,,3160000000.0,3160000000.0,286000000.0,3446000000.0,-64000000.0,3510000000.0,3510000000.0,-100000000.0,3410000000.0,,,466000000.0,8911000000.0,259000000.0,8652000000.0,,9181000000.0,20478000000.0,20478000000.0,2023-12-31
