tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-24027990.0,0.21,231580000.0,-114419000.0,-114419000.0,86786000.0,10930000.0,235925000.0,117161000.0,106231000.0,-38214000.0,38214000.0,177177010.0,84575000.0,565101000.0,106633000.0,289826000.0,279426000.0,0.3,0.3,85499000.0,924000.0,84575000.0,84575000.0,1164000.0,83411000.0,-2211000.0,85622000.0,-17605000.0,68017000.0,-114821000.0,-402000.0,-114419000.0,114419000.0,-38214000.0,38214000.0,221052000.0,329176000.0,10930000.0,10930000.0,,,10930000.0,80555000.0,237691000.0,127335000.0,110356000.0,110356000.0,,550228000.0,235925000.0,786153000.0,786153000.0,2022-12-31
0.0,0.26,224350000.0,,,120809000.0,22669000.0,240010000.0,224350000.0,201681000.0,-39351000.0,39351000.0,120809000.0,120809000.0,588835000.0,198289000.0,296650000.0,279260000.0,0.42,0.43,123958000.0,3149000.0,120809000.0,120809000.0,118000.0,120691000.0,,120691000.0,41639000.0,162330000.0,3392000.0,3392000.0,,,-39351000.0,39351000.0,198289000.0,348825000.0,22669000.0,22669000.0,12117000.0,12117000.0,10552000.0,98186000.0,227970000.0,137359000.0,90611000.0,90611000.0,,547114000.0,240010000.0,787124000.0,787124000.0,2023-03-31
-2602450.0,0.23,244108000.0,-11315000.0,-11315000.0,137345000.0,2448000.0,262411000.0,232793000.0,218228000.0,-39742000.0,39742000.0,146057550.0,137345000.0,603441000.0,214796000.0,295002000.0,278133000.0,0.48,0.49,140490000.0,3145000.0,137345000.0,137345000.0,0.0,137345000.0,,137345000.0,41141000.0,178486000.0,-7883000.0,3432000.0,-11315000.0,11315000.0,-39742000.0,39742000.0,226111000.0,353147000.0,14565000.0,14565000.0,,,14565000.0,94287000.0,244295000.0,136597000.0,107698000.0,107698000.0,30646000.0,579258000.0,250294000.0,829552000.0,829552000.0,2023-06-30
-2307580.0,0.22,279263000.0,-10489000.0,-10489000.0,163727000.0,17310000.0,255598000.0,268774000.0,251464000.0,-40380000.0,40380000.0,171908420.0,163727000.0,627552000.0,243559000.0,293380000.0,275223000.0,0.57,0.59,166894000.0,3167000.0,163727000.0,163727000.0,-29000.0,163756000.0,,163756000.0,47328000.0,211084000.0,-2584000.0,7905000.0,-10489000.0,10489000.0,-40380000.0,40380000.0,254048000.0,371954000.0,17310000.0,17310000.0,,,17310000.0,94141000.0,260503000.0,153408000.0,107095000.0,107095000.0,,626002000.0,255598000.0,881600000.0,881600000.0,2023-09-30
-4559100.0,0.21,306385000.0,-21710000.0,-21710000.0,229658000.0,19380000.0,208112000.0,284675000.0,265295000.0,-13614000.0,40414000.0,246808900.0,229658000.0,592166000.0,260252000.0,288205000.0,270576000.0,0.81,0.85,232801000.0,3143000.0,229658000.0,229658000.0,-22000.0,229680000.0,,229680000.0,-4799000.0,224881000.0,-35567000.0,-13857000.0,-13810000.0,13810000.0,-13614000.0,40414000.0,274062000.0,384054000.0,19380000.0,19380000.0,,,19380000.0,97571000.0,267103000.0,158898000.0,108205000.0,108205000.0,,658116000.0,208112000.0,866228000.0,866228000.0,2023-12-31
