free_cash_flow,repurchase_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_from_discontinued_financing_activities,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,investing_cash_flow,cash_from_discontinued_investing_activities,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_business_purchase_and_sale,purchase_of_business,capital_expenditure_reported,operating_cash_flow,cash_from_discontinued_operating_activities,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,net_income_from_continuing_operations,date
214485000.0,0.0,-10752000.0,572516000.0,390752000.0,9692000.0,172072000.0,-42902000.0,0.0,-42902000.0,-46599000.0,3697000.0,0.0,0.0,-10263000.0,0.0,-10263000.0,489000.0,0.0,0.0,-10752000.0,225237000.0,0.0,225237000.0,-8456000.0,4638000.0,5827000.0,-5267000.0,-5267000.0,-5267000.0,-13654000.0,-13654000.0,5636000.0,53556000.0,114419000.0,-36470000.0,-36470000.0,10930000.0,10930000.0,,,10930000.0,85622000.0,2022-12-31
100544000.0,-112502000.0,-19843000.0,570001000.0,572516000.0,1820000.0,-4335000.0,-104932000.0,,-104932000.0,-3628000.0,11198000.0,-112502000.0,-112502000.0,-19790000.0,,-19790000.0,53000.0,,,-19843000.0,120387000.0,,120387000.0,-78484000.0,22953000.0,-1282000.0,-34427000.0,-34427000.0,-34427000.0,-65728000.0,-65728000.0,2237000.0,41563000.0,,11711000.0,11711000.0,22669000.0,22669000.0,12117000.0,12117000.0,10552000.0,120691000.0,2023-03-31
191864000.0,-32606000.0,-17614000.0,732690000.0,570001000.0,-399000.0,163088000.0,-28812000.0,,-28812000.0,-824000.0,4618000.0,-32606000.0,-32606000.0,-17578000.0,,-17578000.0,36000.0,,,-17614000.0,209478000.0,,209478000.0,-33975000.0,-26478000.0,3410000.0,6439000.0,6439000.0,6439000.0,-17346000.0,-17346000.0,4675000.0,60637000.0,,14916000.0,14916000.0,2448000.0,2448000.0,,,14565000.0,137345000.0,2023-06-30
278244000.0,-300000000.0,-12563000.0,707002000.0,732690000.0,-3525000.0,-22163000.0,-302762000.0,,-302762000.0,-3353000.0,591000.0,-300000000.0,-300000000.0,-10208000.0,,-10208000.0,2355000.0,,,-12563000.0,290807000.0,,290807000.0,19610000.0,-12348000.0,5329000.0,43689000.0,43689000.0,43689000.0,-17060000.0,-17060000.0,-265000.0,61745000.0,10489000.0,18162000.0,18162000.0,17310000.0,17310000.0,,,17310000.0,163756000.0,2023-09-30
258727000.0,-101090000.0,-17392000.0,862440000.0,707002000.0,5886000.0,149552000.0,-97562000.0,,-97562000.0,19000.0,3509000.0,-101090000.0,-101090000.0,-29005000.0,,-29005000.0,-46000.0,-11567000.0,-11567000.0,-17392000.0,276119000.0,,276119000.0,-40013000.0,-28671000.0,17598000.0,-21662000.0,-21662000.0,-21662000.0,-7278000.0,-7278000.0,3285000.0,68154000.0,13810000.0,-18177000.0,-18177000.0,19380000.0,19380000.0,,,19380000.0,229680000.0,2023-12-31
