tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,write_off,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1407280.334728,0.210042,161600000.0,-6700000.0,-6700000.0,94400000.0,21700000.0,808600000.0,154900000.0,133200000.0,-12600000.0,13700000.0,99692719.665272,94400000.0,963200000.0,131600000.0,35600000.0,35400000.0,2.65,2.66,94400000.0,94400000.0,94400000.0,94400000.0,0.0,94400000.0,25100000.0,119500000.0,1500000.0,7000000.0,-8100000.0,-300000.0,7500000.0,,300000.0,1200000.0,1400000.0,-12600000.0,13700000.0,130600000.0,154600000.0,-400000.0,155000000.0,,,,285200000.0,808600000.0,1093800000.0,1093800000.0,2022-12-31
282100.0,0.217,157600000.0,1300000.0,1300000.0,98000000.0,19600000.0,742800000.0,158900000.0,139300000.0,-14200000.0,14200000.0,96982100.0,98000000.0,909500000.0,139500000.0,35600000.0,35500000.0,2.75,2.76,98000000.0,98000000.0,98000000.0,98000000.0,,98000000.0,27100000.0,125100000.0,-600000.0,-2600000.0,300000.0,300000.0,,,0.0,700000.0,1000000.0,-14200000.0,14200000.0,139900000.0,166700000.0,-800000.0,167500000.0,,,,306600000.0,742800000.0,1049400000.0,1049400000.0,2023-03-31
-299200.0,0.176,301300000.0,-1700000.0,-1700000.0,217200000.0,20900000.0,953600000.0,299600000.0,278700000.0,-15000000.0,15000000.0,218600800.0,217200000.0,1134800000.0,278800000.0,35600000.0,35500000.0,6.1,6.12,217200000.0,217200000.0,217200000.0,217200000.0,,217200000.0,46500000.0,263700000.0,2100000.0,700000.0,-3800000.0,1000000.0,4800000.0,,0.0,3100000.0,2100000.0,-15000000.0,15000000.0,276600000.0,181200000.0,-200000.0,181400000.0,181400000.0,181300000.0,100000.0,457800000.0,953600000.0,1411400000.0,1411400000.0,2023-06-30
-15897600.0,0.256,270000000.0,-62100000.0,-62100000.0,130400000.0,21500000.0,937800000.0,207900000.0,186400000.0,-11200000.0,11200000.0,176602400.0,130400000.0,1116900000.0,186800000.0,35700000.0,35500000.0,3.65,3.67,130400000.0,130400000.0,130400000.0,130400000.0,,130400000.0,44800000.0,175200000.0,-63000000.0,-5100000.0,-63300000.0,200000.0,,63200000.0,300000.0,4200000.0,1200000.0,-11200000.0,11200000.0,249400000.0,179100000.0,-100000.0,179200000.0,179200000.0,178900000.0,300000.0,428500000.0,937800000.0,1366300000.0,1366300000.0,2023-09-30
-866666.666667,0.166667,218200000.0,-5200000.0,-5200000.0,144500000.0,24000000.0,800000000.0,213000000.0,189000000.0,-11300000.0,15600000.0,148833333.333333,144500000.0,977300000.0,185300000.0,35800000.0,35600000.0,4.04,4.07,144500000.0,144500000.0,144500000.0,144500000.0,,144500000.0,28900000.0,173400000.0,7200000.0,11900000.0,-5300000.0,-900000.0,,0.0,2900000.0,500000.0,100000.0,-11300000.0,15600000.0,177500000.0,177300000.0,-200000.0,177500000.0,177500000.0,177900000.0,,354800000.0,800000000.0,1154800000.0,1154800000.0,2023-12-31
-659600.0,0.194,193400000.0,-3400000.0,-3400000.0,124300000.0,24000000.0,707100000.0,190000000.0,166000000.0,-11800000.0,11800000.0,127040400.0,124300000.0,878100000.0,166800000.0,35800000.0,35600000.0,3.47,3.49,124300000.0,124300000.0,124300000.0,124300000.0,,124300000.0,29900000.0,154200000.0,-3000000.0,-800000.0,-2000000.0,400000.0,2400000.0,,,1200000.0,-1400000.0,-11800000.0,11800000.0,169000000.0,171000000.0,300000.0,170700000.0,170700000.0,170700000.0,0.0,340000000.0,707100000.0,1047100000.0,1047100000.0,2024-03-31
