symbol,sector,market_cap,ordinary_shares_number,date,predictions,prev_market_cap,fair_market_cup_via_diff,market_cap_norm,fair_market_cap_norm
LII,Industrials,8602151234.633682,35497453.0,2023-03-31,0.03343550365226296,11041300835.469225,11410472289.87929,242.33150571771114,321.44481717827165
LII,Industrials,11041300835.469225,35511246.0,2023-06-30,0.27369421567525865,13247398455.917875,16873134786.04795,310.9240615062965,475.14904957285785
LII,Industrials,13247398455.917875,35536933.0,2023-09-30,0.1816503576384056,15710755116.117006,18564619401.729073,372.77832771662867,522.403534422317
LII,Industrials,15710755116.117006,35582094.0,2023-12-31,0.1915815599007275,17244130889.08757,20547788383.951286,441.53542835666184,577.4755241766065
LII,Industrials,17244130889.08757,35622124.0,2024-03-31,0.08566748600796774,,,484.0848594285835,
