ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,dueto_related_parties_current,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,treasury_shares_number
2614000000.0,2614000000.0,26591000000.0,104510000000.0,135636000000.0,32523000000.0,104510000000.0,16668000000.0,125713000000.0,135636000000.0,125713000000.0,125713000000.0,-3530000000.0,-3530000000.0,64799000000.0,64444000000.0,0.0,0.0,60014000000.0,32988000000.0,1119000000.0,6645000000.0,25224000000.0,15301000000.0,9923000000.0,27026000000.0,4906000000.0,1367000000.0,1367000000.0,4591000000.0,16162000000.0,7716000000.0,8446000000.0,1117000000.0,2339000000.0,4990000000.0,185727000000.0,126178000000.0,6583000000.0,6201000000.0,6201000000.0,6201000000.0,21203000000.0,897000000.0,20306000000.0,92191000000.0,-24975000000.0,117166000000.0,6522000000.0,25052000000.0,55998000000.0,27720000000.0,1874000000.0,0.0,59549000000.0,5345000000.0,13466000000.0,13466000000.0,40738000000.0,26057000000.0,14681000000.0,8505000000.0,6176000000.0,2022-12-31,
2566000000.0,2566000000.0,27575000000.0,103197000000.0,134720000000.0,27102000000.0,103197000000.0,17650000000.0,124795000000.0,134720000000.0,124795000000.0,124795000000.0,-2981000000.0,-2981000000.0,61241000000.0,66535000000.0,0.0,0.0,59696000000.0,34315000000.0,1273000000.0,6946000000.0,26096000000.0,16171000000.0,9925000000.0,25381000000.0,4329000000.0,1479000000.0,1479000000.0,3392000000.0,16181000000.0,8035000000.0,8146000000.0,885000000.0,3589000000.0,3672000000.0,184491000000.0,132008000000.0,7188000000.0,6167000000.0,6167000000.0,6167000000.0,21598000000.0,949000000.0,20649000000.0,97055000000.0,-26979000000.0,124034000000.0,6654000000.0,25039000000.0,59585000000.0,30882000000.0,1874000000.0,0.0,52483000000.0,4000000000.0,11044000000.0,11044000000.0,37439000000.0,25888000000.0,11551000000.0,5871000000.0,5680000000.0,2023-03-31,
2573000000.0,2573000000.0,36218000000.0,112518000000.0,152415000000.0,39639000000.0,112518000000.0,17836000000.0,134033000000.0,152415000000.0,134033000000.0,134033000000.0,-3106000000.0,-3106000000.0,67980000000.0,69159000000.0,0.0,0.0,72655000000.0,42734000000.0,1342000000.0,6570000000.0,34822000000.0,16440000000.0,18382000000.0,29921000000.0,4723000000.0,1396000000.0,1396000000.0,4338000000.0,19464000000.0,9762000000.0,9702000000.0,772000000.0,5837000000.0,3093000000.0,206688000000.0,137128000000.0,8501000000.0,6208000000.0,6208000000.0,6208000000.0,21515000000.0,856000000.0,20659000000.0,100904000000.0,-28953000000.0,129857000000.0,6661000000.0,24843000000.0,64032000000.0,32446000000.0,1875000000.0,0.0,69560000000.0,3603000000.0,12511000000.0,12511000000.0,53446000000.0,24661000000.0,28785000000.0,22663000000.0,6122000000.0,2023-06-30,
2571000000.0,2571000000.0,36217000000.0,121392000000.0,161256000000.0,47847000000.0,121392000000.0,17834000000.0,142873000000.0,161256000000.0,142873000000.0,142873000000.0,-3556000000.0,-3556000000.0,75205000000.0,71224000000.0,0.0,0.0,73401000000.0,42870000000.0,1281000000.0,6832000000.0,34757000000.0,16374000000.0,18383000000.0,30531000000.0,4931000000.0,1460000000.0,1460000000.0,4968000000.0,19172000000.0,9422000000.0,9750000000.0,770000000.0,4608000000.0,4372000000.0,216274000000.0,137896000000.0,5468000000.0,6142000000.0,6142000000.0,6142000000.0,21481000000.0,813000000.0,20668000000.0,104805000000.0,-30848000000.0,135653000000.0,6841000000.0,22945000000.0,68545000000.0,35422000000.0,1900000000.0,0.0,78378000000.0,4311000000.0,12944000000.0,12944000000.0,61123000000.0,24233000000.0,36890000000.0,31557000000.0,5333000000.0,2023-09-30,
2561000000.0,2561000000.0,37234000000.0,131726000000.0,171553000000.0,53405000000.0,131726000000.0,18849000000.0,153168000000.0,171553000000.0,153168000000.0,153168000000.0,-2155000000.0,-2155000000.0,82070000000.0,73253000000.0,0.0,0.0,76455000000.0,44495000000.0,1370000000.0,7514000000.0,35611000000.0,17226000000.0,18385000000.0,31960000000.0,5506000000.0,1623000000.0,1623000000.0,6659000000.0,18172000000.0,8805000000.0,9367000000.0,863000000.0,3655000000.0,4849000000.0,229623000000.0,144258000000.0,6794000000.0,6141000000.0,6141000000.0,6141000000.0,21442000000.0,788000000.0,20654000000.0,109881000000.0,-33134000000.0,143015000000.0,6972000000.0,24269000000.0,71733000000.0,37961000000.0,2080000000.0,0.0,85365000000.0,3793000000.0,16169000000.0,16169000000.0,65403000000.0,23541000000.0,41862000000.0,35597000000.0,6265000000.0,2023-12-31,0.0
2537000000.0,2537000000.0,37633000000.0,128875000000.0,167916000000.0,47229000000.0,128875000000.0,19246000000.0,149529000000.0,167916000000.0,149529000000.0,149529000000.0,-2655000000.0,-2655000000.0,76793000000.0,75391000000.0,0.0,0.0,73315000000.0,45214000000.0,1462000000.0,7795000000.0,35957000000.0,17570000000.0,18387000000.0,28101000000.0,4909000000.0,1676000000.0,1676000000.0,3333000000.0,18183000000.0,9535000000.0,8648000000.0,,4863000000.0,3785000000.0,222844000000.0,147514000000.0,8179000000.0,6218000000.0,6218000000.0,6218000000.0,20654000000.0,,20654000000.0,112463000000.0,-35910000000.0,148373000000.0,7079000000.0,22975000000.0,76922000000.0,39322000000.0,2075000000.0,0.0,75330000000.0,3780000000.0,13430000000.0,13430000000.0,58120000000.0,25813000000.0,32307000000.0,25812000000.0,6495000000.0,2024-03-31,
