tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-6930000.0,0.21,2938000000.0,-33000000.0,-33000000.0,2511000000.0,165000000.0,1653000000.0,2905000000.0,2740000000.0,-229000000.0,229000000.0,,2537070000.0,2511000000.0,1959000000.0,2762000000.0,484000000.0,484000000.0,4.63,4.63,2241000000.0,2241000000.0,,270000000.0,2511000000.0,2511000000.0,2511000000.0,2511000000.0,-22000000.0,11000000.0,-33000000.0,,-229000000.0,229000000.0,,2762000000.0,306000000.0,,24000000.0,24000000.0,24000000.0,3068000000.0,1653000000.0,4721000000.0,4703000000.0,2022-12-31
0.0,0.21,2310000000.0,,,1935000000.0,167000000.0,497000000.0,2310000000.0,2143000000.0,-208000000.0,208000000.0,,1935000000.0,1935000000.0,788000000.0,2129000000.0,484000000.0,484000000.0,3.5,3.5,1696000000.0,1696000000.0,201000000.0,38000000.0,1935000000.0,1935000000.0,1935000000.0,1935000000.0,14000000.0,14000000.0,,,-208000000.0,208000000.0,,2129000000.0,291000000.0,,25000000.0,25000000.0,25000000.0,2420000000.0,497000000.0,2917000000.0,2901000000.0,2023-03-31
-420000.0,0.21,998000000.0,-2000000.0,-2000000.0,622000000.0,167000000.0,771000000.0,996000000.0,829000000.0,-207000000.0,207000000.0,,623580000.0,622000000.0,1115000000.0,818000000.0,484000000.0,484000000.0,0.84,0.84,407000000.0,407000000.0,,215000000.0,622000000.0,622000000.0,622000000.0,622000000.0,11000000.0,13000000.0,-2000000.0,2000000.0,-207000000.0,207000000.0,,818000000.0,344000000.0,2000000.0,27000000.0,27000000.0,27000000.0,1162000000.0,771000000.0,1933000000.0,1917000000.0,2023-06-30
-840000.0,0.21,1166000000.0,-4000000.0,-4000000.0,791000000.0,166000000.0,850000000.0,1162000000.0,996000000.0,-193000000.0,205000000.0,12000000.0,794160000.0,791000000.0,1140000000.0,988000000.0,484000000.0,484000000.0,1.19,1.19,574000000.0,575000000.0,,216000000.0,791000000.0,791000000.0,791000000.0,791000000.0,-4000000.0,,-4000000.0,4000000.0,-193000000.0,205000000.0,12000000.0,988000000.0,290000000.0,5000000.0,22000000.0,22000000.0,22000000.0,1278000000.0,850000000.0,2128000000.0,2113000000.0,2023-09-30
0.0,0.21,1281000000.0,0.0,0.0,906000000.0,172000000.0,1297000000.0,1281000000.0,1109000000.0,-196000000.0,203000000.0,7000000.0,906000000.0,906000000.0,1585000000.0,1101000000.0,,,,,686000000.0,684000000.0,,222000000.0,906000000.0,906000000.0,906000000.0,906000000.0,1000000.0,,0.0,0.0,-196000000.0,203000000.0,7000000.0,1101000000.0,288000000.0,0.0,25000000.0,25000000.0,25000000.0,1389000000.0,1297000000.0,2686000000.0,2670000000.0,2023-12-31
