tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,insurance_and_claims,rent_and_landing_fees,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
43702470.0,0.21,420548000.0,208107000.0,208107000.0,100470000.0,1781659000.0,628655000.0,628655000.0,73319000.0,577624000.0,650943000.0,-63934530.0,100470000.0,2456864000.0,21578000.0,,,,,83220000.0,0.0,83220000.0,17250000.0,100470000.0,142603000.0,-42133000.0,-42133000.0,93164000.0,51031000.0,-94119000.0,-466746000.0,2703000.0,-2703000.0,164520000.0,205404000.0,73319000.0,577624000.0,650943000.0,71831000.0,675205000.0,675205000.0,675205000.0,494411000.0,159216000.0,21578000.0,747036000.0,1781659000.0,2528695000.0,2528695000.0,2022-12-31
80080000.0,0.364,805034000.0,220000000.0,220000000.0,339994000.0,2102724000.0,1025034000.0,1025034000.0,112017000.0,616599000.0,728616000.0,200074000.0,339994000.0,2775611000.0,22149000.0,887169336.0,861108510.0,0.36,0.37,322744000.0,,322744000.0,17250000.0,339994000.0,80306000.0,259688000.0,259688000.0,148747000.0,408435000.0,-55453000.0,-344177000.0,-44211000.0,44211000.0,68724000.0,264211000.0,112017000.0,616599000.0,728616000.0,351871000.0,672887000.0,672887000.0,672887000.0,425420000.0,225318000.0,22149000.0,1024758000.0,2102724000.0,3127482000.0,3127482000.0,2023-03-31
182629664.0,0.224,1395642000.0,815311000.0,815311000.0,861712000.0,2393128000.0,2210953000.0,2210953000.0,90121000.0,759940000.0,850061000.0,229030664.0,861712000.0,3082480000.0,23593000.0,912147881.0,861553274.0,0.94,0.98,861712000.0,17249000.0,844463000.0,17249000.0,861712000.0,-264346000.0,1126058000.0,1126058000.0,324955000.0,1451013000.0,856712000.0,-210694000.0,-170000.0,170000.0,252095000.0,815481000.0,90121000.0,759940000.0,850061000.0,504180000.0,689352000.0,689352000.0,689352000.0,493638000.0,172121000.0,23593000.0,1193532000.0,2393128000.0,3586660000.0,3586660000.0,2023-06-30
265088905.0,0.155,1878005000.0,1710251000.0,1710251000.0,1490126000.0,1647820000.0,3588256000.0,3588256000.0,104374000.0,769066000.0,873440000.0,44963905.0,1490126000.0,2253143000.0,24498000.0,909056980.0,862123088.0,1.64,1.71,1490126000.0,17248000.0,1472878000.0,17248000.0,1490126000.0,-891854000.0,2381980000.0,2381980000.0,437210000.0,2819190000.0,1694819000.0,-197293000.0,-17656000.0,17656000.0,181861000.0,1727907000.0,104374000.0,769066000.0,873440000.0,1019997000.0,605323000.0,605323000.0,605323000.0,426514000.0,154311000.0,24498000.0,1625320000.0,1647820000.0,3273140000.0,3273140000.0,2023-09-30
171866437.379362,0.15278,1551410000.0,1124927000.0,1124927000.0,1040429000.0,3256510000.0,2676337000.0,2676337000.0,116964000.0,800366000.0,917330000.0,87368437.379362,1040429000.0,4011451000.0,23151000.0,,,,,1040429000.0,0.0,1040429000.0,0.0,1040429000.0,-548931000.0,1589360000.0,1589360000.0,286611000.0,1875971000.0,1397712000.0,-138209000.0,,,410994000.0,1124927000.0,116964000.0,800366000.0,917330000.0,361295000.0,754941000.0,754941000.0,754941000.0,457542000.0,274248000.0,23151000.0,1116236000.0,3256510000.0,4372746000.0,4372746000.0,2023-12-31
