tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,gain_on_sale_of_business
-10580000.0,0.23,796000000.0,-46000000.0,-46000000.0,329000000.0,260000000.0,1611000000.0,750000000.0,490000000.0,-48000000.0,68000000.0,20000000.0,364420000.0,2331000000.0,2857000000.0,596300000.0,592900000.0,5.41,5.44,2331000000.0,2331000000.0,2331000000.0,5000000.0,2326000000.0,2002000000.0,324000000.0,98000000.0,422000000.0,-46000000.0,,-57000000.0,57000000.0,0.0,11000000.0,-48000000.0,68000000.0,20000000.0,516000000.0,1104000000.0,-44000000.0,118000000.0,118000000.0,118000000.0,118000000.0,1030000000.0,,,1620000000.0,1753000000.0,3373000000.0,3373000000.0,2022-12-31,
-3200000.0,0.16,993000000.0,-20000000.0,-20000000.0,527000000.0,263000000.0,1811000000.0,973000000.0,710000000.0,-53000000.0,71000000.0,18000000.0,543800000.0,792000000.0,3074000000.0,573913043.0,573913043.0,1.38,1.38,792000000.0,792000000.0,792000000.0,22000000.0,770000000.0,265000000.0,505000000.0,134000000.0,639000000.0,10000000.0,30000000.0,-29000000.0,29000000.0,0.0,9000000.0,-53000000.0,71000000.0,18000000.0,682000000.0,1119000000.0,,119000000.0,119000000.0,119000000.0,119000000.0,1000000000.0,1000000000.0,1000000000.0,1801000000.0,1955000000.0,3756000000.0,3756000000.0,2023-03-31,
-9660000.0,0.21,1132000000.0,-46000000.0,-46000000.0,589000000.0,257000000.0,1815000000.0,1086000000.0,829000000.0,0.0,68000000.0,68000000.0,625340000.0,9352000000.0,3114000000.0,574447174.0,574000000.0,16.28,16.292683,9352000000.0,9352000000.0,9352000000.0,-14000000.0,9366000000.0,8763000000.0,603000000.0,158000000.0,761000000.0,-71000000.0,36000000.0,-50000000.0,50000000.0,-61000000.0,4000000.0,0.0,68000000.0,68000000.0,832000000.0,1162000000.0,,120000000.0,120000000.0,120000000.0,120000000.0,1042000000.0,1042000000.0,1042000000.0,1994000000.0,1952000000.0,3946000000.0,3946000000.0,2023-06-30,
-12715707.964602,0.231195,1284000000.0,-55000000.0,-55000000.0,701000000.0,271000000.0,1932000000.0,1229000000.0,958000000.0,108000000.0,54000000.0,162000000.0,743284292.035398,744000000.0,3317000000.0,574700000.0,572000000.0,1.29,1.300699,744000000.0,744000000.0,744000000.0,6000000.0,738000000.0,43000000.0,695000000.0,209000000.0,904000000.0,23000000.0,33000000.0,-52000000.0,52000000.0,45000000.0,-3000000.0,108000000.0,54000000.0,162000000.0,773000000.0,1239000000.0,,125000000.0,125000000.0,125000000.0,125000000.0,1114000000.0,1114000000.0,1114000000.0,2012000000.0,2078000000.0,4090000000.0,4090000000.0,2023-09-30,
-9850000.0,0.05,842000000.0,-197000000.0,-197000000.0,142000000.0,422000000.0,2053000000.0,645000000.0,223000000.0,-13000000.0,84000000.0,71000000.0,329150000.0,142000000.0,3752000000.0,573300000.0,570800000.0,0.25,0.25,142000000.0,142000000.0,142000000.0,10000000.0,132000000.0,0.0,132000000.0,7000000.0,139000000.0,-213000000.0,20000000.0,-163000000.0,163000000.0,-36000000.0,-34000000.0,-13000000.0,84000000.0,71000000.0,365000000.0,1551000000.0,,274000000.0,274000000.0,274000000.0,274000000.0,1277000000.0,,,1916000000.0,2201000000.0,4117000000.0,4117000000.0,2023-12-31,0.0
