tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-16380000.0,0.21,274000000.0,-78000000.0,-78000000.0,1000000.0,117000000.0,1997000000.0,196000000.0,79000000.0,-48000000.0,51000000.0,3000000.0,62620000.0,1000000.0,2233000000.0,120500000.0,119500000.0,0.01,0.01,1000000.0,1000000.0,1000000.0,-1000000.0,2000000.0,2000000.0,26000000.0,28000000.0,-64000000.0,14000000.0,-79000000.0,,-50000000.0,15000000.0,29000000.0,1000000.0,-48000000.0,51000000.0,3000000.0,140000000.0,236000000.0,64000000.0,172000000.0,,,,376000000.0,1997000000.0,2373000000.0,2373000000.0,2022-12-31
-9300000.0,0.31,420000000.0,-30000000.0,-30000000.0,134000000.0,141000000.0,1883000000.0,390000000.0,249000000.0,-52000000.0,55000000.0,3000000.0,154700000.0,134000000.0,2136000000.0,119700000.0,118900000.0,1.12,1.13,134000000.0,134000000.0,134000000.0,0.0,134000000.0,134000000.0,60000000.0,194000000.0,-30000000.0,,-22000000.0,,0.0,,22000000.0,-8000000.0,-52000000.0,55000000.0,3000000.0,276000000.0,253000000.0,62000000.0,191000000.0,,,,529000000.0,1883000000.0,2412000000.0,2412000000.0,2023-03-31
-420000.0,0.21,447000000.0,-2000000.0,-2000000.0,272000000.0,119000000.0,1740000000.0,445000000.0,326000000.0,-54000000.0,57000000.0,3000000.0,273580000.0,272000000.0,1982000000.0,119600000.0,118800000.0,2.27,2.28,272000000.0,272000000.0,272000000.0,0.0,272000000.0,272000000.0,-3000000.0,269000000.0,-19000000.0,-17000000.0,0.0,0.0,0.0,,0.0,-2000000.0,-54000000.0,57000000.0,3000000.0,342000000.0,242000000.0,60000000.0,182000000.0,182000000.0,185000000.0,-3000000.0,584000000.0,1740000000.0,2324000000.0,2324000000.0,2023-06-30
-300000.0,0.1,381000000.0,-3000000.0,-3000000.0,178000000.0,120000000.0,1783000000.0,378000000.0,258000000.0,-57000000.0,59000000.0,2000000.0,180700000.0,178000000.0,2003000000.0,119000000.0,118500000.0,1.49,1.5,178000000.0,178000000.0,178000000.0,-1000000.0,179000000.0,179000000.0,20000000.0,199000000.0,-8000000.0,-5000000.0,0.0,,0.0,0.0,0.0,-3000000.0,-57000000.0,59000000.0,2000000.0,264000000.0,220000000.0,60000000.0,160000000.0,,,,484000000.0,1783000000.0,2267000000.0,2267000000.0,2023-09-30
85835294.117647,0.268235,277000000.0,320000000.0,320000000.0,310000000.0,118000000.0,1743000000.0,597000000.0,479000000.0,-52000000.0,54000000.0,2000000.0,75835294.117647,310000000.0,2032000000.0,118700000.0,118000000.0,2.61,2.63,310000000.0,310000000.0,310000000.0,-1000000.0,311000000.0,311000000.0,114000000.0,425000000.0,302000000.0,-18000000.0,308000000.0,,323000000.0,0.0,15000000.0,12000000.0,-52000000.0,54000000.0,2000000.0,175000000.0,289000000.0,57000000.0,232000000.0,,,,464000000.0,1743000000.0,2207000000.0,2207000000.0,2023-12-31
-3680000.0,0.23,410000000.0,-16000000.0,-16000000.0,165000000.0,127000000.0,1778000000.0,394000000.0,267000000.0,-49000000.0,53000000.0,4000000.0,177320000.0,165000000.0,2023000000.0,118200000.0,117400000.0,1.39,1.4,165000000.0,165000000.0,165000000.0,0.0,165000000.0,165000000.0,49000000.0,214000000.0,-24000000.0,-8000000.0,-11000000.0,,,,11000000.0,-5000000.0,-49000000.0,53000000.0,4000000.0,287000000.0,245000000.0,59000000.0,186000000.0,186000000.0,191000000.0,-5000000.0,532000000.0,1778000000.0,2310000000.0,2310000000.0,2024-03-31
