free_cash_flow,repurchase_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_short_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,gain_loss_on_sale_of_ppe,gain_loss_on_sale_of_business,net_income_from_continuing_operations,date
326839000.0,-1397000.0,-58176000.0,345386000.0,309944000.0,22159000.0,13283000.0,-74510000.0,-74510000.0,-1899000.0,26696000.0,-50534000.0,-50534000.0,-1397000.0,-1397000.0,-47376000.0,-47376000.0,-297222000.0,-297222000.0,347000.0,-239393000.0,0.0,-239393000.0,-58176000.0,0.0,-58176000.0,385015000.0,385015000.0,32838000.0,-21222000.0,12788000.0,-34929000.0,-34929000.0,88459000.0,88459000.0,0.0,0.0,0.0,307081000.0,2022-12-31
366530000.0,-6502000.0,-20006000.0,399873000.0,345386000.0,5077000.0,49410000.0,-214966000.0,-214966000.0,-5886000.0,10419000.0,-57492000.0,-57492000.0,-6502000.0,-6502000.0,-155505000.0,-155505000.0,-122160000.0,-122160000.0,-2888000.0,-99266000.0,,-99266000.0,-20006000.0,0.0,-20006000.0,386536000.0,386536000.0,4883000.0,870000.0,10279000.0,-17587000.0,-17587000.0,82379000.0,82379000.0,,0.0,,305712000.0,2023-03-31
307418000.0,-22000.0,-27829000.0,605587000.0,399873000.0,419000.0,205295000.0,-102125000.0,-102125000.0,945000.0,18636000.0,-57579000.0,-57579000.0,-22000.0,-22000.0,-64105000.0,-64105000.0,-27827000.0,-27827000.0,2000.0,0.0,,0.0,-27829000.0,0.0,-27829000.0,335247000.0,335247000.0,-56510000.0,-6065000.0,12581000.0,-20557000.0,-20557000.0,81556000.0,81556000.0,,0.0,,324242000.0,2023-06-30
444185000.0,-54000.0,-28671000.0,841901000.0,605587000.0,-12535000.0,248849000.0,-47683000.0,-47683000.0,-127000.0,11065000.0,-57622000.0,-57622000.0,-54000.0,-54000.0,-945000.0,-945000.0,-176324000.0,-176324000.0,-263000.0,-147390000.0,,-147390000.0,-28671000.0,0.0,-28671000.0,472856000.0,472856000.0,78893000.0,-11717000.0,12913000.0,-29381000.0,-29381000.0,81778000.0,81778000.0,,0.0,,340370000.0,2023-09-30
480914000.0,-1194000.0,-59743000.0,409804000.0,841901000.0,15308000.0,-447405000.0,1062057000.0,1062057000.0,-2680000.0,10730000.0,-57636000.0,-57636000.0,-1194000.0,-1194000.0,1112837000.0,1112837000.0,-2050119000.0,-2050119000.0,-2000.0,-1991254000.0,0.0,-1991254000.0,-58863000.0,880000.0,-59743000.0,540657000.0,540657000.0,115520000.0,4422000.0,10426000.0,-24378000.0,-24378000.0,91923000.0,91923000.0,,-120000.0,0.0,342864000.0,2023-12-31
