tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
3223504.721931,0.268625,1735000000.0,12000000.0,12000000.0,669000000.0,505000000.0,1213000000.0,1747000000.0,1242000000.0,-289000000.0,289000000.0,660223504.721931,669000000.0,1858000000.0,1072000000.0,,,,,668000000.0,668000000.0,1000000.0,669000000.0,-28000000.0,697000000.0,,697000000.0,256000000.0,953000000.0,170000000.0,13000000.0,,,145000000.0,12000000.0,-289000000.0,289000000.0,1072000000.0,645000000.0,14000000.0,159000000.0,1717000000.0,1213000000.0,2930000000.0,2826000000.0,2022-12-31
1830781.62772,0.228848,2033000000.0,8000000.0,8000000.0,927000000.0,506000000.0,1113000000.0,2041000000.0,1535000000.0,-294000000.0,294000000.0,920830781.62772,927000000.0,1721000000.0,1360000000.0,1225781000.0,1219465000.0,0.76,0.76,926000000.0,926000000.0,1000000.0,927000000.0,-30000000.0,957000000.0,,957000000.0,284000000.0,1241000000.0,175000000.0,20000000.0,,,147000000.0,8000000.0,-294000000.0,294000000.0,1360000000.0,608000000.0,-31000000.0,176000000.0,1968000000.0,1113000000.0,3081000000.0,2575000000.0,2023-03-31
3009259.259259,0.231481,1564000000.0,13000000.0,13000000.0,547000000.0,515000000.0,980000000.0,1577000000.0,1062000000.0,-306000000.0,306000000.0,537009259.259259,460000000.0,1613000000.0,870000000.0,1219915000.0,1217673000.0,0.38,0.38,460000000.0,460000000.0,,460000000.0,-34000000.0,494000000.0,-87000000.0,581000000.0,175000000.0,756000000.0,192000000.0,19000000.0,,,160000000.0,13000000.0,-306000000.0,306000000.0,870000000.0,633000000.0,-9000000.0,161000000.0,1503000000.0,980000000.0,2483000000.0,2368000000.0,2023-06-30
31479674.796748,0.204413,1542000000.0,154000000.0,154000000.0,655000000.0,521000000.0,1036000000.0,1696000000.0,1175000000.0,-314000000.0,314000000.0,532479674.796748,654000000.0,1695000000.0,994000000.0,1220073000.0,1216951000.0,0.54,0.54,653000000.0,653000000.0,1000000.0,654000000.0,-30000000.0,684000000.0,-1000000.0,685000000.0,176000000.0,861000000.0,311000000.0,30000000.0,130000000.0,130000000.0,127000000.0,24000000.0,-314000000.0,314000000.0,864000000.0,659000000.0,-9000000.0,146000000.0,1523000000.0,1036000000.0,2559000000.0,2535000000.0,2023-09-30
123652230.122818,0.239173,1881000000.0,517000000.0,517000000.0,1147000000.0,529000000.0,977000000.0,2398000000.0,1869000000.0,-243000000.0,322000000.0,753652230.122818,1138000000.0,1696000000.0,1087000000.0,,,,,1137000000.0,1137000000.0,1000000.0,1138000000.0,-30000000.0,1168000000.0,-9000000.0,1177000000.0,370000000.0,1547000000.0,702000000.0,30000000.0,533000000.0,-1000000.0,155000000.0,-16000000.0,-243000000.0,322000000.0,1088000000.0,719000000.0,19000000.0,182000000.0,1807000000.0,977000000.0,2784000000.0,2473000000.0,2023-12-31
