free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_investment_properties_purchase_and_sale,sale_of_investment_properties,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,dividend_received_cfo,change_in_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,other_non_cash_items,stock_based_compensation,provisionand_write_offof_assets,depreciation_amortization_depletion,depreciation_and_amortization,depreciation,operating_gains_losses,earnings_losses_from_equity_investments,net_foreign_currency_exchange_gain_loss,net_income_from_continuing_operations,date
487201000.0,-38000.0,0.0,0.0,0.0,-718000.0,176687000.0,718000.0,208933000.0,518383000.0,,-309450000.0,-382453000.0,-382453000.0,-7004000.0,-375411000.0,-375411000.0,-38000.0,-38000.0,0.0,0.0,,,-5600000000.0,0.0,-5600000000.0,-414916000.0,-414916000.0,-399572000.0,4003225000.0,89190000.0,3914035000.0,-4017851000.0,0.0,0.0,0.0,-718000.0,-718000.0,487919000.0,487919000.0,24371000.0,-7000.0,29000.0,-1621000.0,1585000.0,1585000.0,-102844000.0,3627000.0,-30965000.0,811000.0,811000.0,811000.0,-21916000.0,-21916000.0,,614842000.0,2022-12-31
521045000.0,-4595000.0,-250000000.0,352704000.0,1272270000.0,-988000.0,178047000.0,0.0,247673000.0,208933000.0,74000.0,38666000.0,985489000.0,985489000.0,-2278000.0,-382612000.0,-382612000.0,1267675000.0,-4595000.0,1272270000.0,102704000.0,352704000.0,352704000.0,-250000000.0,-250000000.0,,-1468856000.0,-1468856000.0,-202903000.0,1940000.0,217342000.0,-215402000.0,,,-1266905000.0,-1266905000.0,-988000.0,-988000.0,522033000.0,522033000.0,3273000.0,-12423000.0,-1521000.0,1380000.0,-12282000.0,-12282000.0,-109193000.0,3467000.0,111477000.0,814000.0,814000.0,814000.0,-3243000.0,-1280000.0,-1963000.0,527861000.0,2023-03-31
530049000.0,-362000.0,0.0,0.0,101467000.0,-329000.0,198646000.0,3746000.0,738793000.0,247673000.0,118000.0,491002000.0,-297470000.0,-297470000.0,-2278000.0,-396297000.0,-396297000.0,101105000.0,-362000.0,101467000.0,0.0,0.0,0.0,0.0,0.0,,258094000.0,258094000.0,51736000.0,200402000.0,0.0,200402000.0,,,0.0,0.0,-329000.0,-329000.0,530378000.0,530378000.0,0.0,-12390000.0,-1294000.0,868000.0,-11964000.0,-11964000.0,-124339000.0,4031000.0,-41355000.0,887000.0,887000.0,887000.0,1963000.0,0.0,,701581000.0,2023-06-30
551529000.0,-9000.0,0.0,55500000.0,298680000.0,-577000.0,187242000.0,1150000.0,510884000.0,738793000.0,-314000.0,-227595000.0,-45578000.0,-45578000.0,-16894000.0,-382855000.0,-382855000.0,298671000.0,-9000.0,298680000.0,55500000.0,,,408204000.0,0.0,408204000.0,-734123000.0,-734123000.0,184831000.0,-918327000.0,0.0,-918327000.0,-50000.0,-50000.0,0.0,0.0,-577000.0,-577000.0,552106000.0,552106000.0,0.0,4656000.0,-3246000.0,-2114000.0,10016000.0,10016000.0,-119036000.0,4019000.0,95997000.0,1011000.0,1011000.0,1011000.0,0.0,0.0,,565459000.0,2023-09-30
574351000.0,0.0,0.0,10944000.0,807688000.0,-2141000.0,198675000.0,19000.0,522574000.0,510884000.0,59000.0,11631000.0,389349000.0,389349000.0,-7207000.0,-422076000.0,,807688000.0,0.0,807688000.0,10944000.0,,,10944000.0,0.0,10944000.0,-954210000.0,-954210000.0,-1644257000.0,692188000.0,0.0,692188000.0,0.0,0.0,0.0,0.0,-2141000.0,-2141000.0,576492000.0,576492000.0,0.0,6140000.0,-1435000.0,4990000.0,2585000.0,2585000.0,-121253000.0,4019000.0,-63295000.0,1586000.0,1586000.0,1586000.0,0.0,0.0,,759721000.0,2023-12-31
