tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,write_off,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,rent_expense_supplemental,rent_and_landing_fees
-570325268.102455,0.266507,17589000000.0,-2140000000.0,-2140000000.0,8245000000.0,3321000000.0,12481000000.0,15449000000.0,12128000000.0,-845000000.0,845000000.0,,9814674731.897545,8245000000.0,18702000000.0,,6522100631.0,6522100631.0,1.264163,1.264163,8245000000.0,8245000000.0,8245000000.0,-31000000.0,8276000000.0,8276000000.0,3007000000.0,11283000000.0,659000000.0,2921000000.0,-3138000000.0,6000000.0,2251000000.0,69000000.0,824000000.0,-122000000.0,998000000.0,-845000000.0,673000000.0,845000000.0,,11469000000.0,3110000000.0,886000000.0,179000000.0,24000000.0,210000000.0,179000000.0,1632000000.0,1066000000.0,566000000.0,116000000.0,450000000.0,14579000000.0,15592000000.0,30171000000.0,30171000000.0,2022-12-31,,
167608000.0,0.328,14219000000.0,511000000.0,511000000.0,7341000000.0,2924000000.0,9910000000.0,14730000000.0,11806000000.0,-712000000.0,840000000.0,,6997608000.0,7341000000.0,14960000000.0,11553000000.0,6522100630.0,6522100630.0,1.12,1.12,7341000000.0,7341000000.0,7341000000.0,-29000000.0,7370000000.0,7370000000.0,3596000000.0,10966000000.0,-133000000.0,-679000000.0,406000000.0,496000000.0,87000000.0,3000000.0,3000000.0,35000000.0,105000000.0,-712000000.0,-128000000.0,840000000.0,,11811000000.0,2302000000.0,54000000.0,200000000.0,21000000.0,176000000.0,154000000.0,1697000000.0,1026000000.0,671000000.0,102000000.0,569000000.0,14113000000.0,12658000000.0,26771000000.0,26771000000.0,2023-03-31,,
249490000.0,0.305,11679000000.0,818000000.0,818000000.0,5828000000.0,3249000000.0,8279000000.0,12497000000.0,9248000000.0,-776000000.0,813000000.0,,5259490000.0,5828000000.0,13858000000.0,,6522100630.0,6522100630.0,0.9,0.9,5828000000.0,5828000000.0,5828000000.0,-31000000.0,5859000000.0,5859000000.0,2576000000.0,8435000000.0,90000000.0,-706000000.0,104000000.0,691000000.0,186000000.0,,401000000.0,-22000000.0,714000000.0,-776000000.0,-37000000.0,813000000.0,,9121000000.0,2516000000.0,131000000.0,329000000.0,-4000000.0,186000000.0,172000000.0,1702000000.0,1022000000.0,680000000.0,112000000.0,568000000.0,11637000000.0,11342000000.0,22979000000.0,22979000000.0,2023-06-30,,
-338559055.11811,0.292113,13418000000.0,-1159000000.0,-1159000000.0,5456000000.0,3475000000.0,8698000000.0,12259000000.0,8784000000.0,-1017000000.0,1037000000.0,146000000.0,6276440944.88189,5456000000.0,14757000000.0,9980000000.0,6507732781.0,6507732781.0,0.838387,0.838387,5456000000.0,5456000000.0,5456000000.0,-28000000.0,5484000000.0,5484000000.0,2263000000.0,7747000000.0,-2031000000.0,-624000000.0,-84000000.0,-37000000.0,-31000000.0,-1000000.0,78000000.0,-248000000.0,-1075000000.0,-1017000000.0,126000000.0,1037000000.0,146000000.0,10795000000.0,2775000000.0,451000000.0,114000000.0,-3000000.0,191000000.0,186000000.0,1836000000.0,1102000000.0,734000000.0,92000000.0,642000000.0,13570000000.0,11982000000.0,25552000000.0,25552000000.0,2023-09-30,,
858560340.438598,0.228135,52289824600.0,3763379400.0,3763379400.0,26975253800.0,16958953200.0,37675378200.0,56053204000.0,39094250800.0,-3934733000.0,4022282000.0,,24070434740.4386,26975253800.0,87372661200.0,,,,,,26975253800.0,26975253800.0,26975253800.0,-95554800.0,27070808600.0,27070808600.0,8001160200.0,35071968800.0,8573815800.0,5102396200.0,-1091666400.0,493724000.0,-7615621200.0,,,-291959800.0,4855045800.0,-3934733000.0,-1950795000.0,4022282000.0,,30432886000.0,33506074800.0,6323101400.0,1081328600.0,36269200.0,767745000.0,945093600.0,13651231000.0,4986577200.0,8664653800.0,,8094466600.0,63938960800.0,53866586400.0,117805547200.0,117805547200.0,2023-12-31,570187200.0,570187200.0
