tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,provision_for_doubtful_accounts,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-31656890.0,0.17,574863000.0,-186217000.0,-186217000.0,426798000.0,1754271000.0,388646000.0,388646000.0,43527000.0,10809000.0,54336000.0,581358110.0,426798000.0,2931057000.0,342864000.0,611938691.0,560326301.0,0.72,0.76,426798000.0,426798000.0,426798000.0,3960000.0,422838000.0,422838000.0,1540000.0,-43461000.0,377837000.0,-186217000.0,,22034000.0,177663000.0,-208251000.0,43527000.0,10809000.0,54336000.0,520527000.0,1176786000.0,-68453000.0,,244195000.0,487354000.0,473620000.0,13734000.0,13734000.0,1697313000.0,1754271000.0,3451584000.0,3451584000.0,2022-12-31
-26139540.0,0.17,311897000.0,-153762000.0,-153762000.0,88075000.0,1624414000.0,158135000.0,158135000.0,58409000.0,10389000.0,68798000.0,215697460.0,88075000.0,2798005000.0,125224000.0,598691484.0,563558642.0,0.15,0.16,88075000.0,88075000.0,88075000.0,783000.0,87292000.0,87292000.0,1444000.0,61898000.0,147746000.0,-153762000.0,,-117875000.0,117875000.0,-35887000.0,58409000.0,10389000.0,68798000.0,243099000.0,1173591000.0,-57880000.0,177439000.0,320512000.0,733520000.0,400143000.0,333377000.0,333377000.0,1416690000.0,1624414000.0,3041104000.0,3041104000.0,2023-03-31
5471434.909474,0.158956,367341000.0,34421000.0,34421000.0,321605000.0,1644782000.0,401762000.0,401762000.0,73144000.0,10384000.0,83528000.0,292655434.909474,321605000.0,2811847000.0,283813000.0,,,,,321605000.0,321605000.0,321605000.0,-9378000.0,330983000.0,330983000.0,1817000.0,62212000.0,391378000.0,34421000.0,,0.0,0.0,34421000.0,73144000.0,10384000.0,83528000.0,283813000.0,1167065000.0,-58003000.0,153001000.0,283297000.0,788770000.0,493601000.0,295169000.0,295169000.0,1450878000.0,1644782000.0,3095660000.0,3095660000.0,2023-06-30
0.0,0.17,-127740000.0,,,-143978000.0,1868876000.0,-127740000.0,-127740000.0,,,,-143978000.0,-143978000.0,3437908000.0,-127740000.0,553761538.0,553761538.0,-0.26,-0.26,-143978000.0,-143978000.0,-143978000.0,,-143978000.0,-143978000.0,-437000.0,61676000.0,-81865000.0,45875000.0,45875000.0,,,,,,,-127740000.0,1569032000.0,-46614000.0,143514000.0,280511000.0,1191621000.0,918046000.0,273575000.0,273575000.0,1441292000.0,1868876000.0,3310168000.0,3310168000.0,2023-09-30
-8358220.0,0.17,34430000.0,-49166000.0,-49166000.0,-109740000.0,2091841000.0,-14736000.0,-14736000.0,80820000.0,10129000.0,90949000.0,-68932220.0,-109740000.0,3673147000.0,-56519000.0,,,,,-109740000.0,-109740000.0,-109740000.0,1875000.0,-111615000.0,-111615000.0,-9856000.0,76894000.0,-24865000.0,-49166000.0,,38550000.0,0.0,-87716000.0,80820000.0,10129000.0,90949000.0,-56519000.0,1581306000.0,-58524000.0,159988000.0,279806000.0,1200036000.0,967433000.0,232603000.0,232603000.0,1524787000.0,2091841000.0,3616628000.0,3616628000.0,2023-12-31
