tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,rent_and_landing_fees,salaries_and_wages,total_revenue,operating_revenue,date
-1293617.021277,0.161702,-8000000.0,-8000000.0,394000000.0,37000000.0,1220000000.0,475000000.0,1695000000.0,400706382.978723,394000000.0,22000000.0,933724000.0,924974000.0,0.38,0.38,356000000.0,356000000.0,38000000.0,394000000.0,0.0,394000000.0,0.0,394000000.0,76000000.0,470000000.0,-8000000.0,-2000000.0,-18000000.0,717000000.0,31000000.0,686000000.0,22000000.0,664000000.0,1829000000.0,1829000000.0,2022-12-31
0.0,0.207,,,311000000.0,36000000.0,1099000000.0,725000000.0,1824000000.0,311000000.0,312000000.0,20000000.0,933804000.0,926490000.0,0.3,0.3,276000000.0,276000000.0,36000000.0,312000000.0,0.0,312000000.0,1000000.0,311000000.0,81000000.0,392000000.0,,,,742000000.0,21000000.0,721000000.0,20000000.0,701000000.0,1662000000.0,1662000000.0,2023-03-31
0.0,0.167,,,286000000.0,35000000.0,978000000.0,1032000000.0,2010000000.0,286000000.0,287000000.0,21000000.0,930454000.0,926741000.0,0.27,0.27,251000000.0,251000000.0,36000000.0,287000000.0,0.0,287000000.0,1000000.0,286000000.0,58000000.0,344000000.0,,,,672000000.0,29000000.0,643000000.0,21000000.0,622000000.0,1546000000.0,1546000000.0,2023-06-30
0.0,0.178,,,302000000.0,35000000.0,915000000.0,1128000000.0,2043000000.0,302000000.0,303000000.0,18000000.0,931744000.0,927131000.0,0.29,0.29,267000000.0,267000000.0,36000000.0,303000000.0,0.0,303000000.0,1000000.0,302000000.0,65000000.0,367000000.0,,,,709000000.0,28000000.0,681000000.0,18000000.0,663000000.0,1520000000.0,1520000000.0,2023-09-30
0.0,0.21,,,65000000.0,28000000.0,921000000.0,1129000000.0,2050000000.0,65000000.0,65000000.0,18000000.0,934046000.0,927517000.0,0.03,0.03,30000000.0,30000000.0,35000000.0,65000000.0,0.0,65000000.0,0.0,65000000.0,-8000000.0,57000000.0,,,,642000000.0,31000000.0,611000000.0,18000000.0,593000000.0,1487000000.0,1487000000.0,2023-12-31
