treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,current_notes_payable,payables_and_accrued_expenses,current_accrued_expenses,total_assets,investments_and_advances,held_to_maturity_securities,available_for_sale_securities,trading_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,receivables,other_receivables,other_short_term_investments,cash_and_cash_equivalents,date
323377500.0,79000000.0,933324581.0,1256702081.0,23800000000.0,24693000000.0,8108000000.0,35641000000.0,10608000000.0,6000000.0,10954000000.0,2500000000.0,32755000000.0,13454000000.0,13454000000.0,-6295000000.0,-6295000000.0,5910000000.0,15616000000.0,6286000000.0,3757000000.0,1257000000.0,2500000000.0,176359000000.0,19307000000.0,6000000.0,19301000000.0,5386000000.0,5386000000.0,5386000000.0,4994000000.0,4994000000.0,189813000000.0,52382000000.0,8690000000.0,39210000000.0,815000000.0,2846000000.0,94000000.0,2752000000.0,636000000.0,-1672000000.0,2308000000.0,615000000.0,41000000.0,824000000.0,714000000.0,114000000.0,3904000000.0,3904000000.0,3667000000.0,887000000.0,2022-12-31
321472743.0,79000000.0,935229338.0,1256702081.0,32030000000.0,32814000000.0,8985000000.0,44636000000.0,11485000000.0,,11822000000.0,2500000000.0,47136000000.0,14322000000.0,14322000000.0,-5474000000.0,-5474000000.0,5868000000.0,15700000000.0,6207000000.0,3757000000.0,1257000000.0,2500000000.0,183197000000.0,32814000000.0,,32814000000.0,,,,4861000000.0,4861000000.0,197519000000.0,60173000000.0,9540000000.0,39198000000.0,1117000000.0,2837000000.0,85000000.0,2752000000.0,628000000.0,,,,,,,,3730000000.0,3730000000.0,10318000000.0,784000000.0,2023-03-31
320968822.0,79000000.0,935733259.0,1256702081.0,28262000000.0,29020000000.0,8517000000.0,40364000000.0,11017000000.0,,11344000000.0,2500000000.0,42864000000.0,13844000000.0,13844000000.0,-6044000000.0,-6044000000.0,5859000000.0,15759000000.0,6231000000.0,3757000000.0,1257000000.0,2500000000.0,181193000000.0,29020000000.0,,29020000000.0,,,,5339000000.0,5339000000.0,195037000000.0,58705000000.0,9171000000.0,36092000000.0,1175000000.0,2827000000.0,75000000.0,2752000000.0,652000000.0,,,,,,,,3768000000.0,3768000000.0,12267000000.0,758000000.0,2023-06-30
320541464.0,79000000.0,936160617.0,1256702081.0,24007000000.0,24773000000.0,8039000000.0,35629000000.0,10539000000.0,,10856000000.0,2500000000.0,38129000000.0,13356000000.0,13356000000.0,-6639000000.0,-6639000000.0,5851000000.0,15835000000.0,6254000000.0,3757000000.0,1257000000.0,2500000000.0,174495000000.0,24773000000.0,,24773000000.0,,,,,,187851000000.0,55241000000.0,7958000000.0,31912000000.0,1322000000.0,2817000000.0,65000000.0,2752000000.0,649000000.0,,,,,,,,3649000000.0,3649000000.0,14049000000.0,766000000.0,2023-09-30
320138094.0,79000000.0,936563987.0,1256702081.0,21661000000.0,22607000000.0,9330000000.0,34739000000.0,11830000000.0,5000000.0,12137000000.0,2500000000.0,34186000000.0,14637000000.0,14637000000.0,-5229000000.0,-5229000000.0,5844000000.0,15672000000.0,6281000000.0,3757000000.0,1257000000.0,2500000000.0,173644000000.0,19554000000.0,5000000.0,19549000000.0,3053000000.0,3053000000.0,3053000000.0,,,188281000000.0,58960000000.0,7820000000.0,30616000000.0,1139000000.0,2807000000.0,55000000.0,2752000000.0,661000000.0,-1544000000.0,2205000000.0,535000000.0,61000000.0,812000000.0,683000000.0,114000000.0,3490000000.0,3490000000.0,19385000000.0,941000000.0,2023-12-31
