tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3803464338.582217,0.004325,-12877034000000.0,-879445000000.0,-879445000000.0,-15285738000000.0,1195217000000.0,8154716000000.0,-13756479000000.0,-14951696000000.0,-2508847000000.0,428273000000.0,-8276000000.0,-14410096464338.582,-15285738000000.0,16456796000000.0,-12819838000000.0,,,,,-15285738000000.0,-15285738000000.0,-15285738000000.0,27715000000.0,-15313453000000.0,-15313453000000.0,-66516000000.0,-15379969000000.0,-879445000000.0,0.0,-879445000000.0,-2508847000000.0,428273000000.0,-8276000000.0,-11991677000000.0,8302080000000.0,-1587033000000.0,5898324000000.0,3990789000000.0,1852529000000.0,2138260000000.0,2028829000000.0,-3689597000000.0,8154716000000.0,4465119000000.0,4465119000000.0,2022-12-31
-26627648.775244,4e-05,-9966742000000.0,-671463000000.0,-671463000000.0,-14093204000000.0,1160318000000.0,5780396000000.0,-10638205000000.0,-11798523000000.0,-2307649000000.0,2322862000000.0,15213000000.0,-13421767627648.775,-14093204000000.0,13113899000000.0,-11142273000000.0,2322212699.0,2322212699.0,-6068.868716,-6068.868716,-14093204000000.0,-14093204000000.0,-14093204000000.0,27621000000.0,-14120825000000.0,-14120825000000.0,-560000000.0,-14121385000000.0,-671463000000.0,,-671463000000.0,-2307649000000.0,2322862000000.0,15213000000.0,-11142273000000.0,7333503000000.0,-55900000000.0,5007703000000.0,2381700000000.0,1277857000000.0,1103843000000.0,1103843000000.0,-3808770000000.0,5780396000000.0,1971626000000.0,1971626000000.0,2023-03-31
-1280164884.15392,0.002107,-7740166000000.0,-607610000000.0,-607610000000.0,-12513485000000.0,1464207000000.0,10667153000000.0,-8347776000000.0,-9811983000000.0,-2723635000000.0,2749685000000.0,26050000000.0,-11907155164884.154,-12513485000000.0,17182954000000.0,-9230423000000.0,2322212699.0,2322212699.0,-5388.604156,-5388.604156,-12513485000000.0,-12513485000000.0,-12513485000000.0,21717000000.0,-12535202000000.0,-12535202000000.0,-26466000000.0,-12561668000000.0,-607610000000.0,,-607610000000.0,-2723635000000.0,2749685000000.0,26050000000.0,-9230423000000.0,6515801000000.0,154438000000.0,3613061000000.0,2748302000000.0,1291284000000.0,1457018000000.0,1457018000000.0,-2714622000000.0,10667153000000.0,7952531000000.0,7952531000000.0,2023-06-30
-512286400000.0,0.2,-7038983000000.0,-2561432000000.0,-2561432000000.0,-14986693000000.0,1858264000000.0,10721967000000.0,-9600415000000.0,-11458679000000.0,-3501515000000.0,3526722000000.0,25207000000.0,-12937547400000.0,-14986693000000.0,17176760000000.0,-8922454000000.0,2308837804.0,2308837804.0,-6491.0,-6491.0,-14986693000000.0,-14986693000000.0,-14986693000000.0,17152000000.0,-15003845000000.0,-15003845000000.0,18444000000.0,-14985401000000.0,-2561432000000.0,,-2561432000000.0,-3501515000000.0,3526722000000.0,25207000000.0,-8922454000000.0,6454793000000.0,524291000000.0,3167066000000.0,2763436000000.0,1462236000000.0,1301200000000.0,1301200000000.0,-2467661000000.0,10721967000000.0,8254306000000.0,8254306000000.0,2023-09-30
-207865600000.0,0.2,-9108372000000.0,-1039328000000.0,-1039328000000.0,-15508159000000.0,1811176000000.0,14592062000000.0,-10147700000000.0,-11958876000000.0,-3457962000000.0,3474164000000.0,16202000000.0,-14676696600000.0,-15508159000000.0,21353508000000.0,-10935750000000.0,2334761397.0,2334761397.0,-6642.0,-6642.0,-15508159000000.0,-15508159000000.0,-15508159000000.0,8181000000.0,-15516340000000.0,-15516340000000.0,83300000000.0,-15433040000000.0,-1039328000000.0,,-1039328000000.0,-3457962000000.0,3474164000000.0,16202000000.0,-10935750000000.0,6761446000000.0,1117567000000.0,2746461000000.0,2897418000000.0,1438143000000.0,1459275000000.0,1459275000000.0,-4174304000000.0,14592062000000.0,10417758000000.0,10417758000000.0,2023-12-31
-1100782836.258356,0.001805,-7997059000000.0,-609830000000.0,-609830000000.0,-14819204000000.0,2099570000000.0,10883950000000.0,-8606889000000.0,-10706459000000.0,-4133808000000.0,4162257000000.0,28449000000.0,-14210474782836.258,-14819204000000.0,17388111000000.0,-10123644000000.0,2337862964.0,2337862964.0,-6339.0,-6339.0,-14819204000000.0,-14819204000000.0,-14819204000000.0,22673000000.0,-14841877000000.0,-14841877000000.0,-26839000000.0,-14868716000000.0,-611264000000.0,-1434000000.0,-609830000000.0,-4133808000000.0,4162257000000.0,28449000000.0,-10123644000000.0,6504161000000.0,550441000000.0,2626801000000.0,3326919000000.0,1982864000000.0,1344055000000.0,1344055000000.0,-3619483000000.0,10883950000000.0,7264467000000.0,7264467000000.0,2024-03-31
