tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
192033.160899,0.365082,116478000.0,526000.0,526000.0,71187000.0,16844000.0,79619000.0,117004000.0,100160000.0,11434000.0,70853033.160899,71187000.0,390577000.0,100160000.0,500432000.0,489217000.0,0.14,0.15,71187000.0,71187000.0,71187000.0,71187000.0,71187000.0,40933000.0,112120000.0,526000.0,526000.0,11434000.0,-11434000.0,100160000.0,310958000.0,84479000.0,226479000.0,92829000.0,133650000.0,133650000.0,,411118000.0,79619000.0,490737000.0,490737000.0,2022-12-31
-151830.0,0.21,-3292000.0,-723000.0,-723000.0,9326000.0,19293000.0,84867000.0,-4015000.0,-23308000.0,14423000.0,9897170.0,9326000.0,406111000.0,-23308000.0,499795000.0,489712000.0,0.02,0.02,9326000.0,9326000.0,9326000.0,9326000.0,9326000.0,-18934000.0,-9608000.0,-723000.0,-723000.0,14423000.0,-14423000.0,-23308000.0,321244000.0,93710000.0,227534000.0,97222000.0,130312000.0,130312000.0,,297936000.0,84867000.0,382803000.0,382803000.0,2023-03-31
156870.0,0.21,60992000.0,747000.0,747000.0,32939000.0,20066000.0,86654000.0,61739000.0,41673000.0,17507000.0,32348870.0,32939000.0,422581000.0,41673000.0,499349000.0,488431000.0,0.07,0.07,32939000.0,32939000.0,32939000.0,32939000.0,32939000.0,26988000.0,59927000.0,747000.0,747000.0,17507000.0,-17507000.0,41673000.0,335927000.0,98308000.0,237619000.0,111489000.0,126130000.0,126130000.0,85427000.0,377600000.0,86654000.0,464254000.0,464254000.0,2023-06-30
525415.017544,0.309614,56510000.0,1697000.0,1697000.0,39352000.0,20530000.0,93382000.0,58207000.0,37677000.0,17626000.0,38180415.017544,39352000.0,455589000.0,37677000.0,501880000.0,489447000.0,0.08,0.08,39352000.0,39352000.0,39352000.0,39352000.0,39352000.0,17648000.0,57000000.0,1697000.0,1697000.0,17626000.0,-17626000.0,37677000.0,362207000.0,117772000.0,244435000.0,112466000.0,131969000.0,131969000.0,,399884000.0,93382000.0,493266000.0,493266000.0,2023-09-30
-1070104.072792,0.39429,167681000.0,-2714000.0,-2714000.0,97323000.0,20529000.0,100695000.0,164967000.0,144438000.0,18952000.0,98966895.927208,97323000.0,461359000.0,144438000.0,,,,,97323000.0,97323000.0,97323000.0,97323000.0,97323000.0,63353000.0,160676000.0,-2714000.0,-2714000.0,18952000.0,-18952000.0,144438000.0,360664000.0,102004000.0,258660000.0,126793000.0,131867000.0,131867000.0,,505102000.0,100695000.0,605797000.0,605797000.0,2023-12-31
