tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
-13687289.088864,0.175478,-78000000.0,-78000000.0,733000000.0,419000000.0,791000000.0,971000000.0,1762000000.0,797312710.911136,733000000.0,363923000.0,359200000.0,1.91,1.94,696000000.0,696000000.0,1000000.0,36000000.0,733000000.0,733000000.0,733000000.0,156000000.0,889000000.0,-78000000.0,101000000.0,0.0,59000000.0,59000000.0,59000000.0,59000000.0,1088000000.0,30000000.0,1058000000.0,1058000000.0,3132000000.0,3132000000.0,2022-12-31
0.0,0.202,0.0,0.0,549000000.0,231000000.0,766000000.0,1261000000.0,2027000000.0,549000000.0,549000000.0,345472000.0,341106000.0,1.52,1.54,525000000.0,525000000.0,1000000.0,23000000.0,549000000.0,549000000.0,549000000.0,139000000.0,688000000.0,0.0,0.0,0.0,60000000.0,60000000.0,60000000.0,60000000.0,1315000000.0,23000000.0,1292000000.0,1292000000.0,3101000000.0,3101000000.0,2023-03-31
0.0,0.167,0.0,0.0,763000000.0,237000000.0,691000000.0,1541000000.0,2232000000.0,763000000.0,763000000.0,333540000.0,329383000.0,2.17,2.2,726000000.0,726000000.0,,37000000.0,763000000.0,763000000.0,763000000.0,153000000.0,916000000.0,0.0,0.0,0.0,60000000.0,60000000.0,60000000.0,60000000.0,1153000000.0,30000000.0,1123000000.0,1123000000.0,3110000000.0,3110000000.0,2023-06-30
0.0,0.174,0.0,0.0,422000000.0,223000000.0,624000000.0,1704000000.0,2328000000.0,422000000.0,422000000.0,317329000.0,313147000.0,1.25,1.27,398000000.0,398000000.0,,24000000.0,422000000.0,422000000.0,422000000.0,89000000.0,511000000.0,0.0,0.0,-294000000.0,60000000.0,60000000.0,60000000.0,60000000.0,1120000000.0,38000000.0,1082000000.0,1082000000.0,2691000000.0,2691000000.0,2023-09-30
-130200000.0,0.21,-620000000.0,-620000000.0,210000000.0,191000000.0,678000000.0,1915000000.0,2593000000.0,699800000.0,210000000.0,,,,,172000000.0,172000000.0,0.0,38000000.0,210000000.0,210000000.0,210000000.0,-9000000.0,201000000.0,-620000000.0,188000000.0,0.0,59000000.0,59000000.0,59000000.0,59000000.0,1116000000.0,51000000.0,1065000000.0,1065000000.0,3043000000.0,3043000000.0,2023-12-31
