treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,current_notes_payable,payables_and_accrued_expenses,current_accrued_expenses,total_assets,investments_and_advances,held_to_maturity_securities,available_for_sale_securities,trading_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,prepaid_assets,receivables,other_receivables,accounts_receivable,other_short_term_investments,cash_and_cash_equivalents,cash_financial,date
154855475.0,50000000.0,349024167.0,503879642.0,17093000000.0,14176000000.0,40132000000.0,16152000000.0,176000000.0,23215000000.0,1976000000.0,37852000000.0,25191000000.0,25191000000.0,-3711000000.0,-3711000000.0,11336000000.0,27028000000.0,10730000000.0,2480000000.0,504000000.0,1976000000.0,276259000000.0,12837000000.0,176000000.0,12661000000.0,4256000000.0,4256000000.0,2097000000.0,2159000000.0,22525000000.0,22525000000.0,301450000000.0,109174000000.0,60287000000.0,32954000000.0,650000000.0,3245000000.0,9039000000.0,1544000000.0,7495000000.0,2815000000.0,-5745000000.0,8560000000.0,8560000000.0,1759000000.0,4456000000.0,618000000.0,3838000000.0,12038000000.0,105625000000.0,3970000000.0,2022-12-31
167418570.0,50000000.0,336461072.0,503879642.0,16313000000.0,13751000000.0,39087000000.0,15727000000.0,,22774000000.0,1976000000.0,41055000000.0,24750000000.0,24750000000.0,-3272000000.0,,12524000000.0,27342000000.0,10724000000.0,2480000000.0,504000000.0,1976000000.0,266066000000.0,16305000000.0,,16305000000.0,8000000.0,8000000.0,8000000.0,,22427000000.0,22427000000.0,290816000000.0,111588000000.0,56684000000.0,34291000000.0,695000000.0,3025000000.0,9023000000.0,1493000000.0,7530000000.0,2815000000.0,-5918000000.0,8733000000.0,8733000000.0,1184000000.0,4825000000.0,809000000.0,4016000000.0,16893000000.0,91695000000.0,3698000000.0,2023-03-31
181778532.0,50000000.0,322101110.0,503879642.0,17231000000.0,13249000000.0,39459000000.0,15225000000.0,,22228000000.0,1976000000.0,41382000000.0,24204000000.0,24204000000.0,-3258000000.0,,13555000000.0,27808000000.0,10729000000.0,2480000000.0,504000000.0,1976000000.0,270357000000.0,17178000000.0,,17178000000.0,53000000.0,53000000.0,53000000.0,,26516000000.0,26516000000.0,294561000000.0,110176000000.0,54829000000.0,34957000000.0,715000000.0,2905000000.0,8979000000.0,1435000000.0,7544000000.0,2928000000.0,-6035000000.0,8963000000.0,8963000000.0,1793000000.0,5037000000.0,906000000.0,4131000000.0,16770000000.0,90036000000.0,3930000000.0,2023-06-30
195296131.0,50000000.0,308583511.0,503879642.0,18572000000.0,12795000000.0,40217000000.0,14771000000.0,,21645000000.0,1976000000.0,42185000000.0,23621000000.0,23621000000.0,-3045000000.0,,14542000000.0,27993000000.0,10735000000.0,2480000000.0,504000000.0,1976000000.0,260794000000.0,18564000000.0,,18564000000.0,8000000.0,8000000.0,8000000.0,,26124000000.0,26124000000.0,284415000000.0,107067000000.0,53041000000.0,34302000000.0,725000000.0,2840000000.0,8850000000.0,1363000000.0,7487000000.0,3157000000.0,-6148000000.0,9305000000.0,9305000000.0,610000000.0,5254000000.0,908000000.0,4346000000.0,16159000000.0,80823000000.0,4009000000.0,2023-09-30
201935599.0,50000000.0,301944043.0,503879642.0,21500000000.0,12892000000.0,43136000000.0,14868000000.0,187000000.0,21823000000.0,1976000000.0,39279000000.0,23799000000.0,23799000000.0,-2354000000.0,,15025000000.0,27957000000.0,10741000000.0,2480000000.0,504000000.0,1976000000.0,273459000000.0,15667000000.0,187000000.0,15480000000.0,5833000000.0,5833000000.0,2660000000.0,3173000000.0,,,297258000000.0,105397000000.0,51513000000.0,37386000000.0,773000000.0,2981000000.0,8931000000.0,1320000000.0,7611000000.0,3204000000.0,-6062000000.0,9266000000.0,9266000000.0,598000000.0,5745000000.0,1328000000.0,4417000000.0,12744000000.0,91770000000.0,4047000000.0,2023-12-31
