tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
3043939.393939,0.217424,2267000000.0,14000000.0,14000000.0,1033000000.0,807000000.0,4282000000.0,2281000000.0,1474000000.0,-66000000.0,154000000.0,88000000.0,1022043939.393939,1033000000.0,8787000000.0,1304000000.0,1754000000.0,1737795021.0,0.59,0.594431,1033000000.0,1033000000.0,1033000000.0,1033000000.0,1033000000.0,287000000.0,1320000000.0,82000000.0,68000000.0,14000000.0,-66000000.0,154000000.0,88000000.0,1304000000.0,4194000000.0,496000000.0,496000000.0,496000000.0,496000000.0,725000000.0,2973000000.0,5498000000.0,4593000000.0,10091000000.0,10091000000.0,2022-12-31
-937259.923175,0.15621,2527000000.0,-6000000.0,-6000000.0,1318000000.0,806000000.0,4016000000.0,2521000000.0,1715000000.0,-52000000.0,153000000.0,101000000.0,1323062740.076825,1318000000.0,8238000000.0,1509000000.0,1752000000.0,1738946799.0,0.75,0.75793,1318000000.0,1318000000.0,1318000000.0,1318000000.0,1318000000.0,244000000.0,1562000000.0,105000000.0,111000000.0,-6000000.0,-52000000.0,153000000.0,101000000.0,1509000000.0,3907000000.0,491000000.0,491000000.0,491000000.0,491000000.0,654000000.0,2762000000.0,5416000000.0,4331000000.0,9747000000.0,9747000000.0,2023-03-31
-3350244.498778,0.159535,2616000000.0,-21000000.0,-21000000.0,1375000000.0,800000000.0,4181000000.0,2595000000.0,1795000000.0,-61000000.0,159000000.0,98000000.0,1392649755.501222,1375000000.0,8436000000.0,1542000000.0,1750000000.0,1735357980.0,0.78,0.792344,1375000000.0,1375000000.0,1375000000.0,1375000000.0,1375000000.0,261000000.0,1636000000.0,155000000.0,176000000.0,-21000000.0,-61000000.0,159000000.0,98000000.0,1542000000.0,3953000000.0,498000000.0,498000000.0,498000000.0,498000000.0,715000000.0,2740000000.0,5495000000.0,4483000000.0,9978000000.0,9978000000.0,2023-06-30
1406343.506882,0.140634,2651000000.0,10000000.0,10000000.0,1436000000.0,824000000.0,4277000000.0,2661000000.0,1837000000.0,-69000000.0,166000000.0,97000000.0,1427406343.506882,1436000000.0,8496000000.0,1647000000.0,1748000000.0,1736058536.0,0.82,0.827161,1436000000.0,1436000000.0,1436000000.0,1436000000.0,1436000000.0,235000000.0,1671000000.0,93000000.0,83000000.0,10000000.0,-69000000.0,166000000.0,97000000.0,1647000000.0,3891000000.0,496000000.0,496000000.0,496000000.0,496000000.0,672000000.0,2723000000.0,5538000000.0,4605000000.0,10143000000.0,10143000000.0,2023-09-30
-2687465.181058,0.111978,2791000000.0,-24000000.0,-24000000.0,1594000000.0,813000000.0,4224000000.0,2767000000.0,1954000000.0,-70000000.0,159000000.0,89000000.0,1615312534.818942,1594000000.0,8461000000.0,1780000000.0,1748000000.0,1734076358.0,0.91,0.919221,1594000000.0,1594000000.0,1594000000.0,1594000000.0,1594000000.0,201000000.0,1795000000.0,85000000.0,109000000.0,-24000000.0,-70000000.0,159000000.0,89000000.0,1780000000.0,3905000000.0,481000000.0,481000000.0,481000000.0,481000000.0,700000000.0,2724000000.0,5685000000.0,4556000000.0,10241000000.0,10241000000.0,2023-12-31
