tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,gain_on_sale_of_business,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
2266395.112016,0.211813,166300000.0,10700000.0,10700000.0,115200000.0,25900000.0,526300000.0,177000000.0,151100000.0,-3800000.0,,106766395.112016,115200000.0,634400000.0,150900000.0,83100000.0,82700000.0,1.39,1.39,115200000.0,115200000.0,115200000.0,-900000.0,116100000.0,0.0,116100000.0,31200000.0,147300000.0,10700000.0,0.0,-3800000.0,3800000.0,,140200000.0,108100000.0,22800000.0,85300000.0,38600000.0,46700000.0,46700000.0,248300000.0,526300000.0,774600000.0,774600000.0,2022-12-31
0.0,0.166,151000000.0,,,100000000.0,26700000.0,536000000.0,151000000.0,124300000.0,-3500000.0,3500000.0,100000000.0,100000000.0,673600000.0,124300000.0,83000000.0,82600000.0,1.2,1.21,100000000.0,100000000.0,100000000.0,-700000.0,100700000.0,,100700000.0,20100000.0,120800000.0,,,-3500000.0,3500000.0,3500000.0,124300000.0,137600000.0,26400000.0,111200000.0,42900000.0,68300000.0,68300000.0,261900000.0,536000000.0,797900000.0,797900000.0,2023-03-31
0.0,0.219,169100000.0,,,108200000.0,27100000.0,553900000.0,169100000.0,142000000.0,-2500000.0,2500000.0,108200000.0,108200000.0,691900000.0,142000000.0,82600000.0,82400000.0,1.31,1.31,108200000.0,108200000.0,108200000.0,-700000.0,108900000.0,0.0,108900000.0,30600000.0,139500000.0,,,-2500000.0,2500000.0,2500000.0,142000000.0,138000000.0,25700000.0,112300000.0,43900000.0,68400000.0,68400000.0,280000000.0,553900000.0,833900000.0,833900000.0,2023-06-30
0.0,0.211,172100000.0,,,110800000.0,29000000.0,542700000.0,172100000.0,143100000.0,-1400000.0,1400000.0,110800000.0,110800000.0,679000000.0,143100000.0,82500000.0,82100000.0,1.34,1.35,110800000.0,110800000.0,110800000.0,-1000000.0,111800000.0,0.0,111800000.0,29900000.0,141700000.0,,,-1400000.0,,1400000.0,143100000.0,136300000.0,25000000.0,111300000.0,44400000.0,66900000.0,66900000.0,279400000.0,542700000.0,822100000.0,822100000.0,2023-09-30
0.0,0.205957,146900000.0,,,92400000.0,26400000.0,543100000.0,146900000.0,120500000.0,-3000000.0,3000000.0,92400000.0,91500000.0,710400000.0,118800000.0,,,,,91500000.0,91500000.0,91500000.0,-900000.0,92400000.0,-900000.0,93300000.0,24200000.0,117500000.0,,,-3000000.0,,3000000.0,118700000.0,167300000.0,25500000.0,141800000.0,42800000.0,99000000.0,99000000.0,286000000.0,543100000.0,829100000.0,829100000.0,2023-12-31
