free_cash_flow,repurchase_of_capital_stock,capital_expenditure,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,provisionand_write_offof_assets,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date
257927000.0,-200365000.0,-143646000.0,48344000.0,408966000.0,397597000.0,163000.0,11206000.0,-206669000.0,-206669000.0,-6304000.0,-200365000.0,-200365000.0,-183698000.0,-183698000.0,-40052000.0,60551000.0,-100603000.0,-143646000.0,0.0,-143646000.0,401573000.0,401573000.0,115140000.0,115847000.0,-53101000.0,64000000.0,38757000.0,31323000.0,7434000.0,7434000.0,-11491000.0,-1955000.0,-36917000.0,-36917000.0,-3157000.0,20659000.0,209000.0,5611000.0,-34628000.0,-34628000.0,74012000.0,74012000.0,223727000.0,2022-12-31
334667000.0,-126709000.0,-120369000.0,,434860000.0,408966000.0,290000.0,25604000.0,-193883000.0,-193883000.0,-67174000.0,-126709000.0,-126709000.0,-235549000.0,-235549000.0,-115180000.0,99639000.0,-214819000.0,-120369000.0,,-120369000.0,455036000.0,455036000.0,61367000.0,62747000.0,-50817000.0,62412000.0,-39151000.0,-36419000.0,-2732000.0,-2732000.0,-14569000.0,1086000.0,39659000.0,39659000.0,-2810000.0,20084000.0,500000.0,8152000.0,-486000.0,-486000.0,76585000.0,76585000.0,291644000.0,2023-03-31
445278000.0,-95045000.0,-137232000.0,,529972000.0,434860000.0,-25000.0,95137000.0,-95230000.0,-95230000.0,-185000.0,-95045000.0,-95045000.0,-392143000.0,-392143000.0,-254911000.0,120926000.0,-375837000.0,-137232000.0,,-137232000.0,582510000.0,582510000.0,113558000.0,63536000.0,-44456000.0,62406000.0,35899000.0,43950000.0,-8051000.0,-8051000.0,-6796000.0,-1399000.0,4368000.0,4368000.0,-6427000.0,30672000.0,-188000.0,16021000.0,8313000.0,8313000.0,78771000.0,78771000.0,341790000.0,2023-06-30
349272000.0,-215551000.0,-131200000.0,21363000.0,627622000.0,529972000.0,-261000.0,97911000.0,-216259000.0,-216259000.0,-708000.0,-215551000.0,-215551000.0,-166302000.0,-166302000.0,-35102000.0,220223000.0,-255325000.0,-131200000.0,,-131200000.0,480472000.0,480472000.0,49689000.0,72954000.0,-54997000.0,53299000.0,-4882000.0,-20551000.0,15669000.0,15669000.0,-2129000.0,-4195000.0,-10361000.0,-10361000.0,-8035000.0,35801000.0,253000.0,6363000.0,4638000.0,4638000.0,78546000.0,78546000.0,313217000.0,2023-09-30
93529000.0,-155044000.0,-171930000.0,345614000.0,586163000.0,627622000.0,377000.0,-41836000.0,-155280000.0,-155280000.0,-236000.0,-155044000.0,-155044000.0,-152015000.0,-152015000.0,19915000.0,289065000.0,-269150000.0,-171930000.0,,-171930000.0,265459000.0,265459000.0,-129294000.0,-168789000.0,-54776000.0,80328000.0,73683000.0,73256000.0,427000.0,427000.0,-15717000.0,859000.0,-44882000.0,-44882000.0,4192000.0,37459000.0,1005000.0,6489000.0,-21970000.0,-21970000.0,85492000.0,85492000.0,282086000.0,2023-12-31
436531000.0,-27005000.0,-132703000.0,7859000.0,753532000.0,586163000.0,-752000.0,168121000.0,-100074000.0,-100074000.0,-73069000.0,-27005000.0,-27005000.0,-301039000.0,-301039000.0,-168336000.0,198462000.0,-366798000.0,-132703000.0,,-132703000.0,569234000.0,569234000.0,90959000.0,78602000.0,-50390000.0,66358000.0,-47379000.0,-59967000.0,12588000.0,12588000.0,16291000.0,1331000.0,26146000.0,26146000.0,835000.0,36003000.0,-412000.0,4209000.0,-4890000.0,-4890000.0,83243000.0,83243000.0,359287000.0,2024-03-31
