tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-4496797.124474,0.262571,404595000.0,-17126000.0,-17126000.0,223727000.0,74012000.0,1658057000.0,387469000.0,313457000.0,7057000.0,,236356202.875526,223727000.0,1867142000.0,118648000.0,296331000.0,,,,,223727000.0,223727000.0,223727000.0,223727000.0,223727000.0,79661000.0,303388000.0,-17126000.0,-17126000.0,11341000.0,5785000.0,7057000.0,,,313457000.0,209085000.0,11341000.0,74012000.0,74012000.0,135073000.0,135073000.0,135073000.0,522542000.0,1658057000.0,2180599000.0,2180599000.0,2022-12-31
-3275775.0,0.225,473309000.0,-14559000.0,-14559000.0,291644000.0,76585000.0,1761490000.0,458750000.0,382165000.0,8949000.0,,302927225.0,291644000.0,1986415000.0,121931000.0,367606000.0,27788000.0,27624000.0,10.5,10.56,291644000.0,291644000.0,291644000.0,291644000.0,291644000.0,84911000.0,376555000.0,-14559000.0,-14559000.0,6198000.0,8361000.0,8949000.0,-8949000.0,,382165000.0,224925000.0,6198000.0,76585000.0,76585000.0,148340000.0,148340000.0,148340000.0,607090000.0,1761490000.0,2368580000.0,2368580000.0,2023-03-31
-5659164.0,0.238,558137000.0,-23778000.0,-23778000.0,341790000.0,78771000.0,1823946000.0,534359000.0,455588000.0,16446000.0,,359908836.0,341790000.0,2059213000.0,123897000.0,431810000.0,27747000.0,27604000.0,12.32,12.38,341790000.0,341790000.0,341790000.0,341790000.0,341790000.0,106466000.0,448256000.0,-23778000.0,-23778000.0,7538000.0,16240000.0,16446000.0,-16446000.0,,455588000.0,235267000.0,7538000.0,78771000.0,78771000.0,156496000.0,156496000.0,156496000.0,690855000.0,1823946000.0,2514801000.0,2514801000.0,2023-06-30
-4076732.0,0.242,507188000.0,-16846000.0,-16846000.0,313217000.0,78546000.0,1822105000.0,490342000.0,411796000.0,18392000.0,18392000.0,325986268.0,313217000.0,2060152000.0,126269000.0,394950000.0,27681000.0,27550000.0,11.32,11.37,313217000.0,313217000.0,313217000.0,313217000.0,313217000.0,100125000.0,413342000.0,-16846000.0,-16846000.0,9605000.0,7241000.0,18392000.0,,18392000.0,411796000.0,238047000.0,,78546000.0,78546000.0,159501000.0,159501000.0,159501000.0,649843000.0,1822105000.0,2471948000.0,2471948000.0,2023-09-30
-5275678.511742,0.262237,489175000.0,-20118000.0,-20118000.0,282086000.0,85492000.0,1878016000.0,469057000.0,383565000.0,18906000.0,18906000.0,296928321.488258,282086000.0,2132755000.0,131167000.0,363447000.0,27621000.0,27440000.0,10.21,10.28,282086000.0,282086000.0,282086000.0,282086000.0,282086000.0,100267000.0,382353000.0,-20118000.0,-20118000.0,13590000.0,6528000.0,18906000.0,,18906000.0,383565000.0,254739000.0,,85492000.0,85492000.0,169247000.0,169247000.0,169247000.0,638304000.0,1878016000.0,2516320000.0,2516320000.0,2023-12-31
-2791800.0,0.22,549915000.0,-12690000.0,-12690000.0,359287000.0,83243000.0,1959998000.0,537225000.0,453982000.0,19364000.0,19364000.0,369185200.0,359287000.0,2247866000.0,135699000.0,441292000.0,27624000.0,27444000.0,13.01,13.09,359287000.0,359287000.0,359287000.0,359287000.0,359287000.0,101369000.0,460656000.0,-12690000.0,-12690000.0,7211000.0,5479000.0,19364000.0,,19364000.0,453982000.0,287868000.0,,83243000.0,83243000.0,204625000.0,204625000.0,204625000.0,741850000.0,1959998000.0,2701848000.0,2701848000.0,2024-03-31
