tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.198119,545900000.0,247300000.0,183700000.0,428600000.0,545900000.0,362200000.0,-53800000.0,53800000.0,247300000.0,1928400000.0,1018400000.0,412500000.0,106800000.0,106100000.0,18.06,18.18,1928400000.0,1928400000.0,1928400000.0,1928400000.0,1681100000.0,247300000.0,61100000.0,308400000.0,-50300000.0,-50300000.0,,-53800000.0,53800000.0,412500000.0,589800000.0,589800000.0,1002300000.0,428600000.0,1430900000.0,1430900000.0,2022-12-31
0.0,0.21,581200000.0,284300000.0,183700000.0,451100000.0,581200000.0,397500000.0,-37400000.0,37400000.0,284300000.0,283100000.0,1068700000.0,401000000.0,107000000.0,106300000.0,2.65,2.66,283100000.0,283100000.0,283100000.0,283100000.0,-1200000.0,284300000.0,75800000.0,360100000.0,-3500000.0,-2300000.0,-1200000.0,-37400000.0,37400000.0,401000000.0,617600000.0,617600000.0,1018600000.0,451100000.0,1469700000.0,1469700000.0,2023-03-31
0.0,0.221,682700000.0,361000000.0,184200000.0,464100000.0,682700000.0,498500000.0,-34800000.0,34800000.0,361000000.0,364900000.0,1095900000.0,435300000.0,107400000.0,106600000.0,3.4,3.42,364900000.0,364900000.0,364900000.0,364900000.0,3900000.0,361000000.0,102700000.0,463700000.0,63200000.0,-2800000.0,66000000.0,-34800000.0,34800000.0,435300000.0,631800000.0,631800000.0,1067100000.0,464100000.0,1531200000.0,1531200000.0,2023-06-30
0.0,0.219,676200000.0,345600000.0,191200000.0,467100000.0,676200000.0,485000000.0,-42400000.0,42400000.0,345600000.0,347200000.0,1117300000.0,446100000.0,107600000.0,106700000.0,3.23,3.25,347200000.0,347200000.0,347200000.0,347200000.0,1600000.0,345600000.0,97000000.0,442600000.0,38900000.0,5000000.0,33900000.0,-42400000.0,42400000.0,446100000.0,650200000.0,650200000.0,1096300000.0,467100000.0,1563400000.0,1563400000.0,2023-09-30
0.0,0.208097,722900000.0,377500000.0,196100000.0,488300000.0,722900000.0,526800000.0,-50100000.0,50100000.0,377500000.0,389000000.0,1150700000.0,462800000.0,107700000.0,106900000.0,3.61,3.64,389000000.0,389000000.0,389000000.0,389000000.0,11500000.0,377500000.0,99200000.0,476700000.0,64000000.0,-2700000.0,66700000.0,-50100000.0,50100000.0,462800000.0,662400000.0,662400000.0,1125200000.0,488300000.0,1613500000.0,1613500000.0,2023-12-31
