free_cash_flow,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,amortization_of_securities,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date
16758000.0,-3739000.0,347338000.0,324533000.0,1992000.0,20813000.0,563000.0,563000.0,-2497000.0,3060000.0,-247000.0,-247000.0,3492000.0,60657000.0,-57165000.0,0.0,0.0,-3739000.0,-3739000.0,20497000.0,20497000.0,6852000.0,49352000.0,,,13304000.0,9760000.0,3544000.0,3544000.0,-20153000.0,-31471000.0,-31471000.0,746000.0,32228000.0,-82000.0,-1363000.0,-1363000.0,4320000.0,4320000.0,-22204000.0,2022-12-31
4046000.0,-1775000.0,363663000.0,347338000.0,3000.0,16322000.0,5217000.0,5217000.0,712000.0,4505000.0,5284000.0,5284000.0,7059000.0,215349000.0,-208290000.0,0.0,0.0,-1775000.0,-1775000.0,5821000.0,5821000.0,10034000.0,-20537000.0,-1999000.0,1543000.0,2844000.0,3207000.0,-363000.0,-363000.0,-5105000.0,33288000.0,33288000.0,748000.0,31596000.0,-508000.0,-5467000.0,-5467000.0,4446000.0,4446000.0,-35028000.0,2023-03-31
-12615000.0,-1747000.0,396184000.0,363663000.0,-895000.0,33416000.0,8468000.0,8468000.0,4501000.0,3967000.0,35816000.0,35816000.0,37563000.0,144823000.0,-107260000.0,0.0,0.0,-1747000.0,-1747000.0,-10868000.0,-10868000.0,-18620000.0,12881000.0,-2774000.0,2322000.0,-1860000.0,-2593000.0,733000.0,733000.0,-11223000.0,-17966000.0,-17966000.0,748000.0,32370000.0,-966000.0,-2963000.0,-2963000.0,4341000.0,4341000.0,-25778000.0,2023-06-30
13622000.0,-731000.0,372196000.0,396184000.0,-1063000.0,-22925000.0,5510000.0,5510000.0,-2003000.0,7513000.0,-42788000.0,-42788000.0,-42057000.0,168903000.0,-210960000.0,0.0,0.0,-731000.0,-731000.0,14353000.0,14353000.0,-13113000.0,8690000.0,-2414000.0,1630000.0,-1295000.0,55000.0,-1350000.0,-1350000.0,-6236000.0,-13488000.0,-13488000.0,749000.0,38599000.0,-1250000.0,-2333000.0,-2333000.0,6310000.0,6310000.0,-14609000.0,2023-09-30
46203000.0,-695000.0,355933000.0,372196000.0,2090000.0,-18353000.0,18889000.0,18889000.0,7978000.0,10911000.0,-84140000.0,-84140000.0,-83445000.0,134513000.0,-217958000.0,0.0,0.0,-695000.0,-695000.0,46898000.0,46898000.0,-5491000.0,78137000.0,93000.0,1071000.0,5149000.0,6838000.0,-1689000.0,-1689000.0,-22452000.0,-67489000.0,-67489000.0,751000.0,37536000.0,-1846000.0,2884000.0,2884000.0,4153000.0,4153000.0,8911000.0,2023-12-31
