ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,machinery_furniture_equipment,properties,current_assets,other_current_assets,hedging_assets_current,current_deferred_assets,prepaid_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,current_debt,other_current_borrowings
41028571.0,41028571.0,222006000.0,577201000.0,497395000.0,1247488000.0,645109000.0,497395000.0,7857000.0,678144000.0,1247488000.0,678144000.0,678144000.0,-15560000.0,-15560000.0,33308000.0,660289000.0,107000.0,107000.0,1141257000.0,688785000.0,38917000.0,80524000.0,80524000.0,569344000.0,569344000.0,452472000.0,13491000.0,327918000.0,327918000.0,7857000.0,7857000.0,77328000.0,25878000.0,12236000.0,13642000.0,13642000.0,1819401000.0,721820000.0,217040000.0,72809000.0,72809000.0,227748000.0,227748000.0,227748000.0,180749000.0,27508000.0,153241000.0,23474000.0,-34186000.0,57660000.0,10087000.0,47573000.0,0.0,1097581000.0,5481000.0,121000.0,1713000.0,15167000.0,120817000.0,120817000.0,0.0,120817000.0,954282000.0,606944000.0,347338000.0,2022-12-31,,
41765066.0,41765066.0,206429000.0,570092000.0,499612000.0,1248612000.0,581361000.0,499612000.0,,678520000.0,1248612000.0,678520000.0,678520000.0,-12465000.0,-12465000.0,-1720000.0,692597000.0,108000.0,108000.0,1127495000.0,683907000.0,37213000.0,76602000.0,76602000.0,570092000.0,570092000.0,443588000.0,,339223000.0,339223000.0,,,53730000.0,50635000.0,37163000.0,13472000.0,13472000.0,1806015000.0,781066000.0,191093000.0,78722000.0,78722000.0,309687000.0,309687000.0,309687000.0,178908000.0,25667000.0,153241000.0,22656000.0,,,,,,1024949000.0,23668000.0,,,,87529000.0,87529000.0,,,913752000.0,550089000.0,363663000.0,2023-03-31,,
41765066.0,41765066.0,174657000.0,570841000.0,514824000.0,1262734000.0,576752000.0,514824000.0,,691893000.0,1262734000.0,691893000.0,691893000.0,-13496000.0,-13496000.0,-27498000.0,732777000.0,110000.0,110000.0,1136293000.0,675368000.0,35706000.0,68821000.0,68821000.0,570841000.0,570841000.0,460925000.0,,349833000.0,349833000.0,,,64555000.0,46537000.0,32890000.0,13647000.0,13647000.0,1828186000.0,790509000.0,194089000.0,82295000.0,82295000.0,315599000.0,315599000.0,315599000.0,177069000.0,23828000.0,153241000.0,21457000.0,,,,,,1037677000.0,27048000.0,,,,105495000.0,105495000.0,,,905134000.0,508950000.0,396184000.0,2023-06-30,,
,,199394000.0,571590000.0,545158000.0,1292039000.0,577809000.0,545158000.0,,720449000.0,1292039000.0,720449000.0,720449000.0,-12436000.0,-12436000.0,-42107000.0,774882000.0,110000.0,110000.0,1144417000.0,670739000.0,33376000.0,65773000.0,65773000.0,571590000.0,571590000.0,473678000.0,,357282000.0,357282000.0,,,70750000.0,45646000.0,33022000.0,12624000.0,12624000.0,1864866000.0,813379000.0,213243000.0,85005000.0,85005000.0,322026000.0,322026000.0,322026000.0,175291000.0,22050000.0,153241000.0,17814000.0,,,,,,1051487000.0,26308000.0,,,,118983000.0,118983000.0,,,906196000.0,534000000.0,372196000.0,2023-09-30,,
42255336.0,42255336.0,216407000.0,580580000.0,618883000.0,1364666000.0,86813000.0,618883000.0,8240000.0,792326000.0,792326000.0,792326000.0,792326000.0,-1849000.0,-1849000.0,-33196000.0,827260000.0,111000.0,111000.0,1229882000.0,105252000.0,33839000.0,71413000.0,71413000.0,,,1124630000.0,15443000.0,409219000.0,409219000.0,580580000.0,8240000.0,,119388000.0,108417000.0,10971000.0,10971000.0,2022208000.0,810765000.0,214816000.0,81464000.0,81464000.0,324548000.0,324548000.0,324548000.0,173443000.0,20202000.0,153241000.0,16494000.0,-41028000.0,57522000.0,10600000.0,46922000.0,0.0,1211443000.0,8641000.0,3080000.0,696000.0,19133000.0,186472000.0,186472000.0,-6000.0,186478000.0,993421000.0,637488000.0,355933000.0,2023-12-31,572340000.0,572340000.0
