tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,amortization,selling_general_and_administration,total_revenue,operating_revenue,date
-7146084.337349,0.097892,-73000000.0,-73000000.0,1169000000.0,735000000.0,1652000000.0,-324000000.0,324000000.0,1234853915.662651,1169000000.0,44423000000.0,305413000.0,305413000.0,3.827604,3.827604,1169000000.0,1169000000.0,1169000000.0,-29000000.0,1198000000.0,1198000000.0,130000000.0,1328000000.0,33135000000.0,-73000000.0,73000000.0,-324000000.0,324000000.0,32094000000.0,457000000.0,457000000.0,3483000000.0,45751000000.0,45751000000.0,2022-12-31
0.0,0.184,,,1267000000.0,749000000.0,1959000000.0,-358000000.0,358000000.0,1267000000.0,1267000000.0,44857000000.0,298999000.0,295706000.0,4.24,4.28,1267000000.0,1267000000.0,1267000000.0,-39000000.0,1306000000.0,1306000000.0,295000000.0,1601000000.0,32144000000.0,,,-358000000.0,358000000.0,31456000000.0,459000000.0,459000000.0,3538000000.0,46458000000.0,46458000000.0,2023-03-31
0.0,0.199,,,1460000000.0,755000000.0,2247000000.0,-363000000.0,363000000.0,1460000000.0,1460000000.0,46729000000.0,294512000.0,294512000.0,4.92,4.96,1460000000.0,1460000000.0,1460000000.0,-50000000.0,1510000000.0,1510000000.0,374000000.0,1884000000.0,33964000000.0,,,-363000000.0,363000000.0,33443000000.0,455000000.0,455000000.0,3434000000.0,48613000000.0,48613000000.0,2023-06-30
-4473000.0,0.213,-21000000.0,-21000000.0,1408000000.0,766000000.0,2205000000.0,-365000000.0,365000000.0,1424527000.0,1408000000.0,47199000000.0,297131000.0,294058000.0,4.74,4.79,1408000000.0,1408000000.0,1408000000.0,-41000000.0,1449000000.0,1449000000.0,391000000.0,1840000000.0,34531000000.0,-21000000.0,21000000.0,-365000000.0,365000000.0,33644000000.0,454000000.0,454000000.0,3788000000.0,49039000000.0,49039000000.0,2023-09-30
-310380000.0,0.21,-1478000000.0,-1478000000.0,1029000000.0,765000000.0,548000000.0,-360000000.0,360000000.0,2196620000.0,1029000000.0,50889000000.0,,,,,1029000000.0,1029000000.0,1029000000.0,-78000000.0,1107000000.0,1107000000.0,-919000000.0,188000000.0,36604000000.0,-1478000000.0,1478000000.0,-360000000.0,360000000.0,35258000000.0,451000000.0,451000000.0,4062000000.0,51077000000.0,51077000000.0,2023-12-31
