tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
4598790.0,0.21,-184987000.0,21899000.0,21899000.0,81112000.0,159561000.0,6498820000.0,-163088000.0,-322649000.0,-17698000.0,,63811790.0,81112000.0,7972710000.0,243676000.0,319221283.0,314248642.0,0.25,0.26,81112000.0,81112000.0,81112000.0,-4981000.0,86093000.0,86093000.0,-25461000.0,60632000.0,-143449000.0,1665000.0,-21955000.0,-2000.0,,,-167013000.0,43854000.0,-17698000.0,,,221779000.0,1473890000.0,,159561000.0,159561000.0,1314329000.0,1695669000.0,6498820000.0,8194489000.0,8194489000.0,2022-12-31
559797.0,0.183,339954000.0,3059000.0,3059000.0,116892000.0,161491000.0,6006413000.0,343013000.0,181522000.0,-28414000.0,28414000.0,114392797.0,116892000.0,7376808000.0,37365000.0,315358147.0,310464609.0,0.37,0.38,116892000.0,116892000.0,116892000.0,-8180000.0,125072000.0,125072000.0,28036000.0,153108000.0,147216000.0,2475000.0,0.0,,,0.0,141682000.0,3059000.0,-28414000.0,,28414000.0,34306000.0,1370395000.0,,161491000.0,161491000.0,1208904000.0,1404701000.0,6006413000.0,7411114000.0,7411114000.0,2023-03-31
1963332.0,0.212,442294000.0,9261000.0,9261000.0,201403000.0,154387000.0,6179496000.0,451555000.0,297168000.0,-42982000.0,,194105332.0,201403000.0,7422695000.0,306429000.0,314282247.0,310857203.0,0.64,0.65,201403000.0,201403000.0,201403000.0,-4750000.0,206153000.0,206153000.0,55404000.0,261557000.0,7371000.0,5612000.0,0.0,,,0.0,-7502000.0,9261000.0,-42982000.0,42982000.0,,297168000.0,1243199000.0,1088812000.0,154387000.0,154387000.0,,1540367000.0,6179496000.0,7719863000.0,7719863000.0,2023-06-30
715044.0,0.132,407762000.0,5417000.0,5417000.0,190553000.0,149160000.0,6396825000.0,413179000.0,264018000.0,-38206000.0,,185851044.0,190553000.0,7604028000.0,269435000.0,312221133.0,307854518.0,0.61,0.62,190553000.0,190553000.0,190553000.0,-10392000.0,200945000.0,200945000.0,30551000.0,231496000.0,5684000.0,13628000.0,0.0,,0.0,,-13361000.0,5417000.0,-38206000.0,38206000.0,,264018000.0,1207204000.0,1058043000.0,149161000.0,149161000.0,,1471222000.0,6396824000.0,7868046000.0,7868046000.0,2023-09-30
1996892.003969,0.215601,642204000.0,9262000.0,9262000.0,477151000.0,156962000.0,7092267000.0,651466000.0,494504000.0,-39397000.0,,469885892.003969,477151000.0,8455471000.0,503766000.0,,,,,477151000.0,477151000.0,477151000.0,-17678000.0,494829000.0,494829000.0,136009000.0,630838000.0,175731000.0,39286000.0,0.0,,,,127183000.0,9262000.0,-39397000.0,39397000.0,,494504000.0,1363204000.0,1206242000.0,156962000.0,156962000.0,,1857708000.0,7092267000.0,8949975000.0,8949975000.0,2023-12-31
