tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.045113,484000000.0,147000000.0,209000000.0,1575000000.0,484000000.0,210000000.0,-77000000.0,77000000.0,147000000.0,147000000.0,1941000000.0,217000000.0,387300000.0,386700000.0,0.38,0.38,147000000.0,147000000.0,147000000.0,20000000.0,127000000.0,127000000.0,6000000.0,133000000.0,-7000000.0,-8000000.0,1000000.0,-77000000.0,77000000.0,217000000.0,431000000.0,157000000.0,274000000.0,274000000.0,648000000.0,1510000000.0,2158000000.0,2158000000.0,2022-12-31
0.0,0.21,572000000.0,245000000.0,280000000.0,1738000000.0,572000000.0,292000000.0,-95000000.0,95000000.0,245000000.0,245000000.0,2201000000.0,265000000.0,387100000.0,386700000.0,0.63,0.63,245000000.0,245000000.0,245000000.0,30000000.0,215000000.0,215000000.0,-18000000.0,197000000.0,27000000.0,25000000.0,2000000.0,-95000000.0,95000000.0,265000000.0,463000000.0,183000000.0,280000000.0,280000000.0,728000000.0,1738000000.0,2466000000.0,2466000000.0,2023-03-31
0.0,0.15,444000000.0,85000000.0,285000000.0,1019000000.0,444000000.0,159000000.0,-99000000.0,99000000.0,85000000.0,85000000.0,1461000000.0,126000000.0,387100000.0,386700000.0,0.22,0.22,85000000.0,85000000.0,85000000.0,34000000.0,51000000.0,51000000.0,9000000.0,60000000.0,33000000.0,29000000.0,4000000.0,-99000000.0,99000000.0,126000000.0,442000000.0,157000000.0,285000000.0,285000000.0,568000000.0,1019000000.0,1587000000.0,1587000000.0,2023-06-30
0.0,0.21,433000000.0,59000000.0,255000000.0,1454000000.0,433000000.0,130000000.0,-107000000.0,107000000.0,59000000.0,59000000.0,1885000000.0,89000000.0,387300000.0,386900000.0,0.15,0.15,59000000.0,59000000.0,59000000.0,28000000.0,31000000.0,31000000.0,-8000000.0,23000000.0,41000000.0,42000000.0,-1000000.0,-107000000.0,107000000.0,89000000.0,479000000.0,176000000.0,303000000.0,303000000.0,568000000.0,1406000000.0,1974000000.0,1974000000.0,2023-09-30
0.0,0.021277,822000000.0,397000000.0,338000000.0,1327000000.0,822000000.0,484000000.0,-108000000.0,108000000.0,397000000.0,397000000.0,1832000000.0,450000000.0,387200000.0,386900000.0,1.03,1.03,397000000.0,397000000.0,397000000.0,29000000.0,368000000.0,368000000.0,8000000.0,376000000.0,34000000.0,-49000000.0,1000000.0,-108000000.0,108000000.0,450000000.0,457000000.0,167000000.0,290000000.0,290000000.0,907000000.0,1375000000.0,2282000000.0,2282000000.0,2023-12-31
0.0,0.058,765000000.0,351000000.0,298000000.0,1516000000.0,765000000.0,467000000.0,-125000000.0,125000000.0,351000000.0,351000000.0,2010000000.0,407000000.0,387239544.0,386916234.0,0.91,0.91,351000000.0,351000000.0,351000000.0,29000000.0,322000000.0,322000000.0,20000000.0,342000000.0,60000000.0,54000000.0,6000000.0,-125000000.0,125000000.0,407000000.0,494000000.0,196000000.0,298000000.0,298000000.0,901000000.0,1516000000.0,2417000000.0,2417000000.0,2024-03-31
