tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,other_income_expense,other_non_operating_income_expenses
0.0,0.304348,282000000.0,80000000.0,21000000.0,537000000.0,282000000.0,261000000.0,-146000000.0,146000000.0,80000000.0,80000000.0,997000000.0,260000000.0,,,,,80000000.0,80000000.0,80000000.0,80000000.0,80000000.0,35000000.0,115000000.0,-146000000.0,146000000.0,260000000.0,460000000.0,53000000.0,407000000.0,720000000.0,537000000.0,1257000000.0,1257000000.0,2022-12-31,,
0.0,0.229,314000000.0,225000000.0,22000000.0,517000000.0,314000000.0,292000000.0,0.0,0.0,225000000.0,225000000.0,933000000.0,292000000.0,246700000.0,244500000.0,0.912039,0.920245,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,67000000.0,292000000.0,0.0,0.0,292000000.0,416000000.0,56000000.0,360000000.0,708000000.0,517000000.0,1225000000.0,1225000000.0,2023-03-31,,
0.0,0.239362,283000000.0,143000000.0,22000000.0,529000000.0,283000000.0,261000000.0,-73000000.0,73000000.0,143000000.0,143000000.0,982000000.0,275000000.0,,,,,143000000.0,143000000.0,143000000.0,143000000.0,143000000.0,45000000.0,188000000.0,-73000000.0,73000000.0,275000000.0,453000000.0,57000000.0,396000000.0,728000000.0,529000000.0,1257000000.0,1257000000.0,2023-06-30,,
0.0,0.235075,294000000.0,205000000.0,21000000.0,532000000.0,294000000.0,273000000.0,-5000000.0,5000000.0,205000000.0,205000000.0,982000000.0,273000000.0,246300000.0,246300000.0,0.83,0.83,205000000.0,205000000.0,205000000.0,205000000.0,205000000.0,63000000.0,268000000.0,-5000000.0,5000000.0,273000000.0,450000000.0,55000000.0,395000000.0,723000000.0,532000000.0,1255000000.0,1255000000.0,2023-09-30,,
0.0,0.233716,308000000.0,200000000.0,22000000.0,542000000.0,308000000.0,286000000.0,-25000000.0,25000000.0,200000000.0,200000000.0,1002000000.0,286000000.0,248200000.0,246600000.0,0.81,0.81,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,61000000.0,261000000.0,-25000000.0,25000000.0,286000000.0,460000000.0,57000000.0,403000000.0,746000000.0,542000000.0,1288000000.0,1288000000.0,2023-12-31,0.0,0.0
0.0,0.264,299000000.0,184000000.0,21000000.0,499000000.0,299000000.0,278000000.0,-28000000.0,28000000.0,184000000.0,184000000.0,953000000.0,293000000.0,248800000.0,246900000.0,0.74,0.75,184000000.0,184000000.0,184000000.0,184000000.0,184000000.0,66000000.0,250000000.0,-28000000.0,28000000.0,293000000.0,454000000.0,60000000.0,394000000.0,747000000.0,499000000.0,1246000000.0,1246000000.0,2024-03-31,-15000000.0,-15000000.0
