tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
8272.172427,0.073859,361983000.0,112000.0,112000.0,318663000.0,12948000.0,345121000.0,362095000.0,349147000.0,97481000.0,5071000.0,102552000.0,318559272.172427,318663000.0,1666831000.0,234827000.0,672000000.0,634000000.0,0.48,0.5,318663000.0,,318663000.0,318663000.0,318663000.0,318663000.0,25413000.0,344076000.0,11880000.0,11768000.0,112000.0,-112000.0,97481000.0,5071000.0,102552000.0,234715000.0,1321710000.0,259787000.0,397841000.0,664082000.0,408344000.0,255738000.0,255738000.0,1556425000.0,345121000.0,1901546000.0,1901546000.0,2022-12-31
0.0,0.1,145000000.0,,,117000000.0,11000000.0,428000000.0,145000000.0,134000000.0,142000000.0,4000000.0,146000000.0,117000000.0,117000000.0,1823000000.0,-5000000.0,670000000.0,634000000.0,0.18,0.18,117000000.0,,117000000.0,117000000.0,117000000.0,117000000.0,13000000.0,130000000.0,-7000000.0,-7000000.0,,,142000000.0,4000000.0,146000000.0,-5000000.0,1395000000.0,282000000.0,420000000.0,693000000.0,450000000.0,243000000.0,243000000.0,1390000000.0,428000000.0,1818000000.0,1818000000.0,2023-03-31
0.0,0.038462,687000000.0,0.0,0.0,650000000.0,9000000.0,432000000.0,687000000.0,678000000.0,189000000.0,2000000.0,191000000.0,650000000.0,650000000.0,1961000000.0,523000000.0,665000000.0,635000000.0,0.98,1.02,651000000.0,1000000.0,650000000.0,650000000.0,650000000.0,650000000.0,26000000.0,676000000.0,-36000000.0,-36000000.0,0.0,0.0,189000000.0,2000000.0,191000000.0,523000000.0,1529000000.0,317000000.0,451000000.0,761000000.0,486000000.0,275000000.0,275000000.0,2052000000.0,432000000.0,2484000000.0,2484000000.0,2023-06-30
0.0,0.21,1693000000.0,0.0,0.0,4374000000.0,8000000.0,459000000.0,1693000000.0,1685000000.0,186000000.0,6000000.0,192000000.0,4374000000.0,4374000000.0,1901000000.0,1496000000.0,660000000.0,640000000.0,6.63,6.83,4375000000.0,1000000.0,4374000000.0,4374000000.0,4374000000.0,4374000000.0,-2695000000.0,1679000000.0,-3000000.0,-3000000.0,0.0,0.0,186000000.0,6000000.0,192000000.0,1496000000.0,1442000000.0,316000000.0,419000000.0,707000000.0,403000000.0,304000000.0,304000000.0,2938000000.0,459000000.0,3397000000.0,3397000000.0,2023-09-30
0.0,0.088773,-296000000.0,0.0,0.0,-349000000.0,16000000.0,384000000.0,-296000000.0,-312000000.0,121000000.0,71000000.0,192000000.0,-349000000.0,-349000000.0,2714000000.0,-496000000.0,,,,,-351000000.0,,-349000000.0,-349000000.0,-349000000.0,-349000000.0,-34000000.0,-383000000.0,-8000000.0,-8000000.0,0.0,0.0,121000000.0,71000000.0,192000000.0,-496000000.0,2330000000.0,271000000.0,432000000.0,1627000000.0,424000000.0,1203000000.0,1203000000.0,1834000000.0,384000000.0,2218000000.0,2218000000.0,2023-12-31
