tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-8599986.384369,0.311594,2513400000.0,-27600000.0,-27600000.0,1011200000.0,869800000.0,2601900000.0,2485800000.0,1616000000.0,-147100000.0,147100000.0,1030200013.615631,1011200000.0,4049700000.0,-201300000.0,1221400000.0,1213100000.0,0.83,0.83,1011200000.0,1011200000.0,1011200000.0,1011200000.0,1011200000.0,457700000.0,1468900000.0,1789700000.0,1817300000.0,-27600000.0,25600000.0,2000000.0,-147100000.0,147100000.0,-173700000.0,1447800000.0,182400000.0,1265400000.0,1274100000.0,2601900000.0,3876000000.0,6592200000.0,2022-12-31
-182212.581345,0.303688,1200300000.0,-600000.0,-600000.0,224700000.0,730000000.0,2186900000.0,1199700000.0,469700000.0,-147000000.0,147000000.0,225117787.418655,224700000.0,3328700000.0,399800000.0,1205600000.0,1202500000.0,0.19,0.19,224700000.0,224700000.0,224700000.0,224700000.0,224700000.0,98000000.0,322700000.0,69300000.0,69900000.0,-600000.0,-900000.0,1500000.0,-147000000.0,147000000.0,400400000.0,1141800000.0,182900000.0,958900000.0,1542200000.0,2186900000.0,3729100000.0,6273000000.0,2023-03-31
165765.765766,0.207207,1162600000.0,800000.0,800000.0,264000000.0,686700000.0,2310000000.0,1163400000.0,476700000.0,-143700000.0,143700000.0,263365765.765766,264000000.0,3550200000.0,369200000.0,1203500000.0,1199000000.0,0.22,0.22,264000000.0,264000000.0,264000000.0,264000000.0,264000000.0,69000000.0,333000000.0,108300000.0,107500000.0,800000.0,-14900000.0,14100000.0,-143700000.0,143700000.0,368400000.0,1240200000.0,208300000.0,1031900000.0,1608600000.0,2310000000.0,3918600000.0,6519000000.0,2023-06-30
4405917.454003,0.175535,1198000000.0,25100000.0,25100000.0,331600000.0,679400000.0,2250600000.0,1223100000.0,543700000.0,-141500000.0,141500000.0,310905917.454003,331600000.0,3515300000.0,451700000.0,1207600000.0,1199500000.0,0.27,0.28,331600000.0,331600000.0,331600000.0,331600000.0,331600000.0,70600000.0,402200000.0,117100000.0,92000000.0,25100000.0,-22200000.0,-2900000.0,-141500000.0,141500000.0,426600000.0,1264700000.0,211200000.0,1053500000.0,1691300000.0,2250600000.0,3941900000.0,6497200000.0,2023-09-30
-25345684.210526,0.104561,172700000.0,-242400000.0,-242400000.0,-765600000.0,644400000.0,2240800000.0,-69700000.0,-714100000.0,-140900000.0,140900000.0,-548545684.210526,-765600000.0,4049400000.0,-454500000.0,1200100000.0,1200100000.0,-0.64,-0.64,-765600000.0,-765600000.0,-765600000.0,-765600000.0,-765600000.0,-89400000.0,-855000000.0,-502000000.0,-259600000.0,-242400000.0,174700000.0,67700000.0,-140900000.0,140900000.0,-212100000.0,1808600000.0,202800000.0,1605800000.0,1596500000.0,2240800000.0,3837300000.0,6403900000.0,2023-12-31
