treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,foreign_currency_translation_adjustments,minimum_pension_liabilities,unrealized_gain_loss,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_accrued_expenses,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,commercial_paper,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,dueto_related_parties_current,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,current_deferred_assets,prepaid_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,current_deferred_taxes_assets,taxes_receivable
,1213793231.0,1213793231.0,18005800000.0,19527700000.0,-11960600000.0,40338000000.0,3889200000.0,-11960600000.0,262000000.0,21072300000.0,39087500000.0,21072300000.0,21072300000.0,-2761200000.0,358500000.0,-3385900000.0,268500000.0,-2300000.0,0.0,5175600000.0,18645800000.0,12100000.0,12100000.0,28949900000.0,22203700000.0,555500000.0,544600000.0,60400000.0,414600000.0,2432000000.0,2432000000.0,18196600000.0,181400000.0,18015200000.0,6746200000.0,1238100000.0,1331100000.0,80600000.0,1250500000.0,1250500000.0,0.0,0.0,888800000.0,4177000000.0,2108300000.0,80200000.0,2068700000.0,608600000.0,22500000.0,279600000.0,279600000.0,1158000000.0,50022200000.0,39386800000.0,753300000.0,1225400000.0,925900000.0,1091400000.0,997400000.0,997400000.0,94000000.0,33032900000.0,22607100000.0,10425800000.0,3283800000.0,-2059300000.0,5343100000.0,474000000.0,259300000.0,2936700000.0,1539700000.0,133400000.0,0.0,10635400000.0,1404000000.0,230300000.0,,194600000.0,3519500000.0,2192600000.0,755400000.0,571500000.0,3814500000.0,570700000.0,3243800000.0,-114700000.0,3358500000.0,1472500000.0,212600000.0,1259900000.0,,,2022-12-31,,
,1220224204.0,1220224204.0,18267500000.0,19030800000.0,-12346900000.0,39702000000.0,3522200000.0,-12346900000.0,256700000.0,20927900000.0,38997300000.0,20927900000.0,20927900000.0,-2764600000.0,-2764600000.0,,,,251800000.0,5252500000.0,18679600000.0,12200000.0,12200000.0,28362300000.0,22254200000.0,528500000.0,542100000.0,58000000.0,418000000.0,2465000000.0,2465000000.0,18242600000.0,173200000.0,18069400000.0,6108100000.0,1039200000.0,788200000.0,83500000.0,704700000.0,507700000.0,197000000.0,,851500000.0,4280700000.0,2046600000.0,214000000.0,2234100000.0,542100000.0,32100000.0,244500000.0,244500000.0,1415400000.0,49290200000.0,39659900000.0,779900000.0,1265000000.0,959100000.0,1078600000.0,1000000000.0,1000000000.0,78600000.0,33274800000.0,22701600000.0,10573200000.0,3261600000.0,-2137300000.0,5398900000.0,410800000.0,253800000.0,3051300000.0,1548000000.0,135000000.0,0.0,9630300000.0,1350400000.0,198300000.0,,239700000.0,3664300000.0,2299500000.0,697400000.0,667400000.0,3497500000.0,475600000.0,3021900000.0,,,680100000.0,173500000.0,506600000.0,,,2023-03-31,,
21239521.0,1199146045.0,1220385566.0,17974400000.0,18855800000.0,-11773600000.0,39446900000.0,3254200000.0,-11773600000.0,252200000.0,20843300000.0,38089300000.0,20843300000.0,20843300000.0,-3005600000.0,-3005600000.0,,,,251800000.0,5369100000.0,18719400000.0,12200000.0,12200000.0,27851900000.0,21328100000.0,523400000.0,530500000.0,60400000.0,393100000.0,2407800000.0,2407800000.0,17412900000.0,166900000.0,17246000000.0,6523800000.0,1033500000.0,1442900000.0,85300000.0,1357600000.0,1334400000.0,23200000.0,,,4047400000.0,1915700000.0,64200000.0,2131700000.0,652400000.0,11600000.0,158100000.0,158100000.0,1309600000.0,48695200000.0,38917200000.0,1800400000.0,1112100000.0,966000000.0,154200000.0,154200000.0,154200000.0,,32616900000.0,22084400000.0,10532500000.0,3233600000.0,-2063000000.0,5296600000.0,407300000.0,250400000.0,3011000000.0,1502800000.0,125100000.0,0.0,9778000000.0,1177700000.0,174900000.0,164800000.0,205800000.0,3641500000.0,2091800000.0,1132200000.0,417500000.0,3607300000.0,483600000.0,3123700000.0,,,806000000.0,176800000.0,629200000.0,222900000.0,406300000.0,2023-06-30,,
21239521.0,1199659912.0,1220899433.0,17066100000.0,18624600000.0,-10693000000.0,39241300000.0,4098000000.0,-10693000000.0,248900000.0,20865600000.0,37942500000.0,20865600000.0,20865600000.0,-3208500000.0,-3208500000.0,,,,251800000.0,5553000000.0,18760700000.0,12200000.0,12200000.0,27877000000.0,21043000000.0,523700000.0,520500000.0,60300000.0,382100000.0,2319000000.0,2319000000.0,17237400000.0,160500000.0,17076900000.0,6834000000.0,1048800000.0,1387200000.0,88400000.0,1298800000.0,1298700000.0,100000.0,,,4398000000.0,2142900000.0,206500000.0,2255100000.0,770600000.0,59100000.0,206900000.0,206900000.0,1218500000.0,48742600000.0,37810600000.0,785100000.0,1078900000.0,930400000.0,1213700000.0,1048000000.0,1048000000.0,165700000.0,31558600000.0,21280500000.0,10278100000.0,3174300000.0,-2110500000.0,5284800000.0,389800000.0,247700000.0,3022700000.0,1501100000.0,123500000.0,0.0,10932000000.0,1195400000.0,427300000.0,167500000.0,166900000.0,3671900000.0,1898600000.0,1030900000.0,742400000.0,3738500000.0,507500000.0,3231000000.0,,,1564500000.0,254900000.0,1309600000.0,,,2023-09-30,,
21239521.0,1200754970.0,1221994491.0,17130900000.0,18371200000.0,-8580800000.0,38590200000.0,5198700000.0,-8580800000.0,248400000.0,20467400000.0,36655500000.0,20467400000.0,20467400000.0,-2747400000.0,-2747400000.0,,,,251800000.0,4639700000.0,18814700000.0,12200000.0,12200000.0,27218100000.0,19440700000.0,388700000.0,504300000.0,59200000.0,399300000.0,1735700000.0,1735700000.0,16353500000.0,165400000.0,16188100000.0,7777400000.0,1382900000.0,2017700000.0,83000000.0,1934700000.0,1934700000.0,,,,4376800000.0,2188000000.0,66800000.0,2188800000.0,556800000.0,23800000.0,226800000.0,226800000.0,1381400000.0,47685500000.0,34709400000.0,821100000.0,692900000.0,692900000.0,1142000000.0,1142000000.0,1142000000.0,,29048200000.0,19181100000.0,9867100000.0,3005200000.0,-2010700000.0,5015900000.0,431200000.0,245600000.0,2774500000.0,1444400000.0,120200000.0,0.0,12976100000.0,271000000.0,2786000000.0,1068500000.0,155900000.0,3469700000.0,2135900000.0,602100000.0,731700000.0,4040600000.0,876600000.0,2823800000.0,-118800000.0,2942600000.0,1184400000.0,192500000.0,991900000.0,,,2023-12-31,747300000.0,340200000.0
