tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,impairment_of_capital_assets,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-62767466.385447,0.055365,1493300000.0,-1133700000.0,-1133700000.0,-683800000.0,814700000.0,805000000.0,359600000.0,-455100000.0,-274900000.0,303500000.0,28600000.0,387132533.614553,-683800000.0,1828700000.0,192000000.0,466696000.0,465609000.0,-1.47,-1.47,-683800000.0,-683800000.0,-683800000.0,32800000.0,-716600000.0,-716600000.0,-42000000.0,-758600000.0,-1360000000.0,-226300000.0,-684300000.0,0.0,,,-274900000.0,303500000.0,28600000.0,876300000.0,1023700000.0,-15300000.0,814700000.0,814700000.0,224300000.0,1900000000.0,805000000.0,2705000000.0,2705000000.0,2022-12-31
0.0,0.145,1502700000.0,,,335800000.0,794100000.0,806100000.0,1502700000.0,708600000.0,-309400000.0,340200000.0,30800000.0,335800000.0,335800000.0,1991600000.0,775600000.0,466810000.0,465741000.0,0.72,0.72,335800000.0,335800000.0,335800000.0,20800000.0,315000000.0,315000000.0,53400000.0,368400000.0,-97800000.0,-97800000.0,,,,,-309400000.0,340200000.0,30800000.0,775600000.0,1185500000.0,127500000.0,794100000.0,794100000.0,263900000.0,1961100000.0,806100000.0,2767200000.0,2767200000.0,2023-03-31
-8400.0,0.028,1587700000.0,-300000.0,-300000.0,475700000.0,764600000.0,827300000.0,1587400000.0,822800000.0,-317500000.0,348100000.0,30600000.0,475991600.0,475700000.0,1898000000.0,873700000.0,466979000.0,466087000.0,1.02,1.02,475700000.0,475700000.0,475700000.0,14200000.0,461500000.0,461500000.0,13200000.0,474700000.0,-81500000.0,-81200000.0,-300000.0,300000.0,,,-317500000.0,348100000.0,30600000.0,873700000.0,1070700000.0,61700000.0,764600000.0,764600000.0,244400000.0,1944400000.0,827300000.0,2771700000.0,2771700000.0,2023-06-30
-8506800.0,0.102,1848500000.0,-83400000.0,-83400000.0,586900000.0,762900000.0,815800000.0,1765100000.0,1002200000.0,-313500000.0,359200000.0,45700000.0,661793200.0,586900000.0,1837900000.0,658700000.0,467161000.0,466168000.0,1.26,1.26,586900000.0,586900000.0,586900000.0,9600000.0,577300000.0,577300000.0,65700000.0,643000000.0,-24200000.0,59200000.0,-322000000.0,,322000000.0,238600000.0,-313500000.0,359200000.0,45700000.0,980700000.0,1022100000.0,27300000.0,762900000.0,762900000.0,231900000.0,2002800000.0,815800000.0,2818600000.0,2818600000.0,2023-09-30
-169533000.0,0.21,1958100000.0,-807300000.0,-807300000.0,84900000.0,764900000.0,811400000.0,1150800000.0,385900000.0,-314400000.0,350700000.0,36300000.0,722667000.0,84900000.0,1640200000.0,716900000.0,467453000.0,466249000.0,0.18,0.18,84900000.0,84900000.0,84900000.0,71600000.0,13300000.0,13300000.0,21900000.0,35200000.0,-796900000.0,10400000.0,-429600000.0,0.0,282400000.0,-377700000.0,-314400000.0,350700000.0,36300000.0,1146500000.0,828800000.0,-188400000.0,764900000.0,764900000.0,252300000.0,1975300000.0,811400000.0,2786700000.0,2786700000.0,2023-12-31
