tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-5354530.106922,0.097355,2949000000.0,-55000000.0,-55000000.0,1576000000.0,848000000.0,6844000000.0,2894000000.0,2046000000.0,-119000000.0,269000000.0,150000000.0,1625645469.893078,1576000000.0,9534000000.0,1861000000.0,393000000.0,391000000.0,4.01,4.03,1576000000.0,1576000000.0,1576000000.0,2000000.0,1574000000.0,1574000000.0,-30000000.0,173000000.0,1777000000.0,-20000000.0,35000000.0,-55000000.0,55000000.0,-119000000.0,269000000.0,150000000.0,1916000000.0,2690000000.0,391000000.0,2299000000.0,4606000000.0,6844000000.0,11450000000.0,11450000000.0,2022-12-31
-3808000.0,0.034,2634000000.0,-112000000.0,-112000000.0,1289000000.0,859000000.0,6570000000.0,2522000000.0,1663000000.0,-154000000.0,300000000.0,146000000.0,1397192000.0,1289000000.0,9035000000.0,1563000000.0,388000000.0,386000000.0,3.32,3.34,1289000000.0,1289000000.0,1289000000.0,-3000000.0,1292000000.0,1292000000.0,-25000000.0,46000000.0,1363000000.0,-158000000.0,-46000000.0,-112000000.0,112000000.0,-154000000.0,300000000.0,146000000.0,1675000000.0,2465000000.0,346000000.0,2119000000.0,4140000000.0,6570000000.0,10710000000.0,10710000000.0,2023-03-31
-6588000.0,0.036,2794000000.0,-183000000.0,-183000000.0,1361000000.0,855000000.0,6436000000.0,2611000000.0,1756000000.0,-148000000.0,326000000.0,178000000.0,1537412000.0,1361000000.0,8926000000.0,1578000000.0,388000000.0,386000000.0,3.51,3.53,1361000000.0,1361000000.0,1361000000.0,-1000000.0,1362000000.0,1362000000.0,-16000000.0,52000000.0,1430000000.0,-183000000.0,,-183000000.0,183000000.0,-148000000.0,326000000.0,178000000.0,1761000000.0,2490000000.0,345000000.0,2145000000.0,4251000000.0,6436000000.0,10687000000.0,10687000000.0,2023-06-30
-2520000.0,0.03,3061000000.0,-84000000.0,-84000000.0,1715000000.0,853000000.0,6258000000.0,2977000000.0,2124000000.0,-113000000.0,359000000.0,246000000.0,1796480000.0,1715000000.0,8626000000.0,1864000000.0,388000000.0,386000000.0,4.42,4.44,1715000000.0,1715000000.0,1715000000.0,20000000.0,1695000000.0,1695000000.0,-17000000.0,53000000.0,1765000000.0,-70000000.0,14000000.0,-84000000.0,84000000.0,-113000000.0,359000000.0,246000000.0,1948000000.0,2368000000.0,319000000.0,2049000000.0,4316000000.0,6258000000.0,10574000000.0,10574000000.0,2023-09-30
-6114942.528736,0.076437,3049000000.0,-80000000.0,-80000000.0,1630000000.0,839000000.0,6493000000.0,2969000000.0,2130000000.0,-81000000.0,390000000.0,309000000.0,1703885057.471264,1630000000.0,8952000000.0,1854000000.0,388000000.0,387000000.0,4.2,4.22,1630000000.0,1630000000.0,1630000000.0,24000000.0,1606000000.0,1606000000.0,-1000000.0,133000000.0,1740000000.0,-113000000.0,-33000000.0,-80000000.0,80000000.0,-81000000.0,390000000.0,309000000.0,1934000000.0,2459000000.0,327000000.0,2132000000.0,4393000000.0,6493000000.0,10886000000.0,10886000000.0,2023-12-31
