treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,prepaid_assets,inventory,inventories_adjustments_allowances,finished_goods,work_in_process,raw_materials,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,6763070.0,6763070.0,,3254000.0,12205000.0,12205000.0,9746000.0,12205000.0,3254000.0,12205000.0,12205000.0,12205000.0,12205000.0,-8918000.0,21116000.0,7000.0,7000.0,7168000.0,2646000.0,2646000.0,2646000.0,,4522000.0,336000.0,326000.0,326000.0,608000.0,608000.0,,282000.0,2970000.0,1206000.0,1764000.0,331000.0,331000.0,1433000.0,19373000.0,5105000.0,23000.0,1001000.0,1001000.0,4081000.0,,4081000.0,,977000.0,3104000.0,,14268000.0,249000.0,10798000.0,-811000.0,547000.0,4822000.0,6240000.0,1941000.0,336000.0,1605000.0,,,1280000.0,1280000.0,2022-12-31
,6723070.0,6723070.0,331000.0,4147000.0,12659000.0,13666000.0,11366000.0,12659000.0,3140000.0,12659000.0,13666000.0,12659000.0,12659000.0,-8439000.0,21091000.0,7000.0,7000.0,7191000.0,3535000.0,3535000.0,2528000.0,1007000.0,3656000.0,,131000.0,131000.0,612000.0,612000.0,,113000.0,2800000.0,1492000.0,1308000.0,0.0,0.0,1308000.0,19850000.0,4828000.0,23000.0,873000.0,873000.0,3932000.0,,3932000.0,,948000.0,2984000.0,,15022000.0,442000.0,11292000.0,-811000.0,872000.0,4594000.0,6637000.0,2612000.0,336000.0,2276000.0,,,676000.0,676000.0,2023-03-31
,6763070.0,6763070.0,893000.0,4229000.0,13316000.0,14523000.0,12198000.0,13316000.0,3022000.0,13316000.0,14523000.0,13316000.0,13316000.0,-7863000.0,21172000.0,7000.0,7000.0,7648000.0,3613000.0,3613000.0,2406000.0,1207000.0,4035000.0,,131000.0,131000.0,616000.0,616000.0,,,3288000.0,1679000.0,1609000.0,0.0,0.0,1609000.0,20964000.0,4731000.0,23000.0,762000.0,762000.0,3946000.0,,3946000.0,,1083000.0,2863000.0,,16233000.0,431000.0,12282000.0,-811000.0,615000.0,5050000.0,7428000.0,3206000.0,336000.0,2870000.0,,,314000.0,314000.0,2023-06-30
0.0,6763070.0,6763070.0,,3902000.0,14860000.0,15860000.0,13459000.0,14860000.0,2902000.0,14860000.0,15860000.0,14860000.0,14860000.0,-6432000.0,21285000.0,7000.0,7000.0,7359000.0,3282000.0,3282000.0,2282000.0,1000000.0,4077000.0,,481000.0,481000.0,620000.0,620000.0,403000.0,243000.0,2330000.0,1165000.0,1165000.0,355000.0,247000.0,810000.0,22219000.0,4683000.0,23000.0,922000.0,922000.0,3738000.0,-4365000.0,8103000.0,404000.0,,7699000.0,0.0,17536000.0,219000.0,12153000.0,-1007000.0,489000.0,4460000.0,8211000.0,3960000.0,336000.0,3624000.0,-5000000.0,8624000.0,1204000.0,1204000.0,2023-09-30
0.0,6823693.0,6823693.0,,2781000.0,15377000.0,15377000.0,13044000.0,15377000.0,2781000.0,15377000.0,15377000.0,15377000.0,15377000.0,-6001000.0,21371000.0,7000.0,7000.0,7012000.0,2156000.0,2156000.0,2156000.0,,4856000.0,,481000.0,481000.0,625000.0,625000.0,,308000.0,3442000.0,1320000.0,2122000.0,326000.0,326000.0,1796000.0,22389000.0,4489000.0,23000.0,887000.0,887000.0,3579000.0,,3579000.0,,964000.0,2615000.0,,17900000.0,154000.0,12685000.0,-1007000.0,581000.0,4628000.0,8483000.0,2688000.0,258000.0,2430000.0,,,2373000.0,2373000.0,2023-12-31
