tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,write_off,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
236179231.938347,0.241445,172285000.0,978190000.0,978190000.0,833494000.0,40000000.0,336291000.0,1150475000.0,1110475000.0,617000.0,11683000.0,12300000.0,91483231.938347,833494000.0,611608000.0,126180000.0,29792000.0,29683000.0,27.78,27.89,833494000.0,833494000.0,833494000.0,833494000.0,833494000.0,265298000.0,1098792000.0,979490000.0,1300000.0,-6800000.0,0.0,11900000.0,984990000.0,617000.0,11683000.0,12300000.0,118680000.0,275317000.0,57363000.0,210454000.0,393997000.0,336291000.0,730288000.0,730288000.0,2022-12-31
-2838286.0,0.187,147944000.0,-15178000.0,-15178000.0,68962000.0,35600000.0,314427000.0,132766000.0,97166000.0,-12337000.0,12337000.0,,81301714.0,68962000.0,614931000.0,61913000.0,29747000.0,29596000.0,2.32,2.33,68962000.0,68962000.0,68962000.0,68962000.0,68962000.0,15867000.0,84829000.0,35253000.0,50431000.0,,,,-15178000.0,-12337000.0,12337000.0,,61913000.0,300504000.0,74951000.0,225553000.0,362417000.0,314427000.0,676844000.0,676844000.0,2023-03-31
-358872525.0,0.225,142705000.0,-1594989000.0,-1594989000.0,-1162251000.0,35800000.0,318627000.0,-1452284000.0,-1488084000.0,4157000.0,12343000.0,16500000.0,73865475.0,-1162251000.0,591493000.0,89617000.0,29355000.0,29355000.0,-39.59,-39.59,-1162251000.0,-1162251000.0,-1162251000.0,-1162251000.0,-1162251000.0,-338176000.0,-1500427000.0,-1594189000.0,800000.0,0.0,0.0,,-1594989000.0,4157000.0,12343000.0,16500000.0,89617000.0,272866000.0,65042000.0,207824000.0,362483000.0,318627000.0,681110000.0,681110000.0,2023-06-30
9113625.0,0.225,146295000.0,40505000.0,40505000.0,106257000.0,37300000.0,296441000.0,186800000.0,149500000.0,4902000.0,12398000.0,17300000.0,74865625.0,106257000.0,541175000.0,90949000.0,29223000.0,29102000.0,3.64,3.65,106257000.0,106257000.0,106257000.0,106257000.0,106257000.0,30845000.0,137102000.0,41251000.0,746000.0,2500000.0,2500000.0,,38005000.0,4902000.0,12398000.0,17300000.0,90949000.0,244734000.0,43535000.0,201199000.0,335683000.0,296441000.0,632124000.0,632124000.0,2023-09-30
60365567.218809,0.183673,149295000.0,328658000.0,328658000.0,349708000.0,37200000.0,314821000.0,477953000.0,440753000.0,4439000.0,12361000.0,16800000.0,81415567.218809,349708000.0,585867000.0,95317000.0,,,,,349708000.0,349708000.0,349708000.0,349708000.0,349708000.0,78684000.0,428392000.0,328593000.0,-65000.0,0.0,0.0,,328658000.0,4439000.0,12361000.0,16800000.0,95317000.0,271046000.0,63899000.0,207147000.0,366363000.0,314821000.0,681184000.0,681184000.0,2023-12-31
