tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,write_off,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
1061063.351707,0.018106,71572000.0,58603000.0,58603000.0,-25637000.0,90071000.0,565159000.0,130175000.0,40104000.0,-57768000.0,66228000.0,3870000.0,-83178936.648293,-25637000.0,731567000.0,40875000.0,25689000.0,-25637000.0,-25637000.0,-25637000.0,14000.0,-25651000.0,-25651000.0,-473000.0,-26124000.0,67549000.0,10375000.0,60221000.0,73834000.0,,12256000.0,-1429000.0,-1618000.0,-57768000.0,,66228000.0,3870000.0,-35905000.0,164552000.0,-4923000.0,88215000.0,88215000.0,81260000.0,81260000.0,40385000.0,40875000.0,,128647000.0,567015000.0,695662000.0,660314000.0,2022-12-31
-189840.0,0.21,100654000.0,-904000.0,-904000.0,-44549000.0,86874000.0,563821000.0,99750000.0,12876000.0,-53481000.0,56867000.0,5326000.0,-43834840.0,-44549000.0,743113000.0,46127000.0,7822000.0,-44549000.0,-44549000.0,-44549000.0,14000.0,-44563000.0,-44563000.0,572000.0,-43991000.0,1668000.0,3149000.0,0.0,0.0,,0.0,-577000.0,-904000.0,-53481000.0,1940000.0,56867000.0,5326000.0,7822000.0,177352000.0,-2328000.0,84934000.0,84934000.0,94746000.0,94746000.0,48619000.0,46127000.0,,185174000.0,565761000.0,750935000.0,715981000.0,2023-03-31
8779890.0,0.21,97996000.0,41809000.0,41809000.0,-4510000.0,86347000.0,563218000.0,139805000.0,53458000.0,-53493000.0,57709000.0,6115000.0,-37539110.0,-4510000.0,741281000.0,50512000.0,41165000.0,-4510000.0,-4510000.0,-4510000.0,16000.0,-4526000.0,-4526000.0,275000.0,-4251000.0,43853000.0,3197000.0,36636000.0,37156000.0,520000.0,,-1153000.0,5173000.0,-53493000.0,1899000.0,57709000.0,6115000.0,5389000.0,176164000.0,-4122000.0,84448000.0,84448000.0,95838000.0,95838000.0,42357000.0,50512000.0,2969000.0,181553000.0,565117000.0,746670000.0,712671000.0,2023-06-30
-304419.279105,0.037011,103743000.0,-8225000.0,-8225000.0,-48796000.0,87842000.0,570480000.0,95518000.0,7676000.0,-53950000.0,58363000.0,6323000.0,-40875419.279105,-48796000.0,751920000.0,53145000.0,-6338000.0,-48796000.0,-48796000.0,-48796000.0,15000.0,-48811000.0,-48811000.0,-1876000.0,-50687000.0,515000.0,10166000.0,-9086000.0,0.0,9086000.0,,-1426000.0,861000.0,-53950000.0,1910000.0,58363000.0,6323000.0,2748000.0,179530000.0,-2623000.0,85932000.0,85932000.0,96221000.0,96221000.0,40183000.0,53145000.0,2893000.0,182278000.0,572390000.0,754668000.0,719689000.0,2023-09-30
-7785330.0,0.21,103844000.0,-37073000.0,-37073000.0,-91156000.0,89345000.0,563910000.0,66771000.0,-22574000.0,-55348000.0,58783000.0,5382000.0,-61868330.0,-91156000.0,747754000.0,52626000.0,-24237000.0,-91156000.0,-91156000.0,-91156000.0,14000.0,-91170000.0,-91170000.0,9813000.0,-81357000.0,-32738000.0,5175000.0,-33087000.0,581000.0,,,-840000.0,-3986000.0,-55348000.0,1947000.0,58783000.0,5382000.0,6729000.0,181897000.0,0.0,87398000.0,87398000.0,94499000.0,94499000.0,38854000.0,52626000.0,3019000.0,188626000.0,565857000.0,754483000.0,719090000.0,2023-12-31
