treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
1997000.0,18765671.0,20762671.0,6058554000.0,9438444000.0,-4140568000.0,2490421000.0,-2075871000.0,-4140568000.0,3110100000.0,-3837923000.0,2490421000.0,-3837923000.0,-3837923000.0,-297265000.0,-297265000.0,4162767000.0,-790749000.0,1412650000.0,208000.0,208000.0,0.0,19153856000.0,10444867000.0,729008000.0,549082000.0,549082000.0,9166777000.0,2838433000.0,6328344000.0,8708989000.0,,271667000.0,271667000.0,,8437322000.0,982560000.0,,7454762000.0,108781000.0,108781000.0,7345981000.0,15315933000.0,8682815000.0,210032000.0,53444000.0,53444000.0,302645000.0,302645000.0,8116694000.0,-4376950000.0,12493644000.0,,,12493644000.0,,,,6633118000.0,253840000.0,5607690000.0,5607690000.0,501798000.0,501798000.0,,,269790000.0,269790000.0,2022-11-30
,18397705.0,18397705.0,6741016000.0,10171798000.0,-4486815000.0,2858132000.0,-1819813000.0,-4486815000.0,3129496000.0,-4184170000.0,2858132000.0,-4184170000.0,-4184170000.0,-269312000.0,-269312000.0,767462000.0,-4471842000.0,1324258000.0,188000.0,188000.0,0.0,19729312000.0,11114694000.0,682063000.0,536102000.0,536102000.0,9896529000.0,2854227000.0,7042302000.0,8614618000.0,,275269000.0,275269000.0,,8339349000.0,933735000.0,,7405614000.0,84063000.0,84063000.0,7321551000.0,15545142000.0,8750337000.0,207905000.0,59814000.0,59814000.0,302645000.0,302645000.0,8179973000.0,-4487726000.0,12667699000.0,,,12667699000.0,,,,6794805000.0,277497000.0,5731255000.0,5731255000.0,484767000.0,484767000.0,,,301286000.0,301286000.0,2023-02-28
675000.0,18225000.0,18900000.0,7065568000.0,10484600000.0,-4604222000.0,3038907000.0,-1756075000.0,-4604222000.0,3144116000.0,-4301577000.0,3038907000.0,-4301577000.0,-4301577000.0,-227475000.0,-227475000.0,1675687000.0,-3824119000.0,1425515000.0,189000.0,189000.0,0.0,19899499000.0,11434552000.0,693652000.0,538264000.0,538264000.0,10202636000.0,2862152000.0,7340484000.0,8464947000.0,,281964000.0,281964000.0,,8182983000.0,906415000.0,,7276568000.0,61002000.0,61002000.0,7215566000.0,15597922000.0,8889050000.0,230851000.0,62043000.0,62043000.0,302645000.0,302645000.0,8293511000.0,-4603277000.0,12896788000.0,,,12896788000.0,,,,6708872000.0,259259000.0,5703688000.0,5703688000.0,471009000.0,471009000.0,,,274916000.0,274916000.0,2023-04-30
,18155969.0,18155969.0,7065568000.0,10484600000.0,-4604222000.0,3038907000.0,-1756075000.0,-4604222000.0,3144116000.0,-4301577000.0,3038907000.0,-4301577000.0,-4301577000.0,-227475000.0,-227475000.0,1675687000.0,-3824119000.0,1425515000.0,189000.0,189000.0,0.0,19899499000.0,11434552000.0,693652000.0,538264000.0,538264000.0,10202636000.0,2862152000.0,7340484000.0,8464947000.0,,281964000.0,281964000.0,,8182983000.0,906415000.0,,7276568000.0,61002000.0,61002000.0,7215566000.0,15597922000.0,8889050000.0,230851000.0,62043000.0,62043000.0,302645000.0,302645000.0,8293511000.0,-4603277000.0,12896788000.0,,,12896788000.0,,,,6708872000.0,259259000.0,5703688000.0,5703688000.0,471009000.0,471009000.0,,,274916000.0,274916000.0,2023-05-31
1079000.0,17857000.0,18936000.0,7391495000.0,10929767000.0,-4652539000.0,3318655000.0,-1732430000.0,-4652539000.0,3261218000.0,-4349894000.0,3318655000.0,-4349894000.0,-4349894000.0,-190836000.0,-190836000.0,2684961000.0,-2959278000.0,1484992000.0,189000.0,189000.0,0.0,20335772000.0,11823916000.0,702043000.0,536278000.0,536278000.0,10585595000.0,2917046000.0,7668549000.0,8511856000.0,120089000.0,344172000.0,344172000.0,343379000.0,7704216000.0,284726000.0,54493000.0,7419490000.0,218209000.0,52478000.0,7201281000.0,15985878000.0,9206452000.0,223160000.0,86002000.0,86002000.0,302645000.0,302645000.0,8594645000.0,-4741342000.0,13335987000.0,831508000.0,305896000.0,5970976000.0,4860216000.0,1367391000.0,0.0,6779426000.0,217844000.0,5764143000.0,5764143000.0,520385000.0,520385000.0,-7700000.0,528085000.0,277054000.0,277054000.0,2023-08-31
1658000.0,17291904.0,18949904.0,8300542000.0,11783104000.0,-5516316000.0,3369852000.0,-1828821000.0,-5516316000.0,3199581000.0,-5213671000.0,3369852000.0,-5213671000.0,-5213671000.0,-210359000.0,-210359000.0,4186197000.0,-2365815000.0,1548510000.0,190000.0,190000.0,0.0,21506241000.0,12720619000.0,691897000.0,534472000.0,534472000.0,11494250000.0,2910727000.0,8583523000.0,8785622000.0,,288854000.0,288854000.0,,8496768000.0,1202508000.0,,7294260000.0,111312000.0,111312000.0,7182948000.0,16292570000.0,9335769000.0,237208000.0,84087000.0,84087000.0,302645000.0,302645000.0,8711829000.0,-4837035000.0,13548864000.0,,,13548864000.0,,,,6956801000.0,387446000.0,5774467000.0,5774467000.0,511907000.0,511907000.0,,,282981000.0,282981000.0,2023-11-30
39000.0,17302899.0,17341899.0,8326457000.0,11828698000.0,-5139966000.0,3793232000.0,-1615553000.0,-5139966000.0,3198145000.0,-4837321000.0,3793232000.0,-4837321000.0,-4837321000.0,-204899000.0,-204899000.0,139469000.0,-5978916000.0,1485789000.0,174000.0,174000.0,0.0,21554975000.0,12782366000.0,710266000.0,539911000.0,539911000.0,11532189000.0,2901636000.0,8630553000.0,8772609000.0,,296509000.0,296509000.0,,8476100000.0,1214996000.0,,7261104000.0,111222000.0,111222000.0,7149882000.0,16717654000.0,9560598000.0,266475000.0,84700000.0,84700000.0,302645000.0,302645000.0,8906778000.0,-4940456000.0,13847234000.0,,,13847234000.0,,,,7157056000.0,381668000.0,5970175000.0,5970175000.0,501117000.0,501117000.0,,,304096000.0,304096000.0,2024-02-29
