treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,employee_benefits,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_accounts_receivable,investments_and_advances,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,restricted_cash,prepaid_assets,receivables,other_receivables,taxes_receivable,accrued_interest_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,149654000.0,149654000.0,,750931000.0,763560000.0,804906000.0,750931000.0,,763560000.0,763560000.0,814691000.0,51131000.0,763560000.0,-2874000.0,,-686915000.0,1453349000.0,0.0,0.0,0.0,305550000.0,41071000.0,7779000.0,2581000.0,,737000.0,29974000.0,28946000.0,1028000.0,,,264479000.0,53000.0,220244000.0,220244000.0,,,21122000.0,23060000.0,13456000.0,9604000.0,,3371000.0,1646000.0,6233000.0,1120241000.0,50856000.0,759000.0,2956000.0,15328000.0,,13624000.0,13624000.0,12629000.0,4484000.0,8145000.0,5560000.0,-2723000.0,8283000.0,709000.0,259000.0,7315000.0,0.0,1069385000.0,819000.0,23599000.0,2500000.0,15650000.0,99065000.0,,,1485000.0,97580000.0,-950000.0,98530000.0,927752000.0,555583000.0,372169000.0,92172000.0,279997000.0,2022-10-31
,151144000.0,151144000.0,1129000.0,758974000.0,771020000.0,811666000.0,758974000.0,1129000.0,771020000.0,771020000.0,824725000.0,53705000.0,771020000.0,-705000.0,-705000.0,-725648000.0,1497373000.0,0.0,0.0,0.0,344475000.0,38179000.0,3611000.0,1800000.0,2504000.0,647000.0,29204000.0,28355000.0,849000.0,413000.0,413000.0,306296000.0,263000.0,257847000.0,257847000.0,716000.0,716000.0,11479000.0,35991000.0,13186000.0,22805000.0,9251000.0,8370000.0,859000.0,5184000.0,1169200000.0,51238000.0,321000.0,3172000.0,16222000.0,,12682000.0,12682000.0,12046000.0,3901000.0,8145000.0,6795000.0,-3992000.0,10787000.0,1208000.0,998000.0,8581000.0,0.0,1117962000.0,1746000.0,26505000.0,2500000.0,16239000.0,134321000.0,1532000.0,,2310000.0,130479000.0,-1564000.0,132043000.0,936651000.0,641249000.0,295402000.0,63070000.0,232332000.0,2023-01-31
,152693000.0,152693000.0,1442000.0,754023000.0,765489000.0,804167000.0,754023000.0,1442000.0,765489000.0,765489000.0,815601000.0,50112000.0,765489000.0,1003000.0,,-778117000.0,1542603000.0,0.0,0.0,0.0,348507000.0,37454000.0,3637000.0,1183000.0,2531000.0,664000.0,28908000.0,28043000.0,865000.0,531000.0,531000.0,311053000.0,,265782000.0,265782000.0,911000.0,911000.0,22666000.0,21694000.0,14490000.0,7204000.0,,4175000.0,2015000.0,3029000.0,1164108000.0,48888000.0,672000.0,3284000.0,15495000.0,,11735000.0,11735000.0,11466000.0,3321000.0,8145000.0,6236000.0,-5084000.0,11320000.0,1181000.0,1300000.0,8839000.0,0.0,1115220000.0,2095000.0,25093000.0,2500000.0,17095000.0,130798000.0,2139000.0,,2580000.0,126079000.0,-593000.0,126672000.0,937639000.0,621706000.0,315933000.0,90139000.0,225794000.0,2023-04-30
,154610000.0,154610000.0,755000.0,772738000.0,783657000.0,822025000.0,772738000.0,755000.0,783657000.0,783657000.0,831240000.0,47583000.0,783657000.0,1782000.0,,-828197000.0,1610072000.0,0.0,0.0,0.0,357829000.0,36634000.0,3665000.0,835000.0,2586000.0,2792000.0,26618000.0,25860000.0,758000.0,138000.0,138000.0,321195000.0,890000.0,272354000.0,272354000.0,617000.0,617000.0,25680000.0,21654000.0,11547000.0,10107000.0,,5942000.0,3455000.0,4165000.0,1189069000.0,45849000.0,62000.0,3377000.0,15138000.0,1026000.0,10574000.0,10574000.0,10919000.0,2774000.0,8145000.0,4753000.0,-6208000.0,10961000.0,1148000.0,673000.0,9140000.0,0.0,1143220000.0,2650000.0,25069000.0,0.0,18017000.0,111201000.0,2473000.0,,2913000.0,105815000.0,-180000.0,105995000.0,986283000.0,713058000.0,273225000.0,147029000.0,126196000.0,2023-07-31
0.0,155696000.0,155696000.0,576000.0,536168000.0,546567000.0,596414000.0,536168000.0,576000.0,546567000.0,546567000.0,593182000.0,46615000.0,546567000.0,1547000.0,,-1113355000.0,1658375000.0,0.0,0.0,0.0,633714000.0,47792000.0,3693000.0,623000.0,2565000.0,727000.0,40130000.0,23016000.0,17114000.0,54000.0,54000.0,585922000.0,,287647000.0,287647000.0,522000.0,522000.0,12841000.0,284912000.0,10925000.0,273987000.0,12350000.0,256614000.0,249247000.0,5023000.0,1226896000.0,44560000.0,59000.0,3317000.0,15426000.0,1502000.0,9634000.0,9634000.0,10399000.0,2254000.0,8145000.0,4223000.0,-7237000.0,11460000.0,1137000.0,533000.0,9790000.0,0.0,1182336000.0,1180000.0,27196000.0,0.0,21353000.0,142973000.0,1001000.0,2853000.0,3505000.0,135614000.0,-403000.0,136017000.0,989634000.0,704325000.0,285309000.0,199200000.0,86109000.0,2023-10-31
0.0,157557000.0,157557000.0,410000.0,561296000.0,571174000.0,618844000.0,561296000.0,410000.0,571174000.0,571174000.0,617934000.0,46760000.0,571174000.0,2335000.0,,-1149822000.0,1718661000.0,0.0,0.0,0.0,699927000.0,37854000.0,112000.0,420000.0,2197000.0,771000.0,34354000.0,23794000.0,10560000.0,0.0,0.0,662073000.0,,341367000.0,341367000.0,410000.0,410000.0,2827000.0,317469000.0,28029000.0,289440000.0,13581000.0,274121000.0,260887000.0,1738000.0,1317861000.0,36944000.0,559000.0,3495000.0,19653000.0,,0.0,0.0,9878000.0,1733000.0,8145000.0,3359000.0,-7382000.0,10741000.0,1154000.0,405000.0,9182000.0,0.0,1280917000.0,1075000.0,32300000.0,0.0,29997000.0,181260000.0,3910000.0,6460000.0,4159000.0,166731000.0,-673000.0,167404000.0,1036285000.0,748289000.0,287996000.0,207043000.0,80953000.0,2024-01-31
