tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,write_off,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-46809045.226131,0.169598,2916000000.0,-276000000.0,-276000000.0,-664000000.0,3287000000.0,8542000000.0,2640000000.0,-647000000.0,150000000.0,149000000.0,274000000.0,-434809045.226131,-664000000.0,14712000000.0,-1132000000.0,4133000000.0,4133000000.0,-0.16,-0.16,-664000000.0,-664000000.0,-664000000.0,,-661000000.0,-661000000.0,-135000000.0,-796000000.0,-276000000.0,-540000000.0,12000000.0,140000000.0,388000000.0,264000000.0,150000000.0,-25000000.0,149000000.0,274000000.0,-670000000.0,6170000000.0,4464000000.0,1706000000.0,5500000000.0,8542000000.0,14042000000.0,14042000000.0,2022-12-31
22050000.0,0.21,1296000000.0,105000000.0,105000000.0,-2758000000.0,2366000000.0,7707000000.0,1401000000.0,-965000000.0,141000000.0,193000000.0,334000000.0,-2840950000.0,-2758000000.0,13119000000.0,-1468000000.0,4154000000.0,4154000000.0,-0.66,-0.66,-2758000000.0,-2758000000.0,-2758000000.0,10000000.0,-2768000000.0,-2768000000.0,1610000000.0,-1158000000.0,105000000.0,-100000000.0,77000000.0,62000000.0,-39000000.0,205000000.0,141000000.0,,193000000.0,334000000.0,-1404000000.0,5412000000.0,4109000000.0,1303000000.0,4008000000.0,7707000000.0,11715000000.0,11715000000.0,2023-03-31
-47040000.0,0.21,1898000000.0,-224000000.0,-224000000.0,1481000000.0,2276000000.0,8311000000.0,1674000000.0,-602000000.0,224000000.0,214000000.0,313000000.0,1657960000.0,1481000000.0,13765000000.0,-1016000000.0,4196000000.0,4182000000.0,0.35,0.35,1481000000.0,1481000000.0,1481000000.0,8000000.0,1473000000.0,1473000000.0,-2289000000.0,-816000000.0,-224000000.0,-101000000.0,20000000.0,-90000000.0,171000000.0,-123000000.0,224000000.0,-125000000.0,214000000.0,313000000.0,-816000000.0,5454000000.0,4080000000.0,1374000000.0,4638000000.0,8311000000.0,12949000000.0,12949000000.0,2023-06-30
-211470000.0,0.21,3606000000.0,-1007000000.0,-1007000000.0,297000000.0,2447000000.0,8140000000.0,2599000000.0,152000000.0,147000000.0,204000000.0,332000000.0,1092530000.0,297000000.0,13350000000.0,-8000000.0,4229000000.0,4202000000.0,0.07,0.07,297000000.0,297000000.0,297000000.0,-13000000.0,310000000.0,310000000.0,-362000000.0,-52000000.0,-1007000000.0,-869000000.0,757000000.0,53000000.0,59000000.0,-138000000.0,147000000.0,-19000000.0,204000000.0,332000000.0,808000000.0,5210000000.0,3870000000.0,1340000000.0,6018000000.0,8140000000.0,14158000000.0,14158000000.0,2023-09-30
56378766.140603,0.045911,4340000000.0,1228000000.0,1228000000.0,2669000000.0,2513000000.0,8359000000.0,5568000000.0,3055000000.0,117000000.0,267000000.0,356000000.0,1497378766.140603,2669000000.0,13963000000.0,2585000000.0,4260000000.0,4222000000.0,0.63,0.63,2669000000.0,2669000000.0,2669000000.0,9000000.0,2660000000.0,2660000000.0,128000000.0,2788000000.0,1228000000.0,1055000000.0,-1183000000.0,97000000.0,31000000.0,173000000.0,117000000.0,-28000000.0,267000000.0,356000000.0,1443000000.0,5604000000.0,3987000000.0,1617000000.0,7047000000.0,8359000000.0,15406000000.0,15406000000.0,2023-12-31
