tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_taxes,selling_general_and_administration,general_and_administrative_expense,insurance_and_claims,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-92969870.875179,0.172166,-82000000.0,-540000000.0,-540000000.0,-577000000.0,43000000.0,-1605000000.0,-622000000.0,-665000000.0,-32000000.0,32000000.0,-129969870.875179,-94000000.0,-1893000000.0,-663000000.0,115000000.0,115000000.0,-0.81,-0.81,-94000000.0,-94000000.0,-94000000.0,-94000000.0,483000000.0,-577000000.0,-120000000.0,-697000000.0,-529000000.0,11000000.0,-540000000.0,,13000000.0,29000000.0,-32000000.0,32000000.0,-136000000.0,-288000000.0,,-288000000.0,,,-424000000.0,-1605000000.0,-2029000000.0,-2029000000.0,2022-12-31
-7869000.0,0.183,207000000.0,-43000000.0,-43000000.0,17000000.0,101000000.0,1747000000.0,164000000.0,63000000.0,-42000000.0,42000000.0,52131000.0,14000000.0,1806000000.0,58000000.0,116000000.0,116000000.0,0.13,0.13,14000000.0,14000000.0,14000000.0,14000000.0,-3000000.0,17000000.0,4000000.0,21000000.0,-38000000.0,5000000.0,-43000000.0,3000000.0,,46000000.0,-42000000.0,42000000.0,101000000.0,59000000.0,15000000.0,44000000.0,44000000.0,44000000.0,160000000.0,1747000000.0,1907000000.0,1907000000.0,2023-03-31
-13824000.0,0.288,242000000.0,-48000000.0,-48000000.0,31000000.0,107000000.0,1724000000.0,194000000.0,87000000.0,-43000000.0,43000000.0,65176000.0,33000000.0,1785000000.0,107000000.0,118000000.0,116000000.0,0.28,0.28,33000000.0,33000000.0,33000000.0,33000000.0,2000000.0,31000000.0,13000000.0,44000000.0,-45000000.0,3000000.0,-48000000.0,2000000.0,23000000.0,27000000.0,-43000000.0,43000000.0,132000000.0,61000000.0,15000000.0,46000000.0,46000000.0,46000000.0,193000000.0,1724000000.0,1917000000.0,1917000000.0,2023-06-30
-2700000.0,0.27,278000000.0,-10000000.0,-10000000.0,86000000.0,110000000.0,1762000000.0,268000000.0,158000000.0,-41000000.0,41000000.0,93300000.0,84000000.0,1816000000.0,154000000.0,119000000.0,116000000.0,0.71,0.73,84000000.0,84000000.0,84000000.0,84000000.0,-2000000.0,86000000.0,31000000.0,117000000.0,-6000000.0,4000000.0,-10000000.0,-1000000.0,,9000000.0,-41000000.0,41000000.0,164000000.0,54000000.0,15000000.0,39000000.0,39000000.0,39000000.0,218000000.0,1762000000.0,1980000000.0,1980000000.0,2023-09-30
-7435897.435897,0.25641,263000000.0,-29000000.0,-29000000.0,58000000.0,114000000.0,1741000000.0,234000000.0,120000000.0,-42000000.0,42000000.0,79564102.564103,58000000.0,1794000000.0,119000000.0,120000000.0,116000000.0,0.49,0.5,58000000.0,58000000.0,58000000.0,58000000.0,0.0,58000000.0,20000000.0,78000000.0,-26000000.0,3000000.0,-29000000.0,1000000.0,10000000.0,20000000.0,-42000000.0,42000000.0,146000000.0,53000000.0,15000000.0,38000000.0,38000000.0,38000000.0,199000000.0,1741000000.0,1940000000.0,1940000000.0,2023-12-31
