tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2269090.909091,0.174545,773000000.0,-13000000.0,-13000000.0,227000000.0,357000000.0,2407000000.0,760000000.0,403000000.0,-122000000.0,128000000.0,6000000.0,237730909.090909,227000000.0,3347000000.0,379000000.0,188600000.0,185700000.0,1.2,1.22,227000000.0,227000000.0,227000000.0,0.0,227000000.0,227000000.0,0.0,48000000.0,275000000.0,5000000.0,18000000.0,-13000000.0,13000000.0,-122000000.0,128000000.0,6000000.0,392000000.0,940000000.0,357000000.0,357000000.0,583000000.0,1332000000.0,2407000000.0,3739000000.0,3739000000.0,2022-12-31
-3332000.0,0.196,773000000.0,-17000000.0,-17000000.0,289000000.0,253000000.0,2398000000.0,756000000.0,503000000.0,-135000000.0,141000000.0,6000000.0,302668000.0,289000000.0,3164000000.0,471000000.0,188600000.0,185800000.0,1.53,1.56,289000000.0,289000000.0,289000000.0,,289000000.0,289000000.0,-2000000.0,71000000.0,362000000.0,9000000.0,26000000.0,-17000000.0,17000000.0,-135000000.0,141000000.0,6000000.0,488000000.0,766000000.0,253000000.0,253000000.0,513000000.0,1254000000.0,2398000000.0,3652000000.0,3652000000.0,2023-03-31
-4320000.0,0.216,823000000.0,-20000000.0,-20000000.0,297000000.0,259000000.0,2443000000.0,803000000.0,544000000.0,-165000000.0,169000000.0,4000000.0,312680000.0,297000000.0,3184000000.0,524000000.0,186700000.0,184400000.0,1.59,1.61,297000000.0,297000000.0,297000000.0,,297000000.0,297000000.0,3000000.0,81000000.0,375000000.0,-4000000.0,16000000.0,-20000000.0,20000000.0,-165000000.0,169000000.0,4000000.0,544000000.0,741000000.0,259000000.0,259000000.0,482000000.0,1285000000.0,2443000000.0,3728000000.0,3728000000.0,2023-06-30
-4380000.0,0.146,857000000.0,-30000000.0,-30000000.0,303000000.0,297000000.0,2426000000.0,827000000.0,530000000.0,-167000000.0,181000000.0,14000000.0,328620000.0,303000000.0,3225000000.0,481000000.0,185500000.0,182900000.0,1.63,1.66,303000000.0,303000000.0,303000000.0,,303000000.0,303000000.0,5000000.0,51000000.0,349000000.0,5000000.0,35000000.0,-30000000.0,30000000.0,-167000000.0,181000000.0,14000000.0,511000000.0,799000000.0,297000000.0,297000000.0,502000000.0,1310000000.0,2426000000.0,3736000000.0,3736000000.0,2023-09-30
-4830000.0,0.21,893000000.0,-23000000.0,-23000000.0,469000000.0,316000000.0,2478000000.0,870000000.0,554000000.0,-169000000.0,181000000.0,12000000.0,487170000.0,469000000.0,3350000000.0,501000000.0,,,,,469000000.0,469000000.0,469000000.0,,469000000.0,469000000.0,-6000000.0,-102000000.0,373000000.0,24000000.0,47000000.0,-23000000.0,17000000.0,-169000000.0,181000000.0,12000000.0,518000000.0,872000000.0,316000000.0,316000000.0,556000000.0,1390000000.0,2478000000.0,3868000000.0,3868000000.0,2023-12-31
