tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,-69817000.0,-84841000.0,7492000.0,93652000.0,-69817000.0,-77309000.0,4435000.0,2497000.0,6932000.0,-84841000.0,-84841000.0,416544000.0,-82923000.0,68916813.0,68916813.0,-1.23,-1.23,-84841000.0,-84841000.0,-84841000.0,-84841000.0,-84841000.0,5035000.0,-79806000.0,-1318000.0,-1318000.0,4435000.0,2497000.0,6932000.0,-82923000.0,322892000.0,106392000.0,216500000.0,177419000.0,39081000.0,39081000.0,,239969000.0,93652000.0,333621000.0,333621000.0,2022-10-31
0.0,0.21,-51566000.0,-64398000.0,7500000.0,89160000.0,-51566000.0,-59066000.0,13294000.0,2418000.0,15712000.0,-64398000.0,-64398000.0,434261000.0,-72949000.0,69525238.0,69525238.0,-0.93,-0.93,-64398000.0,-64398000.0,-64398000.0,-64398000.0,-64398000.0,2914000.0,-61484000.0,-1829000.0,-1829000.0,13294000.0,2418000.0,15712000.0,-72949000.0,345101000.0,110891000.0,234210000.0,189916000.0,44294000.0,44294000.0,,272152000.0,89160000.0,361312000.0,361312000.0,2023-01-31
0.0,0.21,-41774000.0,-54246000.0,7592000.0,97449000.0,-41774000.0,-49366000.0,15644000.0,2393000.0,18037000.0,-54246000.0,-54246000.0,436827000.0,-68547000.0,70177499.0,70177499.0,-0.77,-0.77,-54246000.0,-54246000.0,-54246000.0,-54246000.0,-54246000.0,2487000.0,-51759000.0,1144000.0,1144000.0,15644000.0,2393000.0,18037000.0,-68547000.0,339378000.0,116817000.0,222561000.0,182733000.0,39828000.0,39828000.0,,270831000.0,97449000.0,368280000.0,368280000.0,2023-04-30
0.0,0.21,-23978000.0,-37597000.0,7420000.0,105337000.0,-23978000.0,-31398000.0,16859000.0,2611000.0,19470000.0,-37597000.0,-37597000.0,472794000.0,-49003000.0,70874117.0,70874117.0,-0.53,-0.53,-37597000.0,-37597000.0,-37597000.0,-37597000.0,-37597000.0,3588000.0,-34009000.0,-1865000.0,-1865000.0,16859000.0,2611000.0,19470000.0,-49003000.0,367457000.0,125420000.0,242037000.0,195934000.0,46103000.0,46103000.0,55482000.0,318454000.0,105337000.0,423791000.0,423791000.0,2023-07-31
0.0,0.21,-15691000.0,-29297000.0,8007000.0,107058000.0,-15691000.0,-23698000.0,18394000.0,1964000.0,20358000.0,-29297000.0,-29297000.0,478154000.0,-45216000.0,71560023.0,71560023.0,-0.41,-0.41,-29297000.0,-29297000.0,-29297000.0,-29297000.0,-29297000.0,3635000.0,-25662000.0,1160000.0,1160000.0,18394000.0,1964000.0,20358000.0,-45216000.0,371096000.0,128150000.0,242946000.0,192977000.0,49969000.0,49969000.0,,325880000.0,107058000.0,432938000.0,432938000.0,2023-10-31
0.0,0.4,-40561000.0,-55460000.0,9106000.0,114641000.0,-40561000.0,-49667000.0,19954000.0,2419000.0,22373000.0,-55460000.0,-55460000.0,528968000.0,-70966000.0,,,,,-55460000.0,-55460000.0,-55460000.0,-55460000.0,-55460000.0,3374000.0,-52086000.0,-1074000.0,-1074000.0,19954000.0,2419000.0,22373000.0,-70966000.0,414327000.0,145553000.0,268774000.0,211116000.0,57658000.0,57658000.0,,343361000.0,114641000.0,458002000.0,458002000.0,2024-01-31
