tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.263,324000000.0,103100000.0,52200000.0,894900000.0,324000000.0,271800000.0,-24600000.0,24600000.0,103100000.0,103100000.0,1004700000.0,271800000.0,144600000.0,144000000.0,0.71,0.72,103100000.0,103100000.0,103100000.0,103100000.0,103100000.0,-107300000.0,36800000.0,247200000.0,-24600000.0,24600000.0,271800000.0,109800000.0,109800000.0,381600000.0,894900000.0,1276500000.0,1276500000.0,2022-11-30
0.0,0.194,317600000.0,175100000.0,51300000.0,855800000.0,317600000.0,266300000.0,-25800000.0,25800000.0,175100000.0,175100000.0,987300000.0,266300000.0,144800000.0,144000000.0,1.21,1.22,175100000.0,175100000.0,175100000.0,175100000.0,175100000.0,-23300000.0,42100000.0,240500000.0,-25800000.0,25800000.0,266300000.0,131500000.0,131500000.0,397800000.0,855800000.0,1253600000.0,1253600000.0,2023-02-28
0.0,0.21,256500000.0,498800000.0,69500000.0,1315500000.0,256500000.0,187000000.0,-32800000.0,32800000.0,498800000.0,498800000.0,1507900000.0,187000000.0,,,,,498800000.0,498800000.0,498800000.0,498800000.0,498800000.0,416600000.0,72000000.0,154200000.0,-32800000.0,32800000.0,187000000.0,192400000.0,192400000.0,379400000.0,1315500000.0,1694900000.0,1694900000.0,2023-05-31
0.0,0.229,393400000.0,234800000.0,70100000.0,1165800000.0,393400000.0,323300000.0,-30700000.0,30700000.0,234800000.0,234800000.0,1342000000.0,323300000.0,146600000.0,145700000.0,1.6,1.61,234800000.0,234800000.0,234800000.0,234800000.0,234800000.0,12100000.0,69900000.0,292600000.0,-30700000.0,30700000.0,323300000.0,176200000.0,176200000.0,499500000.0,1165800000.0,1665300000.0,1665300000.0,2023-08-31
0.0,0.235,376200000.0,215000000.0,70600000.0,1256500000.0,376200000.0,305600000.0,-29100000.0,29100000.0,215000000.0,215000000.0,1426500000.0,305600000.0,145500000.0,144900000.0,1.48,1.48,215000000.0,215000000.0,215000000.0,215000000.0,215000000.0,4700000.0,66200000.0,276500000.0,-29100000.0,29100000.0,305600000.0,170000000.0,170000000.0,475600000.0,1256500000.0,1732100000.0,1732100000.0,2023-11-30
0.0,0.229012,303200000.0,146100000.0,79300000.0,1054600000.0,303200000.0,223900000.0,-35700000.0,35700000.0,146100000.0,146100000.0,1234400000.0,223900000.0,145300000.0,144500000.0,1.01,1.01,146100000.0,146100000.0,146100000.0,146100000.0,146100000.0,1000000.0,43100000.0,188200000.0,-35700000.0,35700000.0,223900000.0,179800000.0,179800000.0,403700000.0,1054600000.0,1458300000.0,1458300000.0,2024-02-29
