tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-8302346.804965,0.165871,502147000.0,-50053000.0,-50053000.0,221231000.0,106722000.0,15188238000.0,452094000.0,345372000.0,-80148000.0,80148000.0,262981653.195035,221231000.0,15863742000.0,334162000.0,95102000.0,94839000.0,2.31,2.31,219549000.0,4000.0,219545000.0,1686000.0,221231000.0,221231000.0,221231000.0,43993000.0,265224000.0,-38843000.0,11210000.0,-50053000.0,50053000.0,-80148000.0,,80148000.0,384215000.0,675504000.0,675504000.0,1059719000.0,15188238000.0,16247957000.0,16247957000.0,2022-11-30
-11935642.4,0.2332,453866000.0,-51182000.0,-51182000.0,167020000.0,104678000.0,14121804000.0,402684000.0,298006000.0,-80200000.0,80200000.0,206266357.6,167020000.0,14776027000.0,298162000.0,94539000.0,94259000.0,1.75,1.76,165722000.0,3000.0,165719000.0,1301000.0,167020000.0,167020000.0,167020000.0,50786000.0,217806000.0,-51338000.0,-156000.0,-51182000.0,51182000.0,-80200000.0,80200000.0,80200000.0,349344000.0,654223000.0,654223000.0,1003567000.0,14121804000.0,15125371000.0,15125371000.0,2023-02-28
-8729769.786853,0.237035,390502000.0,-36829000.0,-36829000.0,133087000.0,104954000.0,13098714000.0,353673000.0,248719000.0,-74285000.0,74285000.0,161186230.213147,133087000.0,13772412000.0,252883000.0,93643000.0,93385000.0,1.41,1.41,132089000.0,2000.0,132087000.0,1000000.0,133087000.0,133087000.0,133087000.0,41347000.0,174434000.0,-40993000.0,-4164000.0,-36829000.0,36829000.0,-74285000.0,,74285000.0,289712000.0,673698000.0,673698000.0,963410000.0,13098714000.0,14062124000.0,14062124000.0,2023-05-31
-13000017.6,0.1816,414733000.0,-71586000.0,-71586000.0,139262000.0,105285000.0,12989342000.0,343147000.0,237862000.0,-67703000.0,67703000.0,197847982.4,139262000.0,13648796000.0,240233000.0,92881000.0,92590000.0,1.49,1.49,138263000.0,3000.0,138260000.0,1002000.0,139262000.0,139262000.0,139262000.0,30897000.0,170159000.0,-73957000.0,-2371000.0,-71586000.0,71586000.0,-67703000.0,,67703000.0,311819000.0,659454000.0,659454000.0,971273000.0,12989342000.0,13960615000.0,13960615000.0,2023-08-31
,,,,,,,,,,,,,,,,90371000.0,90077000.0,2.06,2.06,,,,,,,,,,,,,,,,,,,,,,,,2023-11-30
-7307754.1,0.2309,431956000.0,-31649000.0,-31649000.0,172128000.0,100619000.0,12969487000.0,400307000.0,299688000.0,-75891000.0,75891000.0,196469245.9,172128000.0,13641032000.0,302572000.0,88203000.0,87891000.0,1.93,1.94,170628000.0,4000.0,170624000.0,1504000.0,172128000.0,172128000.0,172128000.0,51669000.0,223797000.0,-34533000.0,-2884000.0,-31649000.0,31649000.0,-75891000.0,,75891000.0,334221000.0,671545000.0,671545000.0,1005766000.0,12969487000.0,13975253000.0,13975253000.0,2024-02-29
