tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-535714.285714,0.002551,-264000000.0,-210000000.0,-210000000.0,-386000000.0,40000000.0,388000000.0,-474000000.0,-514000000.0,52000000.0,-122000000.0,,-176535714.285714,-386000000.0,728000000.0,-255000000.0,3837981000.0,3837981000.0,-0.1,-0.1,-386000000.0,-386000000.0,-386000000.0,5000000.0,-391000000.0,-391000000.0,-1000000.0,-392000000.0,-218000000.0,-7000000.0,-22000000.0,19000000.0,,-1000000.0,,52000000.0,-122000000.0,,-226000000.0,340000000.0,,110000000.0,237000000.0,71000000.0,166000000.0,166000000.0,114000000.0,388000000.0,502000000.0,502000000.0,2022-12-31
-8500000.0,0.17,-108000000.0,-50000000.0,-50000000.0,-244000000.0,35000000.0,372000000.0,-158000000.0,-193000000.0,3000000.0,46000000.0,49000000.0,-202500000.0,-244000000.0,716000000.0,-204000000.0,3853731000.0,3853731000.0,-0.06,-0.06,-244000000.0,-244000000.0,-244000000.0,6000000.0,-250000000.0,-250000000.0,11000000.0,-239000000.0,-51000000.0,,-13000000.0,13000000.0,,-1000000.0,-37000000.0,3000000.0,46000000.0,49000000.0,-191000000.0,344000000.0,-2000000.0,129000000.0,217000000.0,70000000.0,147000000.0,147000000.0,153000000.0,372000000.0,525000000.0,525000000.0,2023-03-31
-2614379.084967,0.03268,-19000000.0,-80000000.0,-80000000.0,-135000000.0,36000000.0,376000000.0,-99000000.0,-135000000.0,35000000.0,18000000.0,53000000.0,-57614379.084967,-135000000.0,673000000.0,-176000000.0,3900066000.0,3900066000.0,-0.03,-0.03,-135000000.0,-135000000.0,-135000000.0,13000000.0,-148000000.0,-148000000.0,-5000000.0,-153000000.0,-82000000.0,,-70000000.0,20000000.0,50000000.0,-2000000.0,-10000000.0,35000000.0,18000000.0,53000000.0,-106000000.0,297000000.0,6000000.0,91000000.0,200000000.0,63000000.0,137000000.0,137000000.0,191000000.0,376000000.0,567000000.0,567000000.0,2023-06-30
-6970000.0,0.17,13000000.0,-41000000.0,-41000000.0,-99000000.0,37000000.0,375000000.0,-28000000.0,-65000000.0,36000000.0,18000000.0,54000000.0,-64970000.0,-99000000.0,681000000.0,-93000000.0,3907945000.0,3907945000.0,-0.02,-0.02,-99000000.0,-99000000.0,-99000000.0,,-99000000.0,-99000000.0,16000000.0,-83000000.0,-53000000.0,-8000000.0,-19000000.0,18000000.0,1000000.0,-4000000.0,-22000000.0,36000000.0,18000000.0,54000000.0,-66000000.0,306000000.0,,99000000.0,207000000.0,76000000.0,131000000.0,131000000.0,240000000.0,375000000.0,615000000.0,615000000.0,2023-09-30
850000.0,0.17,58000000.0,5000000.0,5000000.0,62000000.0,37000000.0,377000000.0,63000000.0,26000000.0,23000000.0,18000000.0,41000000.0,57850000.0,62000000.0,681000000.0,-45000000.0,,,,,62000000.0,62000000.0,62000000.0,,11000000.0,11000000.0,-3000000.0,8000000.0,13000000.0,8000000.0,-25000000.0,21000000.0,4000000.0,0.0,30000000.0,23000000.0,18000000.0,41000000.0,-28000000.0,304000000.0,,102000000.0,219000000.0,84000000.0,135000000.0,135000000.0,276000000.0,377000000.0,653000000.0,653000000.0,2023-12-31
