tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.209821,209400000.0,0.0,0.0,122900000.0,40900000.0,852800000.0,209400000.0,168500000.0,-11700000.0,11700000.0,122900000.0,104600000.0,1047600000.0,172000000.0,54000000.0,53600000.0,2.27,2.29,105700000.0,105700000.0,,104600000.0,-1000000.0,105600000.0,-18300000.0,123900000.0,32900000.0,156800000.0,-3500000.0,-3500000.0,0.0,0.0,-11700000.0,11700000.0,172000000.0,194800000.0,194800000.0,366800000.0,852800000.0,1219600000.0,1219600000.0,2022-12-31
0.0,0.22,280300000.0,,,181900000.0,35600000.0,837100000.0,280300000.0,244700000.0,-9700000.0,9700000.0,181900000.0,181900000.0,1036600000.0,248800000.0,53900000.0,53600000.0,3.37,3.39,181900000.0,181900000.0,,181900000.0,-1500000.0,183400000.0,0.0,183400000.0,51600000.0,235000000.0,-4100000.0,-4100000.0,,,-9700000.0,9700000.0,248800000.0,199500000.0,199500000.0,448300000.0,837100000.0,1285400000.0,1285400000.0,2023-03-31
0.0,0.24,319900000.0,,,206800000.0,36900000.0,869700000.0,319900000.0,283000000.0,-9200000.0,9200000.0,206800000.0,206800000.0,1078100000.0,287800000.0,54000000.0,53600000.0,3.82,3.85,206300000.0,206300000.0,500000.0,206800000.0,-1400000.0,208200000.0,0.0,208200000.0,65600000.0,273800000.0,-4800000.0,-4800000.0,,,-9200000.0,9200000.0,287800000.0,208400000.0,208400000.0,496200000.0,869700000.0,1365900000.0,1365900000.0,2023-06-30
0.0,0.238,310400000.0,,,200100000.0,37600000.0,888400000.0,310400000.0,272800000.0,-7800000.0,7800000.0,200100000.0,200100000.0,1099500000.0,276300000.0,54000000.0,53600000.0,3.7,3.72,199600000.0,199600000.0,500000.0,200100000.0,-1900000.0,202000000.0,0.0,202000000.0,63000000.0,265000000.0,-3500000.0,-3500000.0,,,-7800000.0,7800000.0,276300000.0,211100000.0,211100000.0,487400000.0,888400000.0,1375800000.0,1375800000.0,2023-09-30
0.0,0.177088,259100000.0,,,171000000.0,39600000.0,889600000.0,259100000.0,219500000.0,-10000000.0,10000000.0,171000000.0,171000000.0,1120200000.0,225600000.0,,,,,170600000.0,170600000.0,400000.0,171000000.0,-1400000.0,172400000.0,0.0,172400000.0,37100000.0,209500000.0,-6100000.0,-6100000.0,,,-10000000.0,10000000.0,225600000.0,230600000.0,230600000.0,456200000.0,889600000.0,1345800000.0,1345800000.0,2023-12-31
