tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,operating_income,operating_expense,other_taxes,selling_general_and_administration,general_and_administrative_expense,other_gand_a,total_revenue,operating_revenue,date
417365.740718,0.103867,-4351156.0,4018289.0,4018289.0,3302630.0,-332867.0,-332867.0,-298293.259282,3302630.0,332867.0,-332867.0,3302630.0,3302630.0,3302630.0,3302630.0,3302630.0,382792.0,3685422.0,4018289.0,,4018289.0,-332867.0,332867.0,57997.0,274870.0,274870.0,274870.0,0.0,0.0,2022-12-31
529925.659591,0.317333,-2301263.0,1669937.0,1669937.0,895469.0,-631326.0,-631326.0,-244542.340409,895469.0,631326.0,-631326.0,895469.0,895469.0,895469.0,895469.0,895469.0,416252.0,1311721.0,1943047.0,273110.0,1669937.0,-631326.0,631326.0,50000.0,581326.0,581326.0,581326.0,0.0,0.0,2023-03-31
68666.85,0.21,-868231.0,326985.0,326985.0,-383459.0,-541246.0,-541246.0,-641777.15,-383459.0,541246.0,-541246.0,-383459.0,-383459.0,-383459.0,-383459.0,-383459.0,169198.0,-214261.0,326985.0,,326985.0,-541246.0,541246.0,50000.0,491246.0,491246.0,491246.0,0.0,0.0,2023-06-30
83898.99,0.21,-974894.0,399519.0,399519.0,-227581.0,-575375.0,-575375.0,-543201.01,-227581.0,575375.0,-575375.0,-227581.0,-227581.0,-227581.0,-227581.0,-227581.0,51725.0,-175856.0,399519.0,,399519.0,-575375.0,575375.0,50000.0,525375.0,525375.0,525375.0,0.0,0.0,2023-09-30
