free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_tax_payable,change_in_income_tax_payable,change_in_prepaid_assets,other_non_cash_items,deferred_tax,deferred_income_tax,operating_gains_losses,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
-81971.0,,0.0,0.0,0.0,171583.0,253554.0,-81971.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81971.0,-81971.0,477095.0,,328345.0,74999.0,253346.0,-30850.0,284196.0,284196.0,148750.0,,,,-4018289.0,-4018289.0,3302630.0,2022-12-31
-289693.0,-215621388.0,,,,1348539.0,171583.0,1176956.0,-215521388.0,-215521388.0,100000.0,-215621388.0,-215621388.0,,,,,216988037.0,216988037.0,216988037.0,-289693.0,-289693.0,757885.0,-156593.0,759759.0,188777.0,570982.0,22178.0,473804.0,473804.0,154719.0,-273110.0,,,-1669937.0,-1669937.0,895469.0,2023-03-31
-646429.0,0.0,,,,702111.0,1348539.0,-646428.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,-646429.0,-646429.0,220608.0,,-63484.0,292276.0,-355760.0,-59958.0,-370802.0,-370802.0,127499.0,0.0,,,-326985.0,-326985.0,-383459.0,2023-06-30
-1406613.0,-19208848.0,,,,306096.0,702111.0,-396015.0,-18788848.0,-18788848.0,320000.0,-19108848.0,-19208848.0,,,,,19799446.0,19799446.0,19799446.0,-1406613.0,-1406613.0,-779514.0,,112658.0,-31267.0,143925.0,-40000.0,108925.0,108925.0,-1172.0,0.0,0.0,0.0,-399518.0,-399518.0,-227581.0,2023-09-30
