treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,current_notes_payable,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
23700000.0,168500000.0,192200000.0,2224600000.0,3498200000.0,-3496300000.0,12635900000.0,-403100000.0,-3496300000.0,412700000.0,9550400000.0,12285900000.0,9550400000.0,9550400000.0,-134200000.0,-134200000.0,1020600000.0,1774600000.0,8928700000.0,1900000.0,1900000.0,0.0,7331000000.0,4321200000.0,489200000.0,742300000.0,31000000.0,711300000.0,3089700000.0,354200000.0,2735500000.0,3009800000.0,104000000.0,1277200000.0,1136400000.0,408500000.0,58500000.0,350000000.0,,350000000.0,,233300000.0,61800000.0,925000000.0,627800000.0,21700000.0,297200000.0,145600000.0,151600000.0,16881400000.0,14274700000.0,423600000.0,123900000.0,123900000.0,13046700000.0,6258500000.0,6788200000.0,680500000.0,,680500000.0,,680500000.0,,,,2606700000.0,350200000.0,331500000.0,282100000.0,795500000.0,84400000.0,711100000.0,-1300000.0,712400000.0,1129500000.0,268600000.0,860900000.0,2022-12-31
23700000.0,168900000.0,192600000.0,2252400000.0,3487000000.0,-3250000000.0,12122300000.0,-1343500000.0,-3250000000.0,407200000.0,9042500000.0,10775500000.0,9042500000.0,9042500000.0,-113300000.0,-113300000.0,1020600000.0,1164300000.0,9010200000.0,1900000.0,1900000.0,0.0,6819600000.0,2968000000.0,318500000.0,569500000.0,35500000.0,534000000.0,2080000000.0,347000000.0,1733000000.0,3851600000.0,130100000.0,1161500000.0,1078800000.0,1407000000.0,60200000.0,1346800000.0,1346800000.0,,,177500000.0,52400000.0,923100000.0,736000000.0,29600000.0,187100000.0,47000000.0,140100000.0,15862100000.0,13354000000.0,331200000.0,44800000.0,44800000.0,12292500000.0,5525400000.0,6767100000.0,685500000.0,-314900000.0,1000400000.0,235100000.0,282700000.0,420500000.0,62100000.0,0.0,2508100000.0,343000000.0,307600000.0,277100000.0,843100000.0,79900000.0,763200000.0,-1300000.0,764500000.0,1014400000.0,187000000.0,827400000.0,2023-03-31
23700000.0,169800000.0,193500000.0,2301000000.0,3492100000.0,-3224800000.0,12017000000.0,-483000000.0,-3224800000.0,415300000.0,8940200000.0,11644900000.0,8940200000.0,8940200000.0,-86400000.0,-86400000.0,1020600000.0,958300000.0,9087000000.0,1900000.0,1900000.0,0.0,6585100000.0,3847100000.0,330200000.0,457500000.0,35500000.0,422000000.0,3059400000.0,354700000.0,2704700000.0,2738000000.0,123000000.0,1088800000.0,991500000.0,432700000.0,60600000.0,372100000.0,372100000.0,,,151600000.0,41200000.0,900700000.0,726800000.0,,173900000.0,46400000.0,127500000.0,15525300000.0,13270300000.0,369600000.0,38100000.0,38100000.0,12165000000.0,5395700000.0,6769300000.0,697600000.0,,697600000.0,,697600000.0,,,,2255000000.0,286600000.0,381300000.0,,702100000.0,79900000.0,622200000.0,-1200000.0,623400000.0,885000000.0,109200000.0,775800000.0,2023-06-30
23700000.0,170000000.0,193700000.0,2323400000.0,3514700000.0,-3217200000.0,11510300000.0,-463300000.0,-3217200000.0,434500000.0,8430100000.0,11137200000.0,8430100000.0,8430100000.0,-149100000.0,-149100000.0,1020600000.0,414700000.0,9183200000.0,1900000.0,1900000.0,0.0,6777300000.0,3777200000.0,358000000.0,339100000.0,60600000.0,278500000.0,3080100000.0,373000000.0,2707100000.0,3000100000.0,60600000.0,1147700000.0,1117500000.0,434600000.0,61500000.0,373100000.0,23100000.0,,350000000.0,190300000.0,53800000.0,1113100000.0,887700000.0,29300000.0,225400000.0,93600000.0,131800000.0,15207400000.0,12670600000.0,306200000.0,12300000.0,12300000.0,11647300000.0,5047000000.0,6600300000.0,704800000.0,,704800000.0,,704800000.0,,,,2536800000.0,413500000.0,424400000.0,,897000000.0,82500000.0,814500000.0,-1200000.0,815700000.0,801900000.0,45100000.0,756800000.0,2023-09-30
23700000.0,170500000.0,194200000.0,2182700000.0,3526100000.0,-3096800000.0,11590000000.0,-473900000.0,-3096800000.0,444700000.0,8508600000.0,11216800000.0,8508600000.0,8508600000.0,-82700000.0,-82700000.0,1020600000.0,323100000.0,9286900000.0,1900000.0,1900000.0,0.0,6387100000.0,3694700000.0,321500000.0,284300000.0,61300000.0,223000000.0,3088900000.0,380700000.0,2708200000.0,2692400000.0,55900000.0,1098500000.0,1081200000.0,437200000.0,64000000.0,373200000.0,373200000.0,,,275100000.0,50100000.0,775600000.0,545400000.0,28700000.0,230200000.0,78400000.0,151800000.0,14895700000.0,12677200000.0,347700000.0,7100000.0,7100000.0,11605400000.0,4991200000.0,6614200000.0,717000000.0,,717000000.0,,717000000.0,,,,2218500000.0,356700000.0,184600000.0,,755000000.0,88700000.0,666300000.0,-1200000.0,667500000.0,922200000.0,23500000.0,898700000.0,2023-12-31
