tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-484027.954699,0.056931,413550000.0,-8502000.0,-8502000.0,-45019000.0,327652000.0,588065000.0,405048000.0,77396000.0,-123399000.0,123399000.0,-37001027.954699,-45019000.0,969193000.0,403570000.0,399655000.0,-0.11,-0.11,-45019000.0,-45019000.0,-45019000.0,-1635000.0,-43384000.0,-43384000.0,-2619000.0,-46003000.0,-4836000.0,-28180000.0,-13725000.0,0.0,13725000.0,31846000.0,5223000.0,-123399000.0,123399000.0,82232000.0,377654000.0,19936000.0,324178000.0,324178000.0,33540000.0,459886000.0,591539000.0,1051425000.0,1035092000.0,2022-12-31
1851150.0,0.21,421643000.0,8815000.0,8815000.0,17517000.0,286273000.0,605483000.0,430458000.0,144185000.0,-128075000.0,128075000.0,10553150.0,17517000.0,928490000.0,403792000.0,399989000.0,0.04,0.04,17517000.0,17517000.0,17517000.0,-1395000.0,18912000.0,18912000.0,-2802000.0,16110000.0,-4570000.0,-7762000.0,-1386000.0,,1386000.0,-5623000.0,10201000.0,-128075000.0,128075000.0,148755000.0,318853000.0,-8064000.0,282119000.0,282119000.0,44798000.0,467608000.0,609637000.0,1077245000.0,1061913000.0,2023-03-31
7195440.0,0.21,513798000.0,34264000.0,34264000.0,103453000.0,309504000.0,619439000.0,548062000.0,238558000.0,-143265000.0,143265000.0,76384440.0,103453000.0,951277000.0,404122000.0,400431000.0,0.26,0.26,103453000.0,103453000.0,103453000.0,-1613000.0,105066000.0,105066000.0,-9773000.0,95293000.0,83477000.0,17959000.0,32859000.0,-35928000.0,3069000.0,31254000.0,1405000.0,-143265000.0,143265000.0,155081000.0,327023000.0,-12065000.0,304689000.0,304689000.0,34399000.0,482104000.0,624254000.0,1106358000.0,1098772000.0,2023-06-30
69400.710465,0.023336,450631000.0,2974000.0,2974000.0,-71124000.0,376907000.0,651419000.0,453605000.0,76698000.0,-147919000.0,147919000.0,-74028599.289535,-71124000.0,1061557000.0,406655000.0,402859000.0,-0.18,-0.18,-71124000.0,-71124000.0,-71124000.0,-1565000.0,-69559000.0,-69559000.0,-1662000.0,-71221000.0,-11577000.0,-9432000.0,-7737000.0,612000.0,7125000.0,-5119000.0,10711000.0,-147919000.0,147919000.0,88275000.0,403608000.0,-66000.0,370377000.0,370377000.0,33297000.0,491883000.0,657949000.0,1149832000.0,1145870000.0,2023-09-30
7577220.0,0.21,480946000.0,36082000.0,36082000.0,-90819000.0,442193000.0,662489000.0,517028000.0,74835000.0,-154853000.0,154853000.0,-119323780.0,-90819000.0,1140989000.0,,,,,-90819000.0,-90819000.0,-90819000.0,-6103000.0,-84716000.0,-84716000.0,4698000.0,-80018000.0,51432000.0,22236000.0,-3720000.0,85000.0,3635000.0,-6886000.0,39802000.0,-154853000.0,154853000.0,23403000.0,471583000.0,-75000.0,435276000.0,435276000.0,36382000.0,494986000.0,669406000.0,1164392000.0,1156906000.0,2023-12-31
