tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-28883563.846896,0.260212,4821000000.0,-111000000.0,-111000000.0,2302000000.0,1049000000.0,70033000000.0,4710000000.0,3661000000.0,-552000000.0,552000000.0,2384116436.153104,2302000000.0,80117000000.0,3618000000.0,1319000000.0,1310000000.0,1.75,1.76,2302000000.0,2302000000.0,2302000000.0,2000000.0,2300000000.0,2300000000.0,809000000.0,3109000000.0,-68000000.0,43000000.0,-111000000.0,-12000000.0,99000000.0,0.0,,-552000000.0,552000000.0,3729000000.0,10084000000.0,10084000000.0,13813000000.0,70033000000.0,83846000000.0,83846000000.0,2022-12-31
-89344000.0,0.256,4818000000.0,-349000000.0,-349000000.0,2136000000.0,1001000000.0,71903000000.0,4469000000.0,3468000000.0,-589000000.0,589000000.0,2395656000.0,2136000000.0,81483000000.0,3446000000.0,1291000000.0,1283000000.0,1.65,1.66,2136000000.0,2136000000.0,2136000000.0,-6000000.0,2142000000.0,2142000000.0,737000000.0,2879000000.0,-327000000.0,22000000.0,-349000000.0,-349000000.0,,,,-589000000.0,589000000.0,3795000000.0,9580000000.0,9580000000.0,13375000000.0,71903000000.0,85278000000.0,85278000000.0,2023-03-31
-126480000.0,0.255,4856000000.0,-496000000.0,-496000000.0,1901000000.0,1104000000.0,75318000000.0,4360000000.0,3256000000.0,-686000000.0,686000000.0,2270520000.0,1901000000.0,85191000000.0,3234000000.0,1287000000.0,1283000000.0,1.48,1.48,1901000000.0,1901000000.0,1901000000.0,-13000000.0,1914000000.0,1914000000.0,656000000.0,2570000000.0,-474000000.0,22000000.0,-496000000.0,0.0,,,496000000.0,-686000000.0,686000000.0,3730000000.0,9873000000.0,9873000000.0,13603000000.0,75318000000.0,88921000000.0,88921000000.0,2023-06-30
-2750000.0,0.25,4850000000.0,-11000000.0,-11000000.0,2261000000.0,1127000000.0,76187000000.0,4839000000.0,3712000000.0,-693000000.0,693000000.0,2269250000.0,2261000000.0,86063000000.0,3690000000.0,1290000000.0,1287000000.0,1.75,1.76,2261000000.0,2261000000.0,2261000000.0,-4000000.0,2265000000.0,2265000000.0,754000000.0,3019000000.0,11000000.0,22000000.0,-11000000.0,0.0,,,11000000.0,-693000000.0,693000000.0,3701000000.0,9876000000.0,9876000000.0,13577000000.0,76187000000.0,89764000000.0,89764000000.0,2023-09-30
0.0,0.243253,4529000000.0,0.0,0.0,2046000000.0,1134000000.0,79937000000.0,4529000000.0,3395000000.0,-690000000.0,690000000.0,2046000000.0,2046000000.0,90440000000.0,3373000000.0,1293000000.0,1288000000.0,1.58,1.59,2046000000.0,2046000000.0,2046000000.0,-1000000.0,2047000000.0,2047000000.0,658000000.0,2705000000.0,22000000.0,22000000.0,0.0,0.0,,,0.0,-690000000.0,690000000.0,3373000000.0,10503000000.0,10503000000.0,13876000000.0,79937000000.0,93813000000.0,93813000000.0,2023-12-31
