treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,investmentsin_associatesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
346072210.0,235073926.0,581146136.0,5717000000.0,7635000000.0,-1900000000.0,13408000000.0,2452000000.0,-1900000000.0,819000000.0,6592000000.0,13095000000.0,6709000000.0,117000000.0,6592000000.0,-2810000000.0,-2810000000.0,13525000000.0,20828000000.0,1130000000.0,969000000.0,969000000.0,14035000000.0,9314000000.0,632000000.0,1042000000.0,1042000000.0,501000000.0,501000000.0,7139000000.0,636000000.0,6503000000.0,4721000000.0,496000000.0,183000000.0,313000000.0,313000000.0,77000000.0,138000000.0,4010000000.0,1058000000.0,2952000000.0,37000000.0,37000000.0,2915000000.0,20744000000.0,13571000000.0,583000000.0,95000000.0,95000000.0,244000000.0,49000000.0,61000000.0,61000000.0,134000000.0,134000000.0,8492000000.0,2414000000.0,6078000000.0,4157000000.0,-4649000000.0,8806000000.0,492000000.0,2032000000.0,3960000000.0,1774000000.0,548000000.0,0.0,7173000000.0,444000000.0,2272000000.0,1209000000.0,238000000.0,825000000.0,3303000000.0,479000000.0,2824000000.0,,,1154000000.0,55000000.0,1099000000.0,2022-12-31
,235416045.0,235416045.0,5865000000.0,8108000000.0,-1463000000.0,14433000000.0,3325000000.0,-1463000000.0,817000000.0,7142000000.0,14224000000.0,7253000000.0,111000000.0,7142000000.0,-2408000000.0,-2408000000.0,13515000000.0,20946000000.0,1150000000.0,969000000.0,969000000.0,14846000000.0,9978000000.0,645000000.0,1048000000.0,1048000000.0,571000000.0,571000000.0,7714000000.0,632000000.0,7082000000.0,4868000000.0,394000000.0,185000000.0,209000000.0,209000000.0,,127000000.0,4347000000.0,,,,,,22099000000.0,13906000000.0,603000000.0,259000000.0,259000000.0,255000000.0,,,,,,8605000000.0,2442000000.0,6163000000.0,4184000000.0,-4756000000.0,8940000000.0,,8940000000.0,,,,,8193000000.0,517000000.0,2599000000.0,1441000000.0,282000000.0,876000000.0,3595000000.0,,3595000000.0,-30000000.0,3625000000.0,1482000000.0,56000000.0,1426000000.0,2023-03-31
,235513001.0,235513001.0,5680000000.0,7729000000.0,-1173000000.0,14522000000.0,2652000000.0,-1173000000.0,821000000.0,7614000000.0,13713000000.0,7792000000.0,178000000.0,7614000000.0,-2299000000.0,-2299000000.0,13512000000.0,21290000000.0,1166000000.0,969000000.0,969000000.0,14424000000.0,9008000000.0,657000000.0,1042000000.0,1042000000.0,577000000.0,577000000.0,6732000000.0,633000000.0,6099000000.0,5416000000.0,997000000.0,188000000.0,809000000.0,809000000.0,,113000000.0,4306000000.0,,,,,,22216000000.0,14148000000.0,602000000.0,243000000.0,243000000.0,262000000.0,,,,,,8787000000.0,2493000000.0,6294000000.0,4254000000.0,-4841000000.0,9095000000.0,,9095000000.0,,,,,8068000000.0,445000000.0,2506000000.0,1390000000.0,275000000.0,841000000.0,3821000000.0,,3821000000.0,-28000000.0,3849000000.0,1296000000.0,68000000.0,1228000000.0,2023-06-30
,235800000.0,235800000.0,4984000000.0,7013000000.0,-846000000.0,13953000000.0,2452000000.0,-846000000.0,811000000.0,7751000000.0,13347000000.0,7935000000.0,184000000.0,7751000000.0,-2472000000.0,-2472000000.0,13502000000.0,21563000000.0,1193000000.0,969000000.0,969000000.0,13566000000.0,8466000000.0,652000000.0,1030000000.0,1030000000.0,566000000.0,566000000.0,6218000000.0,622000000.0,5596000000.0,5100000000.0,795000000.0,189000000.0,606000000.0,606000000.0,,95000000.0,4210000000.0,,,,,,21501000000.0,13949000000.0,628000000.0,229000000.0,229000000.0,264000000.0,,,,,,8597000000.0,2416000000.0,6181000000.0,4231000000.0,-4815000000.0,9046000000.0,,9046000000.0,,,,,7552000000.0,441000000.0,2217000000.0,1201000000.0,256000000.0,760000000.0,3612000000.0,,3612000000.0,-23000000.0,3635000000.0,1282000000.0,64000000.0,1218000000.0,2023-09-30
345935282.0,235210854.0,581146136.0,4540000000.0,6870000000.0,-792000000.0,13886000000.0,2377000000.0,-792000000.0,816000000.0,7832000000.0,13580000000.0,8023000000.0,191000000.0,7832000000.0,-2239000000.0,-2239000000.0,13600000000.0,21500000000.0,1202000000.0,969000000.0,969000000.0,13624000000.0,8570000000.0,654000000.0,1038000000.0,1038000000.0,508000000.0,508000000.0,6370000000.0,622000000.0,5748000000.0,5054000000.0,500000000.0,194000000.0,306000000.0,306000000.0,96000000.0,87000000.0,4371000000.0,674000000.0,3697000000.0,128000000.0,128000000.0,3569000000.0,21647000000.0,14216000000.0,584000000.0,273000000.0,273000000.0,259000000.0,44000000.0,74000000.0,74000000.0,141000000.0,141000000.0,8624000000.0,2424000000.0,6200000000.0,4476000000.0,-4963000000.0,9439000000.0,683000000.0,2119000000.0,4157000000.0,1908000000.0,572000000.0,0.0,7431000000.0,436000000.0,2127000000.0,1197000000.0,236000000.0,694000000.0,3279000000.0,398000000.0,2881000000.0,-25000000.0,2906000000.0,1589000000.0,75000000.0,1514000000.0,2023-12-31
,234500000.0,234500000.0,5070000000.0,7043000000.0,-598000000.0,14192000000.0,2728000000.0,-598000000.0,792000000.0,7941000000.0,13881000000.0,8126000000.0,185000000.0,7941000000.0,-2251000000.0,-2251000000.0,13746000000.0,21747000000.0,1222000000.0,969000000.0,969000000.0,13741000000.0,8798000000.0,648000000.0,1056000000.0,1056000000.0,554000000.0,554000000.0,6540000000.0,600000000.0,5940000000.0,4943000000.0,503000000.0,192000000.0,311000000.0,311000000.0,,89000000.0,4351000000.0,,,,,,21867000000.0,14196000000.0,601000000.0,340000000.0,340000000.0,275000000.0,,,,,,8539000000.0,2399000000.0,6140000000.0,4441000000.0,-4995000000.0,9436000000.0,,9436000000.0,,,,,7671000000.0,524000000.0,2331000000.0,1337000000.0,254000000.0,740000000.0,3581000000.0,,3581000000.0,-24000000.0,3605000000.0,1235000000.0,54000000.0,1181000000.0,2024-03-31
