preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,financial_assets,investments_and_advances,long_term_equity_investment,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,gross_ppe,other_properties,current_assets,assets_held_for_sale_current,prepaid_assets,receivables,taxes_receivable,notes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
1279000.0,923142000.0,923142000.0,23597478000.0,24514772000.0,51990328000.0,77049295000.0,-2012506000.0,52054276000.0,638811000.0,53173334000.0,63948000.0,75574782000.0,57863093000.0,4625811000.0,53237282000.0,-443609000.0,-443609000.0,-457695000.0,54065407000.0,73179000.0,9231000.0,63948000.0,30034355000.0,26334776000.0,3351783000.0,6682000.0,22976311000.0,638811000.0,22337500000.0,3699579000.0,4536000.0,329780000.0,329780000.0,1538461000.0,1538461000.0,1538461000.0,1826802000.0,1826802000.0,114917000.0,99757000.0,1711885000.0,87897448000.0,86210375000.0,1652865000.0,5732000.0,5732000.0,227236000.0,9698898000.0,9698898000.0,72587311000.0,1183006000.0,1183006000.0,855327000.0,855327000.0,855327000.0,1687073000.0,531257000.0,239483000.0,637850000.0,143317000.0,116537000.0,377996000.0,278483000.0,278483000.0,2022-12-31,
1279000.0,923453000.0,923453000.0,24630841000.0,25153342000.0,52771270000.0,77924612000.0,-463694000.0,52835218000.0,,52771270000.0,63948000.0,77776007000.0,57465229000.0,4630011000.0,52835218000.0,-496424000.0,-496424000.0,-799577000.0,54058036000.0,73183000.0,9235000.0,63948000.0,31055655000.0,29335354000.0,4394565000.0,,24940789000.0,,24940789000.0,1720301000.0,,,,212553000.0,212553000.0,212553000.0,1507748000.0,,,,,88520884000.0,87264277000.0,4706985000.0,,,,9680097000.0,9680097000.0,72877195000.0,,,,,,1256607000.0,734106000.0,,,,,,522501000.0,522501000.0,2023-03-31,
1279000.0,923861000.0,923861000.0,27598363000.0,28129473000.0,53401682000.0,81531155000.0,-1064036000.0,53465630000.0,,53401682000.0,63948000.0,80965591000.0,58077824000.0,4612194000.0,53465630000.0,-332370000.0,-332370000.0,-390779000.0,54115592000.0,73187000.0,9239000.0,63948000.0,34314217000.0,32102500000.0,4602539000.0,,27499961000.0,,27499961000.0,2211717000.0,,,,629512000.0,629512000.0,629512000.0,1582205000.0,,,,,92392041000.0,91244360000.0,4739886000.0,,,,9931261000.0,9931261000.0,76573213000.0,,,,,,1147681000.0,616571000.0,,,,,,531110000.0,531110000.0,2023-06-30,
1279000.0,923974000.0,923974000.0,26837356000.0,27578197000.0,53571883000.0,81150080000.0,-395257000.0,53635831000.0,,53571883000.0,63948000.0,81001280000.0,58260862000.0,4625031000.0,53635831000.0,-185783000.0,-185783000.0,-449439000.0,54197865000.0,73188000.0,9240000.0,63948000.0,33688547000.0,31754691000.0,4389242000.0,,27365449000.0,,27365449000.0,1933856000.0,,,,212748000.0,212748000.0,212748000.0,1721108000.0,,,,,91949409000.0,90410810000.0,4736775000.0,,,,9091824000.0,9091824000.0,76582211000.0,,,,,,1538599000.0,797758000.0,,,,,,740841000.0,740841000.0,2023-09-30,
1279000.0,924391000.0,924391000.0,28470113000.0,29598064000.0,52107161000.0,82118277000.0,-1464390000.0,52171109000.0,597563000.0,53117776000.0,63948000.0,81202912000.0,57823720000.0,4641996000.0,53181724000.0,-514201000.0,-514201000.0,-627068000.0,54249801000.0,73192000.0,9244000.0,63948000.0,35197120000.0,31937751000.0,3224839000.0,94161000.0,28618751000.0,597563000.0,28021188000.0,3259369000.0,14182000.0,347369000.0,347369000.0,979313000.0,979313000.0,979313000.0,1918505000.0,1918505000.0,152487000.0,118682000.0,1766018000.0,93020840000.0,91225861000.0,1955899000.0,1231000.0,1231000.0,87319000.0,9543970000.0,9543970000.0,77735090000.0,1010615000.0,1010615000.0,891737000.0,891737000.0,891737000.0,1794979000.0,461657000.0,248597000.0,554337000.0,155909000.0,72730000.0,325698000.0,530388000.0,530388000.0,2023-12-31,0.0
1279000.0,925790000.0,925790000.0,29057078000.0,29557667000.0,53126705000.0,82684372000.0,-1900369000.0,53190653000.0,,53126705000.0,63948000.0,81717054000.0,57797118000.0,4606465000.0,53190653000.0,-285395000.0,-285395000.0,-933159000.0,54336001000.0,73206000.0,9258000.0,63948000.0,35513192000.0,32729441000.0,4203040000.0,,28526401000.0,,28526401000.0,2783751000.0,,,,1031266000.0,1031266000.0,1031266000.0,1752485000.0,,,,,93310310000.0,92426928000.0,4739221000.0,,,,9691101000.0,9691101000.0,77996606000.0,,,,,,883382000.0,382793000.0,,,,,,500589000.0,500589000.0,2024-03-31,
